=> Trial Start: ['dir_sim', 'recency', 'has_target', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'ct']
=> Epoch 000 | Train: 1.4746 (Easy: 1.1925, Hard: 1.7485) | Val: 1.0148 (Easy: 0.6585, Hard: 1.3730) | LR: 0.001000
=> Epoch 001 | Train: 1.1131 (Easy: 0.6580, Hard: 1.5415) | Val: 0.9128 (Easy: 0.5442, Hard: 1.2834) | LR: 0.001000
=> Epoch 002 | Train: 1.0448 (Easy: 0.6190, Hard: 1.4498) | Val: 0.8644 (Easy: 0.5138, Hard: 1.2204) | LR: 0.001000
=> Epoch 003 | Train: 1.0139 (Easy: 0.5863, Hard: 1.4212) | Val: 0.8389 (Easy: 0.4988, Hard: 1.1888) | LR: 0.001000
=> Epoch 004 | Train: 0.9851 (Easy: 0.5805, Hard: 1.3619) | Val: 0.8243 (Easy: 0.4925, Hard: 1.1652) | LR: 0.001000
=> Epoch 005 | Train: 0.9735 (Easy: 0.5702, Hard: 1.3538) | Val: 0.8143 (Easy: 0.4870, Hard: 1.1524) | LR: 0.001000
=> Epoch 006 | Train: 0.9763 (Easy: 0.5752, Hard: 1.3598) | Val: 0.8113 (Easy: 0.4842, Hard: 1.1517) | LR: 0.001000
=> Epoch 007 | Train: 0.9598 (Easy: 0.5660, Hard: 1.3353) | Val: 0.8042 (Easy: 0.4805, Hard: 1.1416) | LR: 0.001000
=> Epoch 008 | Train: 0.9434 (Easy: 0.5515, Hard: 1.3190) | Val: 0.7957 (Easy: 0.4736, Hard: 1.1326) | LR: 0.001000
=> Epoch 009 | Train: 0.9368 (Easy: 0.5601, Hard: 1.3019) | Val: 0.7955 (Easy: 0.4713, Hard: 1.1348) | LR: 0.001000
=> Epoch 010 | Train: 0.9392 (Easy: 0.5452, Hard: 1.3217) | Val: 0.7885 (Easy: 0.4617, Hard: 1.1321) | LR: 0.001000
=> Epoch 011 | Train: 0.9208 (Easy: 0.5359, Hard: 1.2928) | Val: 0.7830 (Easy: 0.4604, Hard: 1.1226) | LR: 0.001000
=> Epoch 012 | Train: 0.9218 (Easy: 0.5374, Hard: 1.2895) | Val: 0.7820 (Easy: 0.4641, Hard: 1.1157) | LR: 0.001000
=> Epoch 013 | Train: 0.9186 (Easy: 0.5411, Hard: 1.2871) | Val: 0.7773 (Easy: 0.4649, Hard: 1.1052) | LR: 0.001000
=> Epoch 014 | Train: 0.9099 (Easy: 0.5326, Hard: 1.2773) | Val: 0.7751 (Easy: 0.4531, Hard: 1.1140) | LR: 0.001000
=> Epoch 015 | Train: 0.9010 (Easy: 0.5332, Hard: 1.2599) | Val: 0.7756 (Easy: 0.4637, Hard: 1.1033) | LR: 0.001000
=> Epoch 016 | Train: 0.9058 (Easy: 0.5348, Hard: 1.2591) | Val: 0.7655 (Easy: 0.4448, Hard: 1.1039) | LR: 0.001000
=> Epoch 017 | Train: 0.9047 (Easy: 0.5342, Hard: 1.2602) | Val: 0.7615 (Easy: 0.4415, Hard: 1.0980) | LR: 0.001000
=> Epoch 018 | Train: 0.8925 (Easy: 0.5304, Hard: 1.2437) | Val: 0.7595 (Easy: 0.4506, Hard: 1.0828) | LR: 0.001000
=> Epoch 019 | Train: 0.8907 (Easy: 0.5290, Hard: 1.2415) | Val: 0.7590 (Easy: 0.4487, Hard: 1.0856) | LR: 0.001000
=> Epoch 020 | Train: 0.8881 (Easy: 0.5276, Hard: 1.2404) | Val: 0.7529 (Easy: 0.4481, Hard: 1.0727) | LR: 0.001000
=> Epoch 021 | Train: 0.8912 (Easy: 0.5333, Hard: 1.2371) | Val: 0.7518 (Easy: 0.4428, Hard: 1.0759) | LR: 0.001000
=> Epoch 022 | Train: 0.8723 (Easy: 0.5252, Hard: 1.2049) | Val: 0.7470 (Easy: 0.4461, Hard: 1.0636) | LR: 0.001000
=> Epoch 023 | Train: 0.8746 (Easy: 0.5191, Hard: 1.2245) | Val: 0.7460 (Easy: 0.4480, Hard: 1.0583) | LR: 0.001000
=> Epoch 024 | Train: 0.8775 (Easy: 0.5108, Hard: 1.2295) | Val: 0.7422 (Easy: 0.4482, Hard: 1.0498) | LR: 0.001000
=> Epoch 025 | Train: 0.8701 (Easy: 0.5175, Hard: 1.2062) | Val: 0.7446 (Easy: 0.4498, Hard: 1.0524) | LR: 0.001000
=> Epoch 026 | Train: 0.8728 (Easy: 0.5230, Hard: 1.2150) | Val: 0.7403 (Easy: 0.4469, Hard: 1.0456) | LR: 0.001000
=> Epoch 027 | Train: 0.8768 (Easy: 0.5107, Hard: 1.2257) | Val: 0.7362 (Easy: 0.4366, Hard: 1.0538) | LR: 0.001000
=> Epoch 028 | Train: 0.8599 (Easy: 0.5080, Hard: 1.2039) | Val: 0.7370 (Easy: 0.4473, Hard: 1.0417) | LR: 0.001000
=> Epoch 029 | Train: 0.8592 (Easy: 0.5114, Hard: 1.1959) | Val: 0.7346 (Easy: 0.4510, Hard: 1.0304) | LR: 0.001000
=> Epoch 030 | Train: 0.8567 (Easy: 0.5222, Hard: 1.1808) | Val: 0.7336 (Easy: 0.4461, Hard: 1.0347) | LR: 0.001000
=> Epoch 031 | Train: 0.8531 (Easy: 0.5140, Hard: 1.1794) | Val: 0.7289 (Easy: 0.4329, Hard: 1.0450) | LR: 0.001000
=> Epoch 032 | Train: 0.8528 (Easy: 0.5050, Hard: 1.1907) | Val: 0.7309 (Easy: 0.4474, Hard: 1.0257) | LR: 0.001000
=> Epoch 033 | Train: 0.8472 (Easy: 0.5190, Hard: 1.1604) | Val: 0.7236 (Easy: 0.4455, Hard: 1.0154) | LR: 0.001000
=> Epoch 034 | Train: 0.8526 (Easy: 0.5097, Hard: 1.1788) | Val: 0.7218 (Easy: 0.4382, Hard: 1.0206) | LR: 0.001000
=> Epoch 035 | Train: 0.8429 (Easy: 0.5008, Hard: 1.1709) | Val: 0.7199 (Easy: 0.4391, Hard: 1.0166) | LR: 0.001000
=> Epoch 036 | Train: 0.8352 (Easy: 0.4938, Hard: 1.1659) | Val: 0.7148 (Easy: 0.4411, Hard: 1.0028) | LR: 0.001000
=> Epoch 037 | Train: 0.8344 (Easy: 0.5053, Hard: 1.1538) | Val: 0.7175 (Easy: 0.4395, Hard: 1.0110) | LR: 0.001000
=> Epoch 038 | Train: 0.8379 (Easy: 0.5000, Hard: 1.1605) | Val: 0.7125 (Easy: 0.4316, Hard: 1.0088) | LR: 0.001000
=> Epoch 039 | Train: 0.8359 (Easy: 0.5042, Hard: 1.1543) | Val: 0.7085 (Easy: 0.4392, Hard: 0.9941) | LR: 0.001000
