=> Trial Start: ['dir_sim', 'recency', 'has_target', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'degree']
=> Epoch 000 | Train: 1.4328 (Easy: 1.1057, Hard: 1.7492) | Val: 1.0166 (Easy: 0.6470, Hard: 1.3926) | LR: 0.001000
=> Epoch 001 | Train: 1.1152 (Easy: 0.6556, Hard: 1.5531) | Val: 0.9080 (Easy: 0.5481, Hard: 1.2690) | LR: 0.001000
=> Epoch 002 | Train: 1.0495 (Easy: 0.6173, Hard: 1.4536) | Val: 0.8572 (Easy: 0.5259, Hard: 1.1937) | LR: 0.001000
=> Epoch 003 | Train: 1.0185 (Easy: 0.5946, Hard: 1.4171) | Val: 0.8240 (Easy: 0.5040, Hard: 1.1498) | LR: 0.001000
=> Epoch 004 | Train: 0.9927 (Easy: 0.5886, Hard: 1.3712) | Val: 0.8053 (Easy: 0.4950, Hard: 1.1220) | LR: 0.001000
=> Epoch 005 | Train: 0.9767 (Easy: 0.5777, Hard: 1.3577) | Val: 0.7969 (Easy: 0.5039, Hard: 1.0947) | LR: 0.001000
=> Epoch 006 | Train: 0.9673 (Easy: 0.5798, Hard: 1.3344) | Val: 0.7796 (Easy: 0.4834, Hard: 1.0815) | LR: 0.001000
=> Epoch 007 | Train: 0.9478 (Easy: 0.5659, Hard: 1.3128) | Val: 0.7678 (Easy: 0.4817, Hard: 1.0562) | LR: 0.001000
=> Epoch 008 | Train: 0.9232 (Easy: 0.5565, Hard: 1.2778) | Val: 0.7528 (Easy: 0.4749, Hard: 1.0335) | LR: 0.001000
=> Epoch 009 | Train: 0.9172 (Easy: 0.5532, Hard: 1.2690) | Val: 0.7459 (Easy: 0.4653, Hard: 1.0300) | LR: 0.001000
=> Epoch 010 | Train: 0.9076 (Easy: 0.5410, Hard: 1.2638) | Val: 0.7442 (Easy: 0.4730, Hard: 1.0157) | LR: 0.001000
=> Epoch 011 | Train: 0.8903 (Easy: 0.5312, Hard: 1.2379) | Val: 0.7277 (Easy: 0.4516, Hard: 1.0056) | LR: 0.001000
=> Epoch 012 | Train: 0.8944 (Easy: 0.5344, Hard: 1.2462) | Val: 0.7230 (Easy: 0.4527, Hard: 0.9956) | LR: 0.001000
=> Epoch 013 | Train: 0.8932 (Easy: 0.5350, Hard: 1.2411) | Val: 0.7301 (Easy: 0.4658, Hard: 0.9937) | LR: 0.001000
=> Epoch 014 | Train: 0.8781 (Easy: 0.5260, Hard: 1.2230) | Val: 0.7157 (Easy: 0.4516, Hard: 0.9795) | LR: 0.001000
=> Epoch 015 | Train: 0.8648 (Easy: 0.5172, Hard: 1.2080) | Val: 0.7303 (Easy: 0.4799, Hard: 0.9768) | LR: 0.001000
=> Epoch 016 | Train: 0.8732 (Easy: 0.5245, Hard: 1.2105) | Val: 0.7105 (Easy: 0.4468, Hard: 0.9722) | LR: 0.001000
=> Epoch 017 | Train: 0.8628 (Easy: 0.5190, Hard: 1.2015) | Val: 0.7173 (Easy: 0.4698, Hard: 0.9615) | LR: 0.001000
=> Epoch 018 | Train: 0.8516 (Easy: 0.5191, Hard: 1.1799) | Val: 0.7072 (Easy: 0.4610, Hard: 0.9488) | LR: 0.001000
=> Epoch 019 | Train: 0.8516 (Easy: 0.5178, Hard: 1.1752) | Val: 0.7022 (Easy: 0.4540, Hard: 0.9459) | LR: 0.001000
=> Epoch 020 | Train: 0.8525 (Easy: 0.5217, Hard: 1.1837) | Val: 0.7265 (Easy: 0.4816, Hard: 0.9669) | LR: 0.001000
=> Epoch 021 | Train: 0.8423 (Easy: 0.5137, Hard: 1.1672) | Val: 0.6961 (Easy: 0.4565, Hard: 0.9303) | LR: 0.001000
=> Epoch 022 | Train: 0.8312 (Easy: 0.5122, Hard: 1.1498) | Val: 0.7058 (Easy: 0.4702, Hard: 0.9351) | LR: 0.001000
