=> Trial Start: ['dir_sim', 'recency', 'has_target', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'exit_dist']
=> Epoch 000 | Train: 1.4569 (Easy: 1.1508, Hard: 1.7446) | Val: 0.9988 (Easy: 0.6183, Hard: 1.3803) | LR: 0.001000
=> Epoch 001 | Train: 1.0656 (Easy: 0.6162, Hard: 1.4885) | Val: 0.8851 (Easy: 0.5430, Hard: 1.2209) | LR: 0.001000
=> Epoch 002 | Train: 1.0037 (Easy: 0.6010, Hard: 1.3895) | Val: 0.8208 (Easy: 0.5083, Hard: 1.1336) | LR: 0.001000
=> Epoch 003 | Train: 0.9559 (Easy: 0.5650, Hard: 1.3379) | Val: 0.7861 (Easy: 0.4855, Hard: 1.0946) | LR: 0.001000
=> Epoch 004 | Train: 0.9329 (Easy: 0.5513, Hard: 1.2993) | Val: 0.7684 (Easy: 0.4657, Hard: 1.0854) | LR: 0.001000
=> Epoch 005 | Train: 0.9148 (Easy: 0.5453, Hard: 1.2775) | Val: 0.7686 (Easy: 0.4631, Hard: 1.0952) | LR: 0.001000
=> Epoch 006 | Train: 0.9179 (Easy: 0.5466, Hard: 1.2818) | Val: 0.7629 (Easy: 0.4468, Hard: 1.1027) | LR: 0.001000
=> Epoch 007 | Train: 0.9042 (Easy: 0.5470, Hard: 1.2518) | Val: 0.7478 (Easy: 0.4541, Hard: 1.0569) | LR: 0.001000
=> Epoch 008 | Train: 0.8913 (Easy: 0.5307, Hard: 1.2479) | Val: 0.7483 (Easy: 0.4485, Hard: 1.0673) | LR: 0.001000
=> Epoch 009 | Train: 0.8795 (Easy: 0.5309, Hard: 1.2232) | Val: 0.7390 (Easy: 0.4423, Hard: 1.0534) | LR: 0.001000
=> Epoch 010 | Train: 0.8859 (Easy: 0.5297, Hard: 1.2376) | Val: 0.7455 (Easy: 0.4404, Hard: 1.0704) | LR: 0.001000
=> Epoch 011 | Train: 0.8640 (Easy: 0.5168, Hard: 1.2070) | Val: 0.7327 (Easy: 0.4347, Hard: 1.0489) | LR: 0.001000
