=> Trial Start: ['dir_sim', 'recency', 'has_target', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'has_dead']
=> Epoch 000 | Train: 1.4765 (Easy: 1.1634, Hard: 1.7789) | Val: 1.0376 (Easy: 0.6644, Hard: 1.4150) | LR: 0.001000
=> Epoch 001 | Train: 1.1338 (Easy: 0.6628, Hard: 1.5725) | Val: 0.9351 (Easy: 0.5692, Hard: 1.3004) | LR: 0.001000
=> Epoch 002 | Train: 1.0751 (Easy: 0.6344, Hard: 1.4842) | Val: 0.8871 (Easy: 0.5391, Hard: 1.2410) | LR: 0.001000
=> Epoch 003 | Train: 1.0358 (Easy: 0.6032, Hard: 1.4403) | Val: 0.8555 (Easy: 0.5250, Hard: 1.1898) | LR: 0.001000
=> Epoch 004 | Train: 1.0084 (Easy: 0.5984, Hard: 1.3858) | Val: 0.8413 (Easy: 0.5206, Hard: 1.1685) | LR: 0.001000
=> Epoch 005 | Train: 0.9963 (Easy: 0.5975, Hard: 1.3671) | Val: 0.8263 (Easy: 0.5153, Hard: 1.1417) | LR: 0.001000
=> Epoch 006 | Train: 0.9926 (Easy: 0.5992, Hard: 1.3577) | Val: 0.8155 (Easy: 0.5027, Hard: 1.1346) | LR: 0.001000
=> Epoch 007 | Train: 0.9741 (Easy: 0.5869, Hard: 1.3344) | Val: 0.8065 (Easy: 0.5009, Hard: 1.1213) | LR: 0.001000
=> Epoch 008 | Train: 0.9514 (Easy: 0.5609, Hard: 1.3223) | Val: 0.7918 (Easy: 0.4834, Hard: 1.1113) | LR: 0.001000
=> Epoch 009 | Train: 0.9541 (Easy: 0.5729, Hard: 1.3146) | Val: 0.7931 (Easy: 0.4900, Hard: 1.1057) | LR: 0.001000
=> Epoch 010 | Train: 0.9441 (Easy: 0.5563, Hard: 1.3124) | Val: 0.7867 (Easy: 0.4919, Hard: 1.0892) | LR: 0.001000
=> Epoch 011 | Train: 0.9240 (Easy: 0.5498, Hard: 1.2816) | Val: 0.7744 (Easy: 0.4825, Hard: 1.0742) | LR: 0.001000
=> Epoch 012 | Train: 0.9240 (Easy: 0.5487, Hard: 1.2809) | Val: 0.7699 (Easy: 0.4785, Hard: 1.0727) | LR: 0.001000
=> Epoch 013 | Train: 0.9232 (Easy: 0.5572, Hard: 1.2731) | Val: 0.7645 (Easy: 0.4722, Hard: 1.0681) | LR: 0.001000
=> Epoch 014 | Train: 0.9116 (Easy: 0.5487, Hard: 1.2588) | Val: 0.7532 (Easy: 0.4637, Hard: 1.0534) | LR: 0.001000
=> Epoch 015 | Train: 0.9045 (Easy: 0.5447, Hard: 1.2530) | Val: 0.7614 (Easy: 0.4758, Hard: 1.0570) | LR: 0.001000
=> Epoch 016 | Train: 0.9077 (Easy: 0.5583, Hard: 1.2349) | Val: 0.7501 (Easy: 0.4614, Hard: 1.0496) | LR: 0.001000
=> Epoch 017 | Train: 0.9012 (Easy: 0.5443, Hard: 1.2445) | Val: 0.7460 (Easy: 0.4549, Hard: 1.0491) | LR: 0.001000
=> Epoch 018 | Train: 0.8889 (Easy: 0.5337, Hard: 1.2300) | Val: 0.7672 (Easy: 0.4843, Hard: 1.0617) | LR: 0.001000
=> Epoch 019 | Train: 0.8892 (Easy: 0.5479, Hard: 1.2183) | Val: 0.7429 (Easy: 0.4576, Hard: 1.0378) | LR: 0.001000
=> Epoch 020 | Train: 0.8800 (Easy: 0.5319, Hard: 1.2174) | Val: 0.7581 (Easy: 0.4728, Hard: 1.0550) | LR: 0.001000
=> Epoch 021 | Train: 0.8855 (Easy: 0.5406, Hard: 1.2156) | Val: 0.7437 (Easy: 0.4504, Hard: 1.0501) | LR: 0.001000
=> Epoch 022 | Train: 0.8654 (Easy: 0.5339, Hard: 1.1843) | Val: 0.7487 (Easy: 0.4656, Hard: 1.0425) | LR: 0.001000
=> Epoch 023 | Train: 0.8729 (Easy: 0.5347, Hard: 1.1958) | Val: 0.7444 (Easy: 0.4652, Hard: 1.0309) | LR: 0.001000
=> Epoch 024 | Train: 0.8694 (Easy: 0.5265, Hard: 1.2050) | Val: 0.7448 (Easy: 0.4639, Hard: 1.0339) | LR: 0.001000
=> Epoch 025 | Train: 0.8586 (Easy: 0.5200, Hard: 1.1844) | Val: 0.7467 (Easy: 0.4626, Hard: 1.0456) | LR: 0.001000
=> Epoch 026 | Train: 0.8670 (Easy: 0.5342, Hard: 1.1936) | Val: 0.7330 (Easy: 0.4470, Hard: 1.0296) | LR: 0.001000
=> Epoch 027 | Train: 0.8645 (Easy: 0.5227, Hard: 1.1916) | Val: 0.7351 (Easy: 0.4512, Hard: 1.0318) | LR: 0.001000
=> Epoch 028 | Train: 0.8533 (Easy: 0.5176, Hard: 1.1754) | Val: 0.7417 (Easy: 0.4655, Hard: 1.0243) | LR: 0.001000
=> Epoch 029 | Train: 0.8473 (Easy: 0.5166, Hard: 1.1660) | Val: 0.7285 (Easy: 0.4481, Hard: 1.0165) | LR: 0.001000
=> Epoch 030 | Train: 0.8521 (Easy: 0.5231, Hard: 1.1718) | Val: 0.7312 (Easy: 0.4456, Hard: 1.0367) | LR: 0.001000
=> Epoch 031 | Train: 0.8515 (Easy: 0.5284, Hard: 1.1673) | Val: 0.7172 (Easy: 0.4353, Hard: 1.0152) | LR: 0.001000
