=> Trial Start: ['dir_sim', 'recency', 'has_target', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'is_classroom']
=> Epoch 000 | Train: 1.4197 (Easy: 1.0664, Hard: 1.7619) | Val: 1.0255 (Easy: 0.6341, Hard: 1.4292) | LR: 0.001000
=> Epoch 001 | Train: 1.1244 (Easy: 0.6410, Hard: 1.5868) | Val: 0.9350 (Easy: 0.5536, Hard: 1.3223) | LR: 0.001000
=> Epoch 002 | Train: 1.0667 (Easy: 0.6259, Hard: 1.4916) | Val: 0.8860 (Easy: 0.5325, Hard: 1.2475) | LR: 0.001000
=> Epoch 003 | Train: 1.0356 (Easy: 0.6024, Hard: 1.4552) | Val: 0.8531 (Easy: 0.5178, Hard: 1.1954) | LR: 0.001000
=> Epoch 004 | Train: 1.0017 (Easy: 0.5891, Hard: 1.3927) | Val: 0.8355 (Easy: 0.5119, Hard: 1.1659) | LR: 0.001000
=> Epoch 005 | Train: 0.9848 (Easy: 0.5873, Hard: 1.3658) | Val: 0.8206 (Easy: 0.5080, Hard: 1.1360) | LR: 0.001000
=> Epoch 006 | Train: 0.9781 (Easy: 0.5815, Hard: 1.3607) | Val: 0.8101 (Easy: 0.5016, Hard: 1.1200) | LR: 0.001000
=> Epoch 007 | Train: 0.9581 (Easy: 0.5642, Hard: 1.3446) | Val: 0.8015 (Easy: 0.5053, Hard: 1.0955) | LR: 0.001000
=> Epoch 008 | Train: 0.9391 (Easy: 0.5585, Hard: 1.3118) | Val: 0.7920 (Easy: 0.4970, Hard: 1.0862) | LR: 0.001000
=> Epoch 009 | Train: 0.9436 (Easy: 0.5710, Hard: 1.3116) | Val: 0.7826 (Easy: 0.4911, Hard: 1.0716) | LR: 0.001000
=> Epoch 010 | Train: 0.9325 (Easy: 0.5444, Hard: 1.3120) | Val: 0.7811 (Easy: 0.4935, Hard: 1.0643) | LR: 0.001000
=> Epoch 011 | Train: 0.9057 (Easy: 0.5417, Hard: 1.2602) | Val: 0.7722 (Easy: 0.4901, Hard: 1.0545) | LR: 0.001000
=> Epoch 012 | Train: 0.9002 (Easy: 0.5348, Hard: 1.2562) | Val: 0.7643 (Easy: 0.4896, Hard: 1.0355) | LR: 0.001000
=> Epoch 013 | Train: 0.9047 (Easy: 0.5369, Hard: 1.2670) | Val: 0.7622 (Easy: 0.4899, Hard: 1.0332) | LR: 0.001000
=> Epoch 014 | Train: 0.8912 (Easy: 0.5324, Hard: 1.2426) | Val: 0.7506 (Easy: 0.4754, Hard: 1.0237) | LR: 0.001000
=> Epoch 015 | Train: 0.8874 (Easy: 0.5287, Hard: 1.2452) | Val: 0.7665 (Easy: 0.4968, Hard: 1.0380) | LR: 0.001000
=> Epoch 016 | Train: 0.8896 (Easy: 0.5382, Hard: 1.2291) | Val: 0.7490 (Easy: 0.4802, Hard: 1.0149) | LR: 0.001000
=> Epoch 017 | Train: 0.8907 (Easy: 0.5336, Hard: 1.2432) | Val: 0.7433 (Easy: 0.4662, Hard: 1.0225) | LR: 0.001000
=> Epoch 018 | Train: 0.8824 (Easy: 0.5288, Hard: 1.2295) | Val: 0.7392 (Easy: 0.4737, Hard: 1.0038) | LR: 0.001000
=> Epoch 019 | Train: 0.8682 (Easy: 0.5194, Hard: 1.2098) | Val: 0.7489 (Easy: 0.4899, Hard: 1.0059) | LR: 0.001000
=> Epoch 020 | Train: 0.8629 (Easy: 0.5220, Hard: 1.1995) | Val: 0.7402 (Easy: 0.4773, Hard: 1.0058) | LR: 0.001000
=> Epoch 021 | Train: 0.8687 (Easy: 0.5255, Hard: 1.2113) | Val: 0.7361 (Easy: 0.4706, Hard: 1.0012) | LR: 0.001000
=> Epoch 022 | Train: 0.8451 (Easy: 0.5220, Hard: 1.1668) | Val: 0.7372 (Easy: 0.4845, Hard: 0.9876) | LR: 0.001000
=> Epoch 023 | Train: 0.8531 (Easy: 0.5238, Hard: 1.1794) | Val: 0.7476 (Easy: 0.4953, Hard: 0.9996) | LR: 0.001000
=> Epoch 024 | Train: 0.8662 (Easy: 0.5178, Hard: 1.2109) | Val: 0.7345 (Easy: 0.4823, Hard: 0.9824) | LR: 0.001000
=> Epoch 025 | Train: 0.8562 (Easy: 0.5110, Hard: 1.1944) | Val: 0.7289 (Easy: 0.4797, Hard: 0.9797) | LR: 0.001000
=> Epoch 026 | Train: 0.8501 (Easy: 0.5259, Hard: 1.1734) | Val: 0.7345 (Easy: 0.4910, Hard: 0.9770) | LR: 0.001000
=> Epoch 027 | Train: 0.8507 (Easy: 0.5149, Hard: 1.1740) | Val: 0.7306 (Easy: 0.4875, Hard: 0.9736) | LR: 0.001000
=> Epoch 028 | Train: 0.8441 (Easy: 0.5150, Hard: 1.1711) | Val: 0.7278 (Easy: 0.4872, Hard: 0.9689) | LR: 0.001000
=> Epoch 029 | Train: 0.8489 (Easy: 0.5182, Hard: 1.1801) | Val: 0.7332 (Easy: 0.4952, Hard: 0.9703) | LR: 0.001000
=> Epoch 030 | Train: 0.8380 (Easy: 0.5155, Hard: 1.1511) | Val: 0.7326 (Easy: 0.4930, Hard: 0.9773) | LR: 0.001000
=> Epoch 031 | Train: 0.8320 (Easy: 0.5152, Hard: 1.1443) | Val: 0.7088 (Easy: 0.4655, Hard: 0.9545) | LR: 0.001000
=> Epoch 032 | Train: 0.8289 (Easy: 0.5091, Hard: 1.1461) | Val: 0.7232 (Easy: 0.4845, Hard: 0.9646) | LR: 0.001000
=> Epoch 033 | Train: 0.8189 (Easy: 0.5114, Hard: 1.1173) | Val: 0.7188 (Easy: 0.4740, Hard: 0.9679) | LR: 0.001000
=> Epoch 034 | Train: 0.8240 (Easy: 0.5016, Hard: 1.1368) | Val: 0.7164 (Easy: 0.4796, Hard: 0.9593) | LR: 0.001000
=> Epoch 035 | Train: 0.8217 (Easy: 0.5086, Hard: 1.1315) | Val: 0.7176 (Easy: 0.4775, Hard: 0.9640) | LR: 0.001000
=> Epoch 036 | Train: 0.8272 (Easy: 0.5086, Hard: 1.1349) | Val: 0.7045 (Easy: 0.4701, Hard: 0.9430) | LR: 0.001000
=> Epoch 037 | Train: 0.8255 (Easy: 0.5052, Hard: 1.1429) | Val: 0.7143 (Easy: 0.4716, Hard: 0.9670) | LR: 0.001000
=> Epoch 038 | Train: 0.8203 (Easy: 0.4989, Hard: 1.1414) | Val: 0.6974 (Easy: 0.4584, Hard: 0.9424) | LR: 0.001000
=> Epoch 039 | Train: 0.8197 (Easy: 0.5125, Hard: 1.1166) | Val: 0.7115 (Easy: 0.4755, Hard: 0.9527) | LR: 0.001000
=> Epoch 040 | Train: 0.8199 (Easy: 0.5058, Hard: 1.1237) | Val: 0.7018 (Easy: 0.4598, Hard: 0.9519) | LR: 0.001000
=> Epoch 041 | Train: 0.8060 (Easy: 0.5016, Hard: 1.1029) | Val: 0.7019 (Easy: 0.4691, Hard: 0.9402) | LR: 0.001000
=> Epoch 042 | Train: 0.8067 (Easy: 0.5020, Hard: 1.1057) | Val: 0.7139 (Easy: 0.4796, Hard: 0.9515) | LR: 0.001000
=> Epoch 043 | Train: 0.8061 (Easy: 0.4944, Hard: 1.1180) | Val: 0.7108 (Easy: 0.4754, Hard: 0.9528) | LR: 0.001000
=> Epoch 044 | Train: 0.8020 (Easy: 0.5112, Hard: 1.0845) | Val: 0.7065 (Easy: 0.4858, Hard: 0.9327) | LR: 0.001000
=> Epoch 045 | Train: 0.8014 (Easy: 0.5014, Hard: 1.1009) | Val: 0.6972 (Easy: 0.4760, Hard: 0.9229) | LR: 0.001000
=> Epoch 046 | Train: 0.7861 (Easy: 0.4887, Hard: 1.0817) | Val: 0.7007 (Easy: 0.4654, Hard: 0.9445) | LR: 0.001000
=> Epoch 047 | Train: 0.8032 (Easy: 0.4955, Hard: 1.1034) | Val: 0.6861 (Easy: 0.4544, Hard: 0.9236) | LR: 0.001000
=> Epoch 048 | Train: 0.7842 (Easy: 0.4862, Hard: 1.0772) | Val: 0.7123 (Easy: 0.4815, Hard: 0.9499) | LR: 0.001000
=> Epoch 049 | Train: 0.7882 (Easy: 0.4846, Hard: 1.0826) | Val: 0.6931 (Easy: 0.4641, Hard: 0.9274) | LR: 0.001000
=> Epoch 050 | Train: 0.7960 (Easy: 0.4972, Hard: 1.0863) | Val: 0.7066 (Easy: 0.4787, Hard: 0.9385) | LR: 0.001000
=> Epoch 051 | Train: 0.7817 (Easy: 0.4814, Hard: 1.0779) | Val: 0.6870 (Easy: 0.4606, Hard: 0.9220) | LR: 0.001000
