=> Trial Start: ['dir_sim', 'recency', 'has_target', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'is_common']
=> Epoch 000 | Train: 1.4571 (Easy: 1.1201, Hard: 1.7843) | Val: 1.0375 (Easy: 0.6560, Hard: 1.4276) | LR: 0.001000
=> Epoch 001 | Train: 1.1374 (Easy: 0.6637, Hard: 1.5837) | Val: 0.9275 (Easy: 0.5517, Hard: 1.3070) | LR: 0.001000
=> Epoch 002 | Train: 1.0673 (Easy: 0.6238, Hard: 1.4819) | Val: 0.8722 (Easy: 0.5217, Hard: 1.2315) | LR: 0.001000
=> Epoch 003 | Train: 1.0311 (Easy: 0.5913, Hard: 1.4468) | Val: 0.8423 (Easy: 0.5064, Hard: 1.1857) | LR: 0.001000
=> Epoch 004 | Train: 1.0057 (Easy: 0.5850, Hard: 1.3999) | Val: 0.8228 (Easy: 0.4957, Hard: 1.1568) | LR: 0.001000
=> Epoch 005 | Train: 0.9782 (Easy: 0.5686, Hard: 1.3608) | Val: 0.8126 (Easy: 0.4947, Hard: 1.1352) | LR: 0.001000
=> Epoch 006 | Train: 0.9699 (Easy: 0.5738, Hard: 1.3434) | Val: 0.8046 (Easy: 0.4860, Hard: 1.1313) | LR: 0.001000
=> Epoch 007 | Train: 0.9519 (Easy: 0.5571, Hard: 1.3255) | Val: 0.7896 (Easy: 0.4812, Hard: 1.1039) | LR: 0.001000
=> Epoch 008 | Train: 0.9326 (Easy: 0.5443, Hard: 1.3050) | Val: 0.7813 (Easy: 0.4827, Hard: 1.0801) | LR: 0.001000
=> Epoch 009 | Train: 0.9382 (Easy: 0.5607, Hard: 1.3001) | Val: 0.7978 (Easy: 0.4789, Hard: 1.1433) | LR: 0.001000
=> Epoch 010 | Train: 0.9304 (Easy: 0.5442, Hard: 1.3038) | Val: 0.7747 (Easy: 0.4726, Hard: 1.0881) | LR: 0.001000
=> Epoch 011 | Train: 0.9193 (Easy: 0.5393, Hard: 1.2849) | Val: 0.7584 (Easy: 0.4604, Hard: 1.0644) | LR: 0.001000
=> Epoch 012 | Train: 0.9092 (Easy: 0.5240, Hard: 1.2776) | Val: 0.7561 (Easy: 0.4609, Hard: 1.0539) | LR: 0.001000
=> Epoch 013 | Train: 0.9056 (Easy: 0.5321, Hard: 1.2642) | Val: 0.7432 (Easy: 0.4515, Hard: 1.0385) | LR: 0.001000
=> Epoch 014 | Train: 0.8910 (Easy: 0.5219, Hard: 1.2508) | Val: 0.7454 (Easy: 0.4539, Hard: 1.0425) | LR: 0.001000
