=> Trial Start: ['dir_sim', 'recency', 'has_target', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'is_entrance']
=> Epoch 000 | Train: 1.3381 (Easy: 1.0475, Hard: 1.6224) | Val: 0.9292 (Easy: 0.5881, Hard: 1.2535) | LR: 0.001000
=> Epoch 001 | Train: 1.0127 (Easy: 0.5981, Hard: 1.4209) | Val: 0.8489 (Easy: 0.5286, Hard: 1.1574) | LR: 0.001000
=> Epoch 002 | Train: 0.9750 (Easy: 0.5787, Hard: 1.3671) | Val: 0.8042 (Easy: 0.5052, Hard: 1.0974) | LR: 0.001000
=> Epoch 003 | Train: 0.9420 (Easy: 0.5625, Hard: 1.3212) | Val: 0.7832 (Easy: 0.5008, Hard: 1.0627) | LR: 0.001000
=> Epoch 004 | Train: 0.9246 (Easy: 0.5511, Hard: 1.2870) | Val: 0.7699 (Easy: 0.4930, Hard: 1.0465) | LR: 0.001000
=> Epoch 005 | Train: 0.9182 (Easy: 0.5479, Hard: 1.2789) | Val: 0.7647 (Easy: 0.4883, Hard: 1.0419) | LR: 0.001000
=> Epoch 006 | Train: 0.9091 (Easy: 0.5446, Hard: 1.2613) | Val: 0.7550 (Easy: 0.4764, Hard: 1.0351) | LR: 0.001000
=> Epoch 007 | Train: 0.8911 (Easy: 0.5357, Hard: 1.2339) | Val: 0.7531 (Easy: 0.4855, Hard: 1.0228) | LR: 0.001000
=> Epoch 008 | Train: 0.8799 (Easy: 0.5295, Hard: 1.2202) | Val: 0.7498 (Easy: 0.4834, Hard: 1.0186) | LR: 0.001000
=> Epoch 009 | Train: 0.8738 (Easy: 0.5293, Hard: 1.2078) | Val: 0.7400 (Easy: 0.4664, Hard: 1.0180) | LR: 0.001000
=> Epoch 010 | Train: 0.8712 (Easy: 0.5181, Hard: 1.2132) | Val: 0.7346 (Easy: 0.4657, Hard: 1.0073) | LR: 0.001000
=> Epoch 011 | Train: 0.8487 (Easy: 0.5073, Hard: 1.1812) | Val: 0.7344 (Easy: 0.4709, Hard: 1.0022) | LR: 0.001000
=> Epoch 012 | Train: 0.8509 (Easy: 0.5070, Hard: 1.1847) | Val: 0.7236 (Easy: 0.4613, Hard: 0.9884) | LR: 0.001000
=> Epoch 013 | Train: 0.8434 (Easy: 0.5079, Hard: 1.1669) | Val: 0.7201 (Easy: 0.4617, Hard: 0.9808) | LR: 0.001000
=> Epoch 014 | Train: 0.8317 (Easy: 0.5078, Hard: 1.1482) | Val: 0.7139 (Easy: 0.4590, Hard: 0.9712) | LR: 0.001000
=> Epoch 015 | Train: 0.8221 (Easy: 0.4910, Hard: 1.1428) | Val: 0.7266 (Easy: 0.4741, Hard: 0.9803) | LR: 0.001000
=> Epoch 016 | Train: 0.8272 (Easy: 0.5123, Hard: 1.1245) | Val: 0.6926 (Easy: 0.4403, Hard: 0.9485) | LR: 0.001000
=> Epoch 017 | Train: 0.8197 (Easy: 0.4957, Hard: 1.1334) | Val: 0.6938 (Easy: 0.4439, Hard: 0.9471) | LR: 0.001000
=> Epoch 018 | Train: 0.8039 (Easy: 0.4915, Hard: 1.1053) | Val: 0.7040 (Easy: 0.4540, Hard: 0.9579) | LR: 0.001000
=> Epoch 019 | Train: 0.8130 (Easy: 0.4951, Hard: 1.1188) | Val: 0.6972 (Easy: 0.4437, Hard: 0.9547) | LR: 0.001000
=> Epoch 020 | Train: 0.8051 (Easy: 0.4976, Hard: 1.1019) | Val: 0.6933 (Easy: 0.4422, Hard: 0.9495) | LR: 0.001000
=> Epoch 021 | Train: 0.8017 (Easy: 0.4911, Hard: 1.1053) | Val: 0.6857 (Easy: 0.4394, Hard: 0.9358) | LR: 0.001000
=> Epoch 022 | Train: 0.7939 (Easy: 0.4875, Hard: 1.0893) | Val: 0.6848 (Easy: 0.4420, Hard: 0.9312) | LR: 0.001000
=> Epoch 023 | Train: 0.7890 (Easy: 0.4852, Hard: 1.0874) | Val: 0.6835 (Easy: 0.4426, Hard: 0.9309) | LR: 0.001000
=> Epoch 024 | Train: 0.7871 (Easy: 0.4833, Hard: 1.0858) | Val: 0.6826 (Easy: 0.4465, Hard: 0.9205) | LR: 0.001000
=> Epoch 025 | Train: 0.7863 (Easy: 0.4920, Hard: 1.0657) | Val: 0.6799 (Easy: 0.4443, Hard: 0.9187) | LR: 0.001000
=> Epoch 026 | Train: 0.7828 (Easy: 0.4908, Hard: 1.0651) | Val: 0.6663 (Easy: 0.4324, Hard: 0.9070) | LR: 0.001000
=> Epoch 027 | Train: 0.7916 (Easy: 0.4811, Hard: 1.0885) | Val: 0.6657 (Easy: 0.4316, Hard: 0.9064) | LR: 0.001000
=> Epoch 028 | Train: 0.7737 (Easy: 0.4842, Hard: 1.0532) | Val: 0.6953 (Easy: 0.4609, Hard: 0.9374) | LR: 0.001000
=> Epoch 029 | Train: 0.7791 (Easy: 0.4794, Hard: 1.0677) | Val: 0.6691 (Easy: 0.4340, Hard: 0.9128) | LR: 0.001000
=> Epoch 030 | Train: 0.7668 (Easy: 0.4895, Hard: 1.0324) | Val: 0.6629 (Easy: 0.4274, Hard: 0.9085) | LR: 0.001000
=> Epoch 031 | Train: 0.7661 (Easy: 0.4860, Hard: 1.0354) | Val: 0.6645 (Easy: 0.4290, Hard: 0.9093) | LR: 0.001000
=> Epoch 032 | Train: 0.7723 (Easy: 0.4818, Hard: 1.0534) | Val: 0.6651 (Easy: 0.4334, Hard: 0.9054) | LR: 0.001000
=> Epoch 033 | Train: 0.7589 (Easy: 0.4890, Hard: 1.0194) | Val: 0.6681 (Easy: 0.4385, Hard: 0.9067) | LR: 0.001000
=> Epoch 034 | Train: 0.7715 (Easy: 0.4767, Hard: 1.0517) | Val: 0.6618 (Easy: 0.4299, Hard: 0.9062) | LR: 0.001000
=> Epoch 035 | Train: 0.7732 (Easy: 0.4802, Hard: 1.0564) | Val: 0.6649 (Easy: 0.4361, Hard: 0.9063) | LR: 0.001000
=> Epoch 036 | Train: 0.7564 (Easy: 0.4741, Hard: 1.0279) | Val: 0.6559 (Easy: 0.4281, Hard: 0.8958) | LR: 0.001000
=> Epoch 037 | Train: 0.7538 (Easy: 0.4722, Hard: 1.0227) | Val: 0.6581 (Easy: 0.4335, Hard: 0.8924) | LR: 0.001000
=> Epoch 038 | Train: 0.7472 (Easy: 0.4750, Hard: 1.0082) | Val: 0.6480 (Easy: 0.4320, Hard: 0.8733) | LR: 0.001000
=> Epoch 039 | Train: 0.7587 (Easy: 0.4832, Hard: 1.0212) | Val: 0.6580 (Easy: 0.4328, Hard: 0.8928) | LR: 0.001000
=> Epoch 040 | Train: 0.7507 (Easy: 0.4719, Hard: 1.0134) | Val: 0.6579 (Easy: 0.4329, Hard: 0.8954) | LR: 0.001000
=> Epoch 041 | Train: 0.7469 (Easy: 0.4753, Hard: 1.0031) | Val: 0.6578 (Easy: 0.4372, Hard: 0.8841) | LR: 0.001000
