=> Trial Start: ['dir_sim', 'recency', 'has_target', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'is_hallway']
=> Epoch 000 | Train: 1.4845 (Easy: 1.1748, Hard: 1.7848) | Val: 1.0449 (Easy: 0.6915, Hard: 1.3941) | LR: 0.001000
=> Epoch 001 | Train: 1.0908 (Easy: 0.6530, Hard: 1.5000) | Val: 0.8943 (Easy: 0.5701, Hard: 1.2075) | LR: 0.001000
=> Epoch 002 | Train: 1.0109 (Easy: 0.6144, Hard: 1.3866) | Val: 0.8236 (Easy: 0.5170, Hard: 1.1188) | LR: 0.001000
=> Epoch 003 | Train: 0.9593 (Easy: 0.5680, Hard: 1.3378) | Val: 0.7773 (Easy: 0.4944, Hard: 1.0494) | LR: 0.001000
=> Epoch 004 | Train: 0.9367 (Easy: 0.5552, Hard: 1.3036) | Val: 0.7538 (Easy: 0.4872, Hard: 1.0113) | LR: 0.001000
=> Epoch 005 | Train: 0.9039 (Easy: 0.5423, Hard: 1.2663) | Val: 0.7368 (Easy: 0.4732, Hard: 0.9924) | LR: 0.001000
=> Epoch 006 | Train: 0.9039 (Easy: 0.5403, Hard: 1.2611) | Val: 0.7331 (Easy: 0.4757, Hard: 0.9828) | LR: 0.001000
=> Epoch 007 | Train: 0.8875 (Easy: 0.5376, Hard: 1.2346) | Val: 0.7209 (Easy: 0.4593, Hard: 0.9785) | LR: 0.001000
=> Epoch 008 | Train: 0.8856 (Easy: 0.5232, Hard: 1.2485) | Val: 0.7157 (Easy: 0.4592, Hard: 0.9686) | LR: 0.001000
=> Epoch 009 | Train: 0.8724 (Easy: 0.5228, Hard: 1.2204) | Val: 0.7153 (Easy: 0.4573, Hard: 0.9702) | LR: 0.001000
=> Epoch 010 | Train: 0.8795 (Easy: 0.5173, Hard: 1.2423) | Val: 0.7169 (Easy: 0.4565, Hard: 0.9798) | LR: 0.001000
=> Epoch 011 | Train: 0.8619 (Easy: 0.5122, Hard: 1.2099) | Val: 0.7089 (Easy: 0.4484, Hard: 0.9714) | LR: 0.001000
=> Epoch 012 | Train: 0.8574 (Easy: 0.5107, Hard: 1.2041) | Val: 0.7039 (Easy: 0.4485, Hard: 0.9573) | LR: 0.001000
=> Epoch 013 | Train: 0.8569 (Easy: 0.5088, Hard: 1.2044) | Val: 0.7072 (Easy: 0.4479, Hard: 0.9705) | LR: 0.001000
=> Epoch 014 | Train: 0.8466 (Easy: 0.5090, Hard: 1.1880) | Val: 0.7032 (Easy: 0.4431, Hard: 0.9656) | LR: 0.001000
=> Epoch 015 | Train: 0.8447 (Easy: 0.5013, Hard: 1.1901) | Val: 0.7060 (Easy: 0.4487, Hard: 0.9693) | LR: 0.001000
=> Epoch 016 | Train: 0.8374 (Easy: 0.5057, Hard: 1.1620) | Val: 0.7064 (Easy: 0.4452, Hard: 0.9715) | LR: 0.001000
=> Epoch 017 | Train: 0.8328 (Easy: 0.5007, Hard: 1.1636) | Val: 0.7004 (Easy: 0.4443, Hard: 0.9589) | LR: 0.001000
=> Epoch 018 | Train: 0.8299 (Easy: 0.4975, Hard: 1.1672) | Val: 0.7004 (Easy: 0.4468, Hard: 0.9554) | LR: 0.001000
=> Epoch 019 | Train: 0.8295 (Easy: 0.4959, Hard: 1.1631) | Val: 0.6910 (Easy: 0.4417, Hard: 0.9417) | LR: 0.001000
=> Epoch 020 | Train: 0.8289 (Easy: 0.4957, Hard: 1.1636) | Val: 0.6942 (Easy: 0.4435, Hard: 0.9468) | LR: 0.001000
=> Epoch 021 | Train: 0.8176 (Easy: 0.4927, Hard: 1.1525) | Val: 0.6962 (Easy: 0.4384, Hard: 0.9542) | LR: 0.001000
=> Epoch 022 | Train: 0.8164 (Easy: 0.4858, Hard: 1.1523) | Val: 0.6874 (Easy: 0.4391, Hard: 0.9372) | LR: 0.001000
=> Epoch 023 | Train: 0.8125 (Easy: 0.4861, Hard: 1.1465) | Val: 0.6882 (Easy: 0.4417, Hard: 0.9382) | LR: 0.001000
=> Epoch 024 | Train: 0.8145 (Easy: 0.4816, Hard: 1.1624) | Val: 0.7132 (Easy: 0.4543, Hard: 0.9736) | LR: 0.001000
=> Epoch 025 | Train: 0.8180 (Easy: 0.4920, Hard: 1.1492) | Val: 0.6856 (Easy: 0.4472, Hard: 0.9250) | LR: 0.001000
=> Epoch 026 | Train: 0.8067 (Easy: 0.4862, Hard: 1.1308) | Val: 0.6819 (Easy: 0.4481, Hard: 0.9179) | LR: 0.001000
=> Epoch 027 | Train: 0.8008 (Easy: 0.4870, Hard: 1.1149) | Val: 0.6854 (Easy: 0.4494, Hard: 0.9242) | LR: 0.001000
=> Epoch 028 | Train: 0.8051 (Easy: 0.4841, Hard: 1.1279) | Val: 0.6780 (Easy: 0.4462, Hard: 0.9137) | LR: 0.001000
=> Epoch 029 | Train: 0.8019 (Easy: 0.4811, Hard: 1.1325) | Val: 0.6881 (Easy: 0.4587, Hard: 0.9180) | LR: 0.001000
=> Epoch 030 | Train: 0.8032 (Easy: 0.4945, Hard: 1.1192) | Val: 0.6719 (Easy: 0.4420, Hard: 0.9055) | LR: 0.001000
=> Epoch 031 | Train: 0.7904 (Easy: 0.4876, Hard: 1.0945) | Val: 0.6788 (Easy: 0.4508, Hard: 0.9101) | LR: 0.001000
=> Epoch 032 | Train: 0.8027 (Easy: 0.4881, Hard: 1.1196) | Val: 0.6788 (Easy: 0.4599, Hard: 0.8987) | LR: 0.001000
=> Epoch 033 | Train: 0.7856 (Easy: 0.4855, Hard: 1.0866) | Val: 0.6844 (Easy: 0.4558, Hard: 0.9164) | LR: 0.001000
