=> Trial Start: ['dir_sim', 'recency', 'has_target', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'is_outside']
=> Epoch 000 | Train: 1.1934 (Easy: 0.8627, Hard: 1.5160) | Val: 0.8868 (Easy: 0.5473, Hard: 1.2085) | LR: 0.001000
=> Epoch 001 | Train: 0.9966 (Easy: 0.5854, Hard: 1.4098) | Val: 0.8263 (Easy: 0.5118, Hard: 1.1291) | LR: 0.001000
=> Epoch 002 | Train: 0.9674 (Easy: 0.5761, Hard: 1.3605) | Val: 0.7943 (Easy: 0.5013, Hard: 1.0796) | LR: 0.001000
=> Epoch 003 | Train: 0.9469 (Easy: 0.5716, Hard: 1.3282) | Val: 0.7717 (Easy: 0.4856, Hard: 1.0548) | LR: 0.001000
=> Epoch 004 | Train: 0.9278 (Easy: 0.5540, Hard: 1.2978) | Val: 0.7564 (Easy: 0.4719, Hard: 1.0422) | LR: 0.001000
=> Epoch 005 | Train: 0.9190 (Easy: 0.5503, Hard: 1.2874) | Val: 0.7494 (Easy: 0.4711, Hard: 1.0293) | LR: 0.001000
=> Epoch 006 | Train: 0.9125 (Easy: 0.5481, Hard: 1.2748) | Val: 0.7440 (Easy: 0.4597, Hard: 1.0324) | LR: 0.001000
=> Epoch 007 | Train: 0.8963 (Easy: 0.5361, Hard: 1.2541) | Val: 0.7376 (Easy: 0.4629, Hard: 1.0163) | LR: 0.001000
=> Epoch 008 | Train: 0.8861 (Easy: 0.5300, Hard: 1.2371) | Val: 0.7304 (Easy: 0.4577, Hard: 1.0070) | LR: 0.001000
=> Epoch 009 | Train: 0.8877 (Easy: 0.5350, Hard: 1.2330) | Val: 0.7213 (Easy: 0.4519, Hard: 0.9931) | LR: 0.001000
=> Epoch 010 | Train: 0.8792 (Easy: 0.5219, Hard: 1.2295) | Val: 0.7178 (Easy: 0.4500, Hard: 0.9880) | LR: 0.001000
=> Epoch 011 | Train: 0.8638 (Easy: 0.5164, Hard: 1.2066) | Val: 0.7081 (Easy: 0.4452, Hard: 0.9733) | LR: 0.001000
=> Epoch 012 | Train: 0.8590 (Easy: 0.5115, Hard: 1.1966) | Val: 0.7104 (Easy: 0.4510, Hard: 0.9722) | LR: 0.001000
=> Epoch 013 | Train: 0.8607 (Easy: 0.5212, Hard: 1.1913) | Val: 0.6996 (Easy: 0.4417, Hard: 0.9587) | LR: 0.001000
=> Epoch 014 | Train: 0.8509 (Easy: 0.5119, Hard: 1.1847) | Val: 0.6913 (Easy: 0.4384, Hard: 0.9455) | LR: 0.001000
=> Epoch 015 | Train: 0.8405 (Easy: 0.5056, Hard: 1.1701) | Val: 0.6859 (Easy: 0.4403, Hard: 0.9314) | LR: 0.001000
=> Epoch 016 | Train: 0.8381 (Easy: 0.5075, Hard: 1.1558) | Val: 0.6808 (Easy: 0.4316, Hard: 0.9308) | LR: 0.001000
=> Epoch 017 | Train: 0.8369 (Easy: 0.5052, Hard: 1.1559) | Val: 0.6740 (Easy: 0.4306, Hard: 0.9185) | LR: 0.001000
=> Epoch 018 | Train: 0.8231 (Easy: 0.4982, Hard: 1.1428) | Val: 0.6781 (Easy: 0.4387, Hard: 0.9174) | LR: 0.001000
=> Epoch 019 | Train: 0.8215 (Easy: 0.5054, Hard: 1.1286) | Val: 0.6806 (Easy: 0.4496, Hard: 0.9120) | LR: 0.001000
=> Epoch 020 | Train: 0.8148 (Easy: 0.5004, Hard: 1.1215) | Val: 0.6693 (Easy: 0.4428, Hard: 0.8964) | LR: 0.001000
=> Epoch 021 | Train: 0.8126 (Easy: 0.5014, Hard: 1.1164) | Val: 0.6580 (Easy: 0.4350, Hard: 0.8817) | LR: 0.001000
=> Epoch 022 | Train: 0.8100 (Easy: 0.4987, Hard: 1.1094) | Val: 0.6503 (Easy: 0.4308, Hard: 0.8694) | LR: 0.001000
=> Epoch 023 | Train: 0.8050 (Easy: 0.4957, Hard: 1.1082) | Val: 0.6526 (Easy: 0.4340, Hard: 0.8719) | LR: 0.001000
=> Epoch 024 | Train: 0.8020 (Easy: 0.4988, Hard: 1.1019) | Val: 0.6517 (Easy: 0.4342, Hard: 0.8681) | LR: 0.001000
=> Epoch 025 | Train: 0.7909 (Easy: 0.4959, Hard: 1.0735) | Val: 0.6438 (Easy: 0.4266, Hard: 0.8618) | LR: 0.001000
=> Epoch 026 | Train: 0.7982 (Easy: 0.4988, Hard: 1.0900) | Val: 0.6415 (Easy: 0.4321, Hard: 0.8509) | LR: 0.001000
