=> Trial Start: ['dir_sim', 'recency', 'has_target', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'is_stair']
=> Epoch 000 | Train: 1.4677 (Easy: 1.1289, Hard: 1.7937) | Val: 1.0512 (Easy: 0.6701, Hard: 1.4459) | LR: 0.001000
=> Epoch 001 | Train: 1.1410 (Easy: 0.6705, Hard: 1.5864) | Val: 0.9381 (Easy: 0.5635, Hard: 1.3220) | LR: 0.001000
=> Epoch 002 | Train: 1.0580 (Easy: 0.6305, Hard: 1.4658) | Val: 0.8780 (Easy: 0.5365, Hard: 1.2348) | LR: 0.001000
=> Epoch 003 | Train: 1.0060 (Easy: 0.6018, Hard: 1.4032) | Val: 0.8459 (Easy: 0.5235, Hard: 1.1825) | LR: 0.001000
=> Epoch 004 | Train: 0.9819 (Easy: 0.5994, Hard: 1.3580) | Val: 0.8210 (Easy: 0.5010, Hard: 1.1596) | LR: 0.001000
=> Epoch 005 | Train: 0.9567 (Easy: 0.5792, Hard: 1.3306) | Val: 0.8073 (Easy: 0.4952, Hard: 1.1383) | LR: 0.001000
=> Epoch 006 | Train: 0.9465 (Easy: 0.5839, Hard: 1.3073) | Val: 0.8001 (Easy: 0.4906, Hard: 1.1319) | LR: 0.001000
=> Epoch 007 | Train: 0.9275 (Easy: 0.5610, Hard: 1.2940) | Val: 0.7829 (Easy: 0.4791, Hard: 1.1054) | LR: 0.001000
=> Epoch 008 | Train: 0.9149 (Easy: 0.5453, Hard: 1.2920) | Val: 0.7800 (Easy: 0.4837, Hard: 1.0929) | LR: 0.001000
=> Epoch 009 | Train: 0.9154 (Easy: 0.5556, Hard: 1.2821) | Val: 0.7664 (Easy: 0.4637, Hard: 1.0876) | LR: 0.001000
=> Epoch 010 | Train: 0.9139 (Easy: 0.5425, Hard: 1.2909) | Val: 0.7629 (Easy: 0.4634, Hard: 1.0784) | LR: 0.001000
=> Epoch 011 | Train: 0.8987 (Easy: 0.5360, Hard: 1.2691) | Val: 0.7497 (Easy: 0.4563, Hard: 1.0627) | LR: 0.001000
=> Epoch 012 | Train: 0.8868 (Easy: 0.5218, Hard: 1.2506) | Val: 0.7471 (Easy: 0.4531, Hard: 1.0540) | LR: 0.001000
=> Epoch 013 | Train: 0.8945 (Easy: 0.5332, Hard: 1.2615) | Val: 0.7441 (Easy: 0.4542, Hard: 1.0505) | LR: 0.001000
=> Epoch 014 | Train: 0.8773 (Easy: 0.5240, Hard: 1.2386) | Val: 0.7384 (Easy: 0.4485, Hard: 1.0411) | LR: 0.001000
=> Epoch 015 | Train: 0.8754 (Easy: 0.5184, Hard: 1.2373) | Val: 0.7309 (Easy: 0.4501, Hard: 1.0255) | LR: 0.001000
=> Epoch 016 | Train: 0.8685 (Easy: 0.5229, Hard: 1.2125) | Val: 0.7254 (Easy: 0.4386, Hard: 1.0263) | LR: 0.001000
=> Epoch 017 | Train: 0.8690 (Easy: 0.5169, Hard: 1.2265) | Val: 0.7239 (Easy: 0.4319, Hard: 1.0297) | LR: 0.001000
=> Epoch 018 | Train: 0.8617 (Easy: 0.5168, Hard: 1.2137) | Val: 0.7159 (Easy: 0.4373, Hard: 1.0078) | LR: 0.001000
=> Epoch 019 | Train: 0.8604 (Easy: 0.5187, Hard: 1.2047) | Val: 0.7168 (Easy: 0.4332, Hard: 1.0109) | LR: 0.001000
=> Epoch 020 | Train: 0.8482 (Easy: 0.5033, Hard: 1.2037) | Val: 0.7161 (Easy: 0.4319, Hard: 1.0177) | LR: 0.001000
=> Epoch 021 | Train: 0.8430 (Easy: 0.5047, Hard: 1.1889) | Val: 0.7104 (Easy: 0.4252, Hard: 1.0092) | LR: 0.001000
=> Epoch 022 | Train: 0.8415 (Easy: 0.5081, Hard: 1.1844) | Val: 0.7040 (Easy: 0.4300, Hard: 0.9913) | LR: 0.001000
=> Epoch 023 | Train: 0.8287 (Easy: 0.5081, Hard: 1.1629) | Val: 0.7059 (Easy: 0.4411, Hard: 0.9825) | LR: 0.001000
=> Epoch 024 | Train: 0.8410 (Easy: 0.4966, Hard: 1.1989) | Val: 0.7092 (Easy: 0.4400, Hard: 0.9890) | LR: 0.001000
=> Epoch 025 | Train: 0.8272 (Easy: 0.5088, Hard: 1.1506) | Val: 0.6971 (Easy: 0.4283, Hard: 0.9800) | LR: 0.001000
=> Epoch 026 | Train: 0.8296 (Easy: 0.5069, Hard: 1.1632) | Val: 0.6924 (Easy: 0.4277, Hard: 0.9687) | LR: 0.001000
=> Epoch 027 | Train: 0.8326 (Easy: 0.5008, Hard: 1.1664) | Val: 0.6918 (Easy: 0.4219, Hard: 0.9767) | LR: 0.001000
=> Epoch 028 | Train: 0.8228 (Easy: 0.5062, Hard: 1.1517) | Val: 0.6894 (Easy: 0.4225, Hard: 0.9687) | LR: 0.001000
=> Epoch 029 | Train: 0.8231 (Easy: 0.4998, Hard: 1.1542) | Val: 0.6897 (Easy: 0.4316, Hard: 0.9581) | LR: 0.001000
=> Epoch 030 | Train: 0.8198 (Easy: 0.5075, Hard: 1.1369) | Val: 0.6882 (Easy: 0.4271, Hard: 0.9627) | LR: 0.001000
=> Epoch 031 | Train: 0.8219 (Easy: 0.5014, Hard: 1.1531) | Val: 0.6888 (Easy: 0.4288, Hard: 0.9583) | LR: 0.001000
=> Epoch 032 | Train: 0.8079 (Easy: 0.4970, Hard: 1.1333) | Val: 0.6832 (Easy: 0.4252, Hard: 0.9486) | LR: 0.001000
=> Epoch 033 | Train: 0.8078 (Easy: 0.4960, Hard: 1.1258) | Val: 0.6846 (Easy: 0.4293, Hard: 0.9489) | LR: 0.001000
=> Epoch 034 | Train: 0.8088 (Easy: 0.4992, Hard: 1.1203) | Val: 0.6793 (Easy: 0.4169, Hard: 0.9511) | LR: 0.001000
=> Epoch 035 | Train: 0.8034 (Easy: 0.4840, Hard: 1.1309) | Val: 0.6838 (Easy: 0.4363, Hard: 0.9416) | LR: 0.001000
=> Epoch 036 | Train: 0.8011 (Easy: 0.4884, Hard: 1.1190) | Val: 0.6809 (Easy: 0.4371, Hard: 0.9321) | LR: 0.001000
