=> Trial Start: ['dir_sim', 'recency', 'has_target', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'last_node']
=> Epoch 000 | Train: 1.4329 (Easy: 1.1273, Hard: 1.7287) | Val: 0.9963 (Easy: 0.6279, Hard: 1.3737) | LR: 0.001000
=> Epoch 001 | Train: 1.1228 (Easy: 0.6580, Hard: 1.5661) | Val: 0.9041 (Easy: 0.5317, Hard: 1.2836) | LR: 0.001000
=> Epoch 002 | Train: 1.0641 (Easy: 0.6326, Hard: 1.4777) | Val: 0.8659 (Easy: 0.5094, Hard: 1.2329) | LR: 0.001000
=> Epoch 003 | Train: 1.0355 (Easy: 0.5982, Hard: 1.4551) | Val: 0.8437 (Easy: 0.4966, Hard: 1.2024) | LR: 0.001000
=> Epoch 004 | Train: 1.0047 (Easy: 0.5931, Hard: 1.3939) | Val: 0.8288 (Easy: 0.4862, Hard: 1.1831) | LR: 0.001000
=> Epoch 005 | Train: 0.9940 (Easy: 0.5830, Hard: 1.3848) | Val: 0.8177 (Easy: 0.4828, Hard: 1.1648) | LR: 0.001000
=> Epoch 006 | Train: 0.9953 (Easy: 0.5888, Hard: 1.3860) | Val: 0.8152 (Easy: 0.4814, Hard: 1.1606) | LR: 0.001000
=> Epoch 007 | Train: 0.9754 (Easy: 0.5659, Hard: 1.3678) | Val: 0.8029 (Easy: 0.4734, Hard: 1.1418) | LR: 0.001000
=> Epoch 008 | Train: 0.9546 (Easy: 0.5522, Hard: 1.3450) | Val: 0.7923 (Easy: 0.4618, Hard: 1.1340) | LR: 0.001000
=> Epoch 009 | Train: 0.9556 (Easy: 0.5585, Hard: 1.3388) | Val: 0.7920 (Easy: 0.4695, Hard: 1.1243) | LR: 0.001000
=> Epoch 010 | Train: 0.9507 (Easy: 0.5410, Hard: 1.3493) | Val: 0.7843 (Easy: 0.4662, Hard: 1.1111) | LR: 0.001000
=> Epoch 011 | Train: 0.9284 (Easy: 0.5388, Hard: 1.3057) | Val: 0.7799 (Easy: 0.4641, Hard: 1.1046) | LR: 0.001000
=> Epoch 012 | Train: 0.9328 (Easy: 0.5308, Hard: 1.3172) | Val: 0.7755 (Easy: 0.4601, Hard: 1.0982) | LR: 0.001000
=> Epoch 013 | Train: 0.9357 (Easy: 0.5481, Hard: 1.3091) | Val: 0.7619 (Easy: 0.4495, Hard: 1.0844) | LR: 0.001000
=> Epoch 014 | Train: 0.9212 (Easy: 0.5292, Hard: 1.3061) | Val: 0.7626 (Easy: 0.4495, Hard: 1.0851) | LR: 0.001000
=> Epoch 015 | Train: 0.9152 (Easy: 0.5371, Hard: 1.2855) | Val: 0.7768 (Easy: 0.4702, Hard: 1.0926) | LR: 0.001000
=> Epoch 016 | Train: 0.9152 (Easy: 0.5329, Hard: 1.2825) | Val: 0.7583 (Easy: 0.4488, Hard: 1.0771) | LR: 0.001000
=> Epoch 017 | Train: 0.9062 (Easy: 0.5293, Hard: 1.2711) | Val: 0.7479 (Easy: 0.4395, Hard: 1.0654) | LR: 0.001000
=> Epoch 018 | Train: 0.9010 (Easy: 0.5292, Hard: 1.2564) | Val: 0.7478 (Easy: 0.4473, Hard: 1.0569) | LR: 0.001000
=> Epoch 019 | Train: 0.8946 (Easy: 0.5333, Hard: 1.2453) | Val: 0.7452 (Easy: 0.4402, Hard: 1.0583) | LR: 0.001000
=> Epoch 020 | Train: 0.8854 (Easy: 0.5279, Hard: 1.2337) | Val: 0.7380 (Easy: 0.4389, Hard: 1.0465) | LR: 0.001000
=> Epoch 021 | Train: 0.8918 (Easy: 0.5243, Hard: 1.2493) | Val: 0.7395 (Easy: 0.4392, Hard: 1.0475) | LR: 0.001000
=> Epoch 022 | Train: 0.8709 (Easy: 0.5167, Hard: 1.2165) | Val: 0.7350 (Easy: 0.4470, Hard: 1.0305) | LR: 0.001000
=> Epoch 023 | Train: 0.8755 (Easy: 0.5299, Hard: 1.2087) | Val: 0.7276 (Easy: 0.4392, Hard: 1.0239) | LR: 0.001000
=> Epoch 024 | Train: 0.8880 (Easy: 0.5294, Hard: 1.2395) | Val: 0.7333 (Easy: 0.4486, Hard: 1.0229) | LR: 0.001000
=> Epoch 025 | Train: 0.8759 (Easy: 0.5173, Hard: 1.2187) | Val: 0.7250 (Easy: 0.4404, Hard: 1.0171) | LR: 0.001000
=> Epoch 026 | Train: 0.8699 (Easy: 0.5289, Hard: 1.1971) | Val: 0.7273 (Easy: 0.4415, Hard: 1.0206) | LR: 0.001000
=> Epoch 027 | Train: 0.8797 (Easy: 0.5303, Hard: 1.2102) | Val: 0.7188 (Easy: 0.4332, Hard: 1.0118) | LR: 0.001000
=> Epoch 028 | Train: 0.8602 (Easy: 0.5125, Hard: 1.1963) | Val: 0.7198 (Easy: 0.4436, Hard: 1.0041) | LR: 0.001000
=> Epoch 029 | Train: 0.8590 (Easy: 0.5155, Hard: 1.1916) | Val: 0.7127 (Easy: 0.4433, Hard: 0.9901) | LR: 0.001000
=> Epoch 030 | Train: 0.8534 (Easy: 0.5310, Hard: 1.1632) | Val: 0.7201 (Easy: 0.4478, Hard: 1.0114) | LR: 0.001000
=> Epoch 031 | Train: 0.8430 (Easy: 0.5169, Hard: 1.1570) | Val: 0.7059 (Easy: 0.4342, Hard: 0.9881) | LR: 0.001000
=> Epoch 032 | Train: 0.8571 (Easy: 0.5161, Hard: 1.1870) | Val: 0.7027 (Easy: 0.4389, Hard: 0.9767) | LR: 0.001000
=> Epoch 033 | Train: 0.8408 (Easy: 0.5232, Hard: 1.1453) | Val: 0.6996 (Easy: 0.4377, Hard: 0.9704) | LR: 0.001000
=> Epoch 034 | Train: 0.8423 (Easy: 0.5198, Hard: 1.1530) | Val: 0.7060 (Easy: 0.4394, Hard: 0.9839) | LR: 0.001000
=> Epoch 035 | Train: 0.8371 (Easy: 0.5105, Hard: 1.1528) | Val: 0.6974 (Easy: 0.4411, Hard: 0.9641) | LR: 0.001000
=> Epoch 036 | Train: 0.8253 (Easy: 0.5017, Hard: 1.1347) | Val: 0.6942 (Easy: 0.4381, Hard: 0.9644) | LR: 0.001000
=> Epoch 037 | Train: 0.8306 (Easy: 0.5223, Hard: 1.1303) | Val: 0.6971 (Easy: 0.4415, Hard: 0.9655) | LR: 0.001000
=> Epoch 038 | Train: 0.8366 (Easy: 0.5147, Hard: 1.1418) | Val: 0.6896 (Easy: 0.4289, Hard: 0.9605) | LR: 0.001000
=> Epoch 039 | Train: 0.8194 (Easy: 0.5085, Hard: 1.1169) | Val: 0.6813 (Easy: 0.4291, Hard: 0.9428) | LR: 0.001000
=> Epoch 040 | Train: 0.8293 (Easy: 0.5061, Hard: 1.1350) | Val: 0.6803 (Easy: 0.4292, Hard: 0.9481) | LR: 0.001000
=> Epoch 041 | Train: 0.8131 (Easy: 0.5007, Hard: 1.1108) | Val: 0.6758 (Easy: 0.4291, Hard: 0.9324) | LR: 0.001000
=> Epoch 042 | Train: 0.8162 (Easy: 0.5110, Hard: 1.1001) | Val: 0.6842 (Easy: 0.4366, Hard: 0.9344) | LR: 0.001000
=> Epoch 043 | Train: 0.8074 (Easy: 0.4963, Hard: 1.1086) | Val: 0.6783 (Easy: 0.4338, Hard: 0.9361) | LR: 0.001000
=> Epoch 044 | Train: 0.8131 (Easy: 0.5154, Hard: 1.0879) | Val: 0.6741 (Easy: 0.4325, Hard: 0.9242) | LR: 0.001000
=> Epoch 045 | Train: 0.8042 (Easy: 0.4982, Hard: 1.0938) | Val: 0.6720 (Easy: 0.4283, Hard: 0.9228) | LR: 0.001000
=> Epoch 046 | Train: 0.7916 (Easy: 0.5137, Hard: 1.0584) | Val: 0.6845 (Easy: 0.4370, Hard: 0.9467) | LR: 0.001000
=> Epoch 047 | Train: 0.8097 (Easy: 0.5009, Hard: 1.0920) | Val: 0.6780 (Easy: 0.4304, Hard: 0.9350) | LR: 0.001000
=> Epoch 048 | Train: 0.7941 (Easy: 0.4908, Hard: 1.0828) | Val: 0.6743 (Easy: 0.4353, Hard: 0.9288) | LR: 0.001000
=> Epoch 049 | Train: 0.7919 (Easy: 0.4859, Hard: 1.0773) | Val: 0.6733 (Easy: 0.4284, Hard: 0.9253) | LR: 0.001000
=> Epoch 050 | Train: 0.8027 (Easy: 0.4927, Hard: 1.0935) | Val: 0.6743 (Easy: 0.4276, Hard: 0.9327) | LR: 0.001000
=> Epoch 051 | Train: 0.7903 (Easy: 0.4995, Hard: 1.0620) | Val: 0.6722 (Easy: 0.4286, Hard: 0.9247) | LR: 0.001000
=> Epoch 052 | Train: 0.8017 (Easy: 0.5056, Hard: 1.0740) | Val: 0.6677 (Easy: 0.4266, Hard: 0.9167) | LR: 0.001000
=> Epoch 053 | Train: 0.7973 (Easy: 0.4981, Hard: 1.0767) | Val: 0.6812 (Easy: 0.4286, Hard: 0.9489) | LR: 0.001000
=> Epoch 054 | Train: 0.8051 (Easy: 0.4992, Hard: 1.0956) | Val: 0.6673 (Easy: 0.4229, Hard: 0.9204) | LR: 0.001000
=> Epoch 055 | Train: 0.7764 (Easy: 0.5007, Hard: 1.0316) | Val: 0.6604 (Easy: 0.4218, Hard: 0.9035) | LR: 0.001000
=> Epoch 056 | Train: 0.7814 (Easy: 0.4918, Hard: 1.0478) | Val: 0.6648 (Easy: 0.4245, Hard: 0.9127) | LR: 0.001000
=> Epoch 057 | Train: 0.7858 (Easy: 0.5021, Hard: 1.0488) | Val: 0.6785 (Easy: 0.4259, Hard: 0.9415) | LR: 0.001000
=> Epoch 058 | Train: 0.7957 (Easy: 0.4980, Hard: 1.0762) | Val: 0.6564 (Easy: 0.4228, Hard: 0.8959) | LR: 0.001000
=> Epoch 059 | Train: 0.7863 (Easy: 0.4914, Hard: 1.0572) | Val: 0.6738 (Easy: 0.4248, Hard: 0.9290) | LR: 0.001000
=> Epoch 060 | Train: 0.7785 (Easy: 0.5050, Hard: 1.0359) | Val: 0.6704 (Easy: 0.4218, Hard: 0.9260) | LR: 0.001000
=> Epoch 061 | Train: 0.7843 (Easy: 0.5028, Hard: 1.0456) | Val: 0.6658 (Easy: 0.4218, Hard: 0.9166) | LR: 0.001000
=> Epoch 062 | Train: 0.7783 (Easy: 0.4849, Hard: 1.0533) | Val: 0.6710 (Easy: 0.4183, Hard: 0.9350) | LR: 0.001000
=> Epoch 063 | Train: 0.7809 (Easy: 0.4913, Hard: 1.0508) | Val: 0.6553 (Easy: 0.4181, Hard: 0.8970) | LR: 0.001000
=> Epoch 064 | Train: 0.7760 (Easy: 0.4955, Hard: 1.0418) | Val: 0.6675 (Easy: 0.4188, Hard: 0.9239) | LR: 0.001000
=> Epoch 065 | Train: 0.7951 (Easy: 0.4936, Hard: 1.0739) | Val: 0.6594 (Easy: 0.4144, Hard: 0.9154) | LR: 0.001000
=> Epoch 066 | Train: 0.7788 (Easy: 0.4966, Hard: 1.0440) | Val: 0.6622 (Easy: 0.4151, Hard: 0.9205) | LR: 0.001000
=> Epoch 067 | Train: 0.7708 (Easy: 0.4856, Hard: 1.0330) | Val: 0.6644 (Easy: 0.4173, Hard: 0.9183) | LR: 0.001000
=> Epoch 068 | Train: 0.7702 (Easy: 0.4829, Hard: 1.0375) | Val: 0.6538 (Easy: 0.4114, Hard: 0.9050) | LR: 0.001000
=> Epoch 069 | Train: 0.7768 (Easy: 0.4947, Hard: 1.0407) | Val: 0.6670 (Easy: 0.4154, Hard: 0.9281) | LR: 0.001000
=> Epoch 070 | Train: 0.7842 (Easy: 0.4987, Hard: 1.0487) | Val: 0.6739 (Easy: 0.4147, Hard: 0.9376) | LR: 0.001000
=> Epoch 071 | Train: 0.7730 (Easy: 0.4994, Hard: 1.0242) | Val: 0.6571 (Easy: 0.4118, Hard: 0.9105) | LR: 0.001000
=> Epoch 072 | Train: 0.7698 (Easy: 0.4857, Hard: 1.0341) | Val: 0.6600 (Easy: 0.4145, Hard: 0.9083) | LR: 0.001000
=> Epoch 073 | Train: 0.7690 (Easy: 0.4886, Hard: 1.0369) | Val: 0.6607 (Easy: 0.4149, Hard: 0.9104) | LR: 0.001000
=> Epoch 074 | Train: 0.7719 (Easy: 0.4873, Hard: 1.0420) | Val: 0.6608 (Easy: 0.4133, Hard: 0.9143) | LR: 0.001000
=> Epoch 075 | Train: 0.7661 (Easy: 0.4944, Hard: 1.0223) | Val: 0.6671 (Easy: 0.4128, Hard: 0.9264) | LR: 0.001000
=> Epoch 076 | Train: 0.7461 (Easy: 0.4792, Hard: 0.9995) | Val: 0.6595 (Easy: 0.4146, Hard: 0.9102) | LR: 0.001000
=> Epoch 077 | Train: 0.7710 (Easy: 0.4859, Hard: 1.0353) | Val: 0.6592 (Easy: 0.4138, Hard: 0.9084) | LR: 0.001000
=> Epoch 078 | Train: 0.7620 (Easy: 0.4717, Hard: 1.0403) | Val: 0.6597 (Easy: 0.4087, Hard: 0.9191) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 079 | Train: 0.7603 (Easy: 0.4748, Hard: 1.0317) | Val: 0.6595 (Easy: 0.4177, Hard: 0.9124) | LR: 0.000500
=> Epoch 080 | Train: 0.7402 (Easy: 0.4797, Hard: 0.9866) | Val: 0.6548 (Easy: 0.4201, Hard: 0.8981) | LR: 0.000500
=> Epoch 081 | Train: 0.7509 (Easy: 0.4815, Hard: 1.0002) | Val: 0.6512 (Easy: 0.4122, Hard: 0.8973) | LR: 0.000500
=> Epoch 082 | Train: 0.7469 (Easy: 0.4707, Hard: 1.0062) | Val: 0.6524 (Easy: 0.4115, Hard: 0.9047) | LR: 0.000500
=> Epoch 083 | Train: 0.7491 (Easy: 0.4780, Hard: 1.0065) | Val: 0.6565 (Easy: 0.4128, Hard: 0.9061) | LR: 0.000500
=> Epoch 084 | Train: 0.7288 (Easy: 0.4677, Hard: 0.9710) | Val: 0.6521 (Easy: 0.4130, Hard: 0.8990) | LR: 0.000500
=> Epoch 085 | Train: 0.7515 (Easy: 0.4886, Hard: 0.9951) | Val: 0.6609 (Easy: 0.4148, Hard: 0.9145) | LR: 0.000500
=> Epoch 086 | Train: 0.7436 (Easy: 0.4793, Hard: 0.9947) | Val: 0.6696 (Easy: 0.4156, Hard: 0.9290) | LR: 0.000500
=> Epoch 087 | Train: 0.7428 (Easy: 0.4724, Hard: 1.0004) | Val: 0.6562 (Easy: 0.4116, Hard: 0.9072) | LR: 0.000500
=> Epoch 088 | Train: 0.7374 (Easy: 0.4690, Hard: 0.9902) | Val: 0.6551 (Easy: 0.4211, Hard: 0.8916) | LR: 0.000500
=> Epoch 089 | Train: 0.7432 (Easy: 0.4708, Hard: 0.9952) | Val: 0.6554 (Easy: 0.4164, Hard: 0.8979) | LR: 0.000500
=> Epoch 090 | Train: 0.7462 (Easy: 0.4722, Hard: 1.0048) | Val: 0.6589 (Easy: 0.4224, Hard: 0.8963) | LR: 0.000500
=> Epoch 091 | Train: 0.7343 (Easy: 0.4663, Hard: 0.9908) | Val: 0.6586 (Easy: 0.4134, Hard: 0.9097) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 092 | Train: 0.7335 (Easy: 0.4723, Hard: 0.9811) | Val: 0.6507 (Easy: 0.4195, Hard: 0.8829) | LR: 0.000250
=> Epoch 093 | Train: 0.7328 (Easy: 0.4752, Hard: 0.9718) | Val: 0.6521 (Easy: 0.4238, Hard: 0.8815) | LR: 0.000250
=> Epoch 094 | Train: 0.7320 (Easy: 0.4725, Hard: 0.9710) | Val: 0.6507 (Easy: 0.4199, Hard: 0.8839) | LR: 0.000250
=> Epoch 095 | Train: 0.7367 (Easy: 0.4725, Hard: 0.9859) | Val: 0.6535 (Easy: 0.4199, Hard: 0.8890) | LR: 0.000250
=> Epoch 096 | Train: 0.7363 (Easy: 0.4738, Hard: 0.9835) | Val: 0.6501 (Easy: 0.4208, Hard: 0.8829) | LR: 0.000250
=> Epoch 097 | Train: 0.7306 (Easy: 0.4627, Hard: 0.9799) | Val: 0.6506 (Easy: 0.4210, Hard: 0.8828) | LR: 0.000250
