=> Trial Start: ['dir_sim', 'recency', 'has_target', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'room_area']
=> Epoch 000 | Train: 1.4626 (Easy: 1.1399, Hard: 1.7731) | Val: 1.0329 (Easy: 0.6450, Hard: 1.4291) | LR: 0.001000
=> Epoch 001 | Train: 1.1168 (Easy: 0.6366, Hard: 1.5708) | Val: 0.9266 (Easy: 0.5528, Hard: 1.3036) | LR: 0.001000
=> Epoch 002 | Train: 1.0377 (Easy: 0.6036, Hard: 1.4502) | Val: 0.8687 (Easy: 0.5320, Hard: 1.2066) | LR: 0.001000
=> Epoch 003 | Train: 1.0105 (Easy: 0.5776, Hard: 1.4272) | Val: 0.8409 (Easy: 0.5089, Hard: 1.1703) | LR: 0.001000
=> Epoch 004 | Train: 0.9818 (Easy: 0.5689, Hard: 1.3720) | Val: 0.8246 (Easy: 0.5044, Hard: 1.1448) | LR: 0.001000
=> Epoch 005 | Train: 0.9575 (Easy: 0.5587, Hard: 1.3384) | Val: 0.8030 (Easy: 0.4949, Hard: 1.1084) | LR: 0.001000
=> Epoch 006 | Train: 0.9456 (Easy: 0.5596, Hard: 1.3141) | Val: 0.8069 (Easy: 0.4921, Hard: 1.1352) | LR: 0.001000
=> Epoch 007 | Train: 0.9200 (Easy: 0.5462, Hard: 1.2807) | Val: 0.7788 (Easy: 0.4874, Hard: 1.0645) | LR: 0.001000
=> Epoch 008 | Train: 0.9086 (Easy: 0.5343, Hard: 1.2719) | Val: 0.7777 (Easy: 0.4806, Hard: 1.0767) | LR: 0.001000
=> Epoch 009 | Train: 0.9084 (Easy: 0.5422, Hard: 1.2700) | Val: 0.7823 (Easy: 0.4777, Hard: 1.0932) | LR: 0.001000
=> Epoch 010 | Train: 0.8978 (Easy: 0.5306, Hard: 1.2553) | Val: 0.7730 (Easy: 0.4807, Hard: 1.0562) | LR: 0.001000
=> Epoch 011 | Train: 0.8790 (Easy: 0.5162, Hard: 1.2325) | Val: 0.7786 (Easy: 0.4787, Hard: 1.0821) | LR: 0.001000
=> Epoch 012 | Train: 0.8888 (Easy: 0.5197, Hard: 1.2416) | Val: 0.7531 (Easy: 0.4714, Hard: 1.0286) | LR: 0.001000
=> Epoch 013 | Train: 0.8790 (Easy: 0.5171, Hard: 1.2354) | Val: 0.7649 (Easy: 0.4618, Hard: 1.0741) | LR: 0.001000
=> Epoch 014 | Train: 0.8720 (Easy: 0.5223, Hard: 1.2165) | Val: 0.7455 (Easy: 0.4578, Hard: 1.0312) | LR: 0.001000
=> Epoch 015 | Train: 0.8570 (Easy: 0.5014, Hard: 1.2010) | Val: 0.7530 (Easy: 0.4709, Hard: 1.0302) | LR: 0.001000
=> Epoch 016 | Train: 0.8534 (Easy: 0.5066, Hard: 1.1843) | Val: 0.7616 (Easy: 0.4701, Hard: 1.0507) | LR: 0.001000
=> Epoch 017 | Train: 0.8552 (Easy: 0.5088, Hard: 1.1942) | Val: 0.7477 (Easy: 0.4553, Hard: 1.0488) | LR: 0.001000
=> Epoch 018 | Train: 0.8575 (Easy: 0.5066, Hard: 1.1967) | Val: 0.7272 (Easy: 0.4520, Hard: 0.9916) | LR: 0.001000
=> Epoch 019 | Train: 0.8470 (Easy: 0.5043, Hard: 1.1787) | Val: 0.7229 (Easy: 0.4544, Hard: 0.9828) | LR: 0.001000
=> Epoch 020 | Train: 0.8429 (Easy: 0.5065, Hard: 1.1707) | Val: 0.7313 (Easy: 0.4488, Hard: 1.0163) | LR: 0.001000
=> Epoch 021 | Train: 0.8325 (Easy: 0.4988, Hard: 1.1608) | Val: 0.7166 (Easy: 0.4472, Hard: 0.9807) | LR: 0.001000
=> Epoch 022 | Train: 0.8320 (Easy: 0.5028, Hard: 1.1547) | Val: 0.7094 (Easy: 0.4399, Hard: 0.9733) | LR: 0.001000
=> Epoch 023 | Train: 0.8367 (Easy: 0.5007, Hard: 1.1670) | Val: 0.7030 (Easy: 0.4460, Hard: 0.9526) | LR: 0.001000
=> Epoch 024 | Train: 0.8263 (Easy: 0.4924, Hard: 1.1539) | Val: 0.6942 (Easy: 0.4416, Hard: 0.9363) | LR: 0.001000
=> Epoch 025 | Train: 0.8123 (Easy: 0.4934, Hard: 1.1170) | Val: 0.7158 (Easy: 0.4610, Hard: 0.9624) | LR: 0.001000
=> Epoch 026 | Train: 0.8171 (Easy: 0.4970, Hard: 1.1357) | Val: 0.7120 (Easy: 0.4512, Hard: 0.9645) | LR: 0.001000
=> Epoch 027 | Train: 0.8204 (Easy: 0.4917, Hard: 1.1330) | Val: 0.7094 (Easy: 0.4519, Hard: 0.9607) | LR: 0.001000
=> Epoch 028 | Train: 0.8143 (Easy: 0.4930, Hard: 1.1291) | Val: 0.6982 (Easy: 0.4394, Hard: 0.9491) | LR: 0.001000
=> Epoch 029 | Train: 0.8142 (Easy: 0.4865, Hard: 1.1324) | Val: 0.7009 (Easy: 0.4500, Hard: 0.9428) | LR: 0.001000
=> Epoch 030 | Train: 0.7974 (Easy: 0.4938, Hard: 1.0931) | Val: 0.7095 (Easy: 0.4452, Hard: 0.9693) | LR: 0.001000
=> Epoch 031 | Train: 0.8158 (Easy: 0.4969, Hard: 1.1264) | Val: 0.6798 (Easy: 0.4278, Hard: 0.9243) | LR: 0.001000
=> Epoch 032 | Train: 0.7951 (Easy: 0.4816, Hard: 1.0980) | Val: 0.7062 (Easy: 0.4507, Hard: 0.9578) | LR: 0.001000
=> Epoch 033 | Train: 0.7978 (Easy: 0.4863, Hard: 1.1005) | Val: 0.7089 (Easy: 0.4562, Hard: 0.9571) | LR: 0.001000
=> Epoch 034 | Train: 0.8023 (Easy: 0.4858, Hard: 1.1058) | Val: 0.6848 (Easy: 0.4400, Hard: 0.9217) | LR: 0.001000
=> Epoch 035 | Train: 0.8000 (Easy: 0.4855, Hard: 1.1023) | Val: 0.6769 (Easy: 0.4365, Hard: 0.9135) | LR: 0.001000
=> Epoch 036 | Train: 0.7904 (Easy: 0.4800, Hard: 1.0898) | Val: 0.6931 (Easy: 0.4439, Hard: 0.9365) | LR: 0.001000
=> Epoch 037 | Train: 0.7854 (Easy: 0.4834, Hard: 1.0832) | Val: 0.6917 (Easy: 0.4475, Hard: 0.9354) | LR: 0.001000
=> Epoch 038 | Train: 0.7909 (Easy: 0.4784, Hard: 1.0951) | Val: 0.6648 (Easy: 0.4261, Hard: 0.8988) | LR: 0.001000
=> Epoch 039 | Train: 0.7825 (Easy: 0.4846, Hard: 1.0694) | Val: 0.6759 (Easy: 0.4292, Hard: 0.9172) | LR: 0.001000
=> Epoch 040 | Train: 0.7879 (Easy: 0.4669, Hard: 1.0921) | Val: 0.6641 (Easy: 0.4274, Hard: 0.8939) | LR: 0.001000
=> Epoch 041 | Train: 0.7703 (Easy: 0.4692, Hard: 1.0619) | Val: 0.6711 (Easy: 0.4323, Hard: 0.9069) | LR: 0.001000
=> Epoch 042 | Train: 0.7866 (Easy: 0.4798, Hard: 1.0752) | Val: 0.6793 (Easy: 0.4414, Hard: 0.9150) | LR: 0.001000
=> Epoch 043 | Train: 0.7707 (Easy: 0.4650, Hard: 1.0651) | Val: 0.6693 (Easy: 0.4271, Hard: 0.9089) | LR: 0.001000
=> Epoch 044 | Train: 0.7680 (Easy: 0.4733, Hard: 1.0505) | Val: 0.6782 (Easy: 0.4449, Hard: 0.9060) | LR: 0.001000
=> Epoch 045 | Train: 0.7672 (Easy: 0.4706, Hard: 1.0561) | Val: 0.6714 (Easy: 0.4353, Hard: 0.9035) | LR: 0.001000
=> Epoch 046 | Train: 0.7602 (Easy: 0.4603, Hard: 1.0440) | Val: 0.6935 (Easy: 0.4498, Hard: 0.9420) | LR: 0.001000
=> Epoch 047 | Train: 0.7658 (Easy: 0.4728, Hard: 1.0493) | Val: 0.6520 (Easy: 0.4259, Hard: 0.8742) | LR: 0.001000
=> Epoch 048 | Train: 0.7557 (Easy: 0.4643, Hard: 1.0340) | Val: 0.6707 (Easy: 0.4395, Hard: 0.8993) | LR: 0.001000
=> Epoch 049 | Train: 0.7544 (Easy: 0.4600, Hard: 1.0347) | Val: 0.6596 (Easy: 0.4331, Hard: 0.8837) | LR: 0.001000
=> Epoch 050 | Train: 0.7566 (Easy: 0.4667, Hard: 1.0329) | Val: 0.6409 (Easy: 0.4232, Hard: 0.8580) | LR: 0.001000
=> Epoch 051 | Train: 0.7441 (Easy: 0.4618, Hard: 1.0164) | Val: 0.6590 (Easy: 0.4395, Hard: 0.8761) | LR: 0.001000
=> Epoch 052 | Train: 0.7558 (Easy: 0.4708, Hard: 1.0275) | Val: 0.6791 (Easy: 0.4391, Hard: 0.9239) | LR: 0.001000
=> Epoch 053 | Train: 0.7539 (Easy: 0.4674, Hard: 1.0252) | Val: 0.6509 (Easy: 0.4295, Hard: 0.8714) | LR: 0.001000
=> Epoch 054 | Train: 0.7419 (Easy: 0.4559, Hard: 1.0151) | Val: 0.6480 (Easy: 0.4264, Hard: 0.8725) | LR: 0.001000
=> Epoch 055 | Train: 0.7444 (Easy: 0.4637, Hard: 1.0115) | Val: 0.6326 (Easy: 0.4238, Hard: 0.8407) | LR: 0.001000
=> Epoch 056 | Train: 0.7387 (Easy: 0.4618, Hard: 0.9971) | Val: 0.6410 (Easy: 0.4296, Hard: 0.8513) | LR: 0.001000
=> Epoch 057 | Train: 0.7522 (Easy: 0.4707, Hard: 1.0148) | Val: 0.6517 (Easy: 0.4299, Hard: 0.8759) | LR: 0.001000
=> Epoch 058 | Train: 0.7482 (Easy: 0.4661, Hard: 1.0117) | Val: 0.6405 (Easy: 0.4353, Hard: 0.8474) | LR: 0.001000
=> Epoch 059 | Train: 0.7356 (Easy: 0.4625, Hard: 0.9937) | Val: 0.6399 (Easy: 0.4266, Hard: 0.8533) | LR: 0.001000
=> Epoch 060 | Train: 0.7431 (Easy: 0.4730, Hard: 1.0054) | Val: 0.6273 (Easy: 0.4208, Hard: 0.8313) | LR: 0.001000
=> Epoch 061 | Train: 0.7390 (Easy: 0.4579, Hard: 1.0029) | Val: 0.6366 (Easy: 0.4222, Hard: 0.8511) | LR: 0.001000
=> Epoch 062 | Train: 0.7221 (Easy: 0.4664, Hard: 0.9697) | Val: 0.6383 (Easy: 0.4221, Hard: 0.8542) | LR: 0.001000
=> Epoch 063 | Train: 0.7277 (Easy: 0.4507, Hard: 0.9930) | Val: 0.6493 (Easy: 0.4369, Hard: 0.8664) | LR: 0.001000
=> Epoch 064 | Train: 0.7191 (Easy: 0.4436, Hard: 0.9823) | Val: 0.6377 (Easy: 0.4200, Hard: 0.8567) | LR: 0.001000
=> Epoch 065 | Train: 0.7262 (Easy: 0.4616, Hard: 0.9646) | Val: 0.6411 (Easy: 0.4326, Hard: 0.8493) | LR: 0.001000
=> Epoch 066 | Train: 0.7240 (Easy: 0.4596, Hard: 0.9749) | Val: 0.6172 (Easy: 0.4167, Hard: 0.8229) | LR: 0.001000
=> Epoch 067 | Train: 0.7030 (Easy: 0.4483, Hard: 0.9421) | Val: 0.6406 (Easy: 0.4316, Hard: 0.8554) | LR: 0.001000
=> Epoch 068 | Train: 0.7220 (Easy: 0.4595, Hard: 0.9718) | Val: 0.6350 (Easy: 0.4320, Hard: 0.8427) | LR: 0.001000
=> Epoch 069 | Train: 0.7185 (Easy: 0.4513, Hard: 0.9643) | Val: 0.6266 (Easy: 0.4183, Hard: 0.8447) | LR: 0.001000
=> Epoch 070 | Train: 0.7294 (Easy: 0.4537, Hard: 0.9839) | Val: 0.6379 (Easy: 0.4201, Hard: 0.8652) | LR: 0.001000
=> Epoch 071 | Train: 0.7274 (Easy: 0.4566, Hard: 0.9789) | Val: 0.6215 (Easy: 0.4180, Hard: 0.8342) | LR: 0.001000
=> Epoch 072 | Train: 0.7104 (Easy: 0.4468, Hard: 0.9537) | Val: 0.6204 (Easy: 0.4207, Hard: 0.8288) | LR: 0.001000
=> Epoch 073 | Train: 0.7071 (Easy: 0.4512, Hard: 0.9493) | Val: 0.6114 (Easy: 0.4140, Hard: 0.8166) | LR: 0.001000
=> Epoch 074 | Train: 0.7037 (Easy: 0.4400, Hard: 0.9510) | Val: 0.6253 (Easy: 0.4212, Hard: 0.8381) | LR: 0.001000
=> Epoch 075 | Train: 0.6973 (Easy: 0.4426, Hard: 0.9275) | Val: 0.6172 (Easy: 0.4178, Hard: 0.8256) | LR: 0.001000
=> Epoch 076 | Train: 0.6830 (Easy: 0.4407, Hard: 0.9095) | Val: 0.6223 (Easy: 0.4172, Hard: 0.8346) | LR: 0.001000
=> Epoch 077 | Train: 0.7012 (Easy: 0.4464, Hard: 0.9358) | Val: 0.6212 (Easy: 0.4191, Hard: 0.8302) | LR: 0.001000
