=> Trial Start: ['dir_sim', 'recency', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_classroom']
=> Epoch 000 | Train: 1.3591 (Easy: 0.9845, Hard: 1.7173) | Val: 1.0220 (Easy: 0.6127, Hard: 1.4396) | LR: 0.001000
=> Epoch 001 | Train: 1.1177 (Easy: 0.6130, Hard: 1.6120) | Val: 0.9435 (Easy: 0.5401, Hard: 1.3523) | LR: 0.001000
=> Epoch 002 | Train: 1.0745 (Easy: 0.5927, Hard: 1.5485) | Val: 0.9110 (Easy: 0.5202, Hard: 1.3070) | LR: 0.001000
=> Epoch 003 | Train: 1.0469 (Easy: 0.5660, Hard: 1.5245) | Val: 0.8875 (Easy: 0.5104, Hard: 1.2708) | LR: 0.001000
=> Epoch 004 | Train: 1.0145 (Easy: 0.5523, Hard: 1.4744) | Val: 0.8902 (Easy: 0.5316, Hard: 1.2603) | LR: 0.001000
=> Epoch 005 | Train: 0.9913 (Easy: 0.5381, Hard: 1.4460) | Val: 0.8671 (Easy: 0.5097, Hard: 1.2409) | LR: 0.001000
=> Epoch 006 | Train: 1.0016 (Easy: 0.5467, Hard: 1.4567) | Val: 0.8497 (Easy: 0.4974, Hard: 1.2186) | LR: 0.001000
=> Epoch 007 | Train: 0.9847 (Easy: 0.5459, Hard: 1.4229) | Val: 0.8530 (Easy: 0.4915, Hard: 1.2425) | LR: 0.001000
=> Epoch 008 | Train: 0.9700 (Easy: 0.5222, Hard: 1.4292) | Val: 0.8372 (Easy: 0.4886, Hard: 1.2092) | LR: 0.001000
=> Epoch 009 | Train: 0.9586 (Easy: 0.5276, Hard: 1.3939) | Val: 0.8287 (Easy: 0.4939, Hard: 1.1824) | LR: 0.001000
=> Epoch 010 | Train: 0.9555 (Easy: 0.5296, Hard: 1.3856) | Val: 0.8229 (Easy: 0.4889, Hard: 1.1762) | LR: 0.001000
=> Epoch 011 | Train: 0.9403 (Easy: 0.5219, Hard: 1.3541) | Val: 0.8186 (Easy: 0.4932, Hard: 1.1648) | LR: 0.001000
=> Epoch 012 | Train: 0.9341 (Easy: 0.5191, Hard: 1.3447) | Val: 0.8128 (Easy: 0.4855, Hard: 1.1637) | LR: 0.001000
=> Epoch 013 | Train: 0.9214 (Easy: 0.5178, Hard: 1.3235) | Val: 0.8037 (Easy: 0.4818, Hard: 1.1494) | LR: 0.001000
=> Epoch 014 | Train: 0.9212 (Easy: 0.5160, Hard: 1.3200) | Val: 0.7937 (Easy: 0.4801, Hard: 1.1288) | LR: 0.001000
