=> Trial Start: ['dir_sim', 'recency', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_common']
=> Epoch 000 | Train: 1.3554 (Easy: 0.9914, Hard: 1.7081) | Val: 1.0262 (Easy: 0.6449, Hard: 1.4096) | LR: 0.001000
=> Epoch 001 | Train: 1.1127 (Easy: 0.6226, Hard: 1.5964) | Val: 0.9280 (Easy: 0.5635, Hard: 1.2925) | LR: 0.001000
=> Epoch 002 | Train: 1.0657 (Easy: 0.5953, Hard: 1.5335) | Val: 0.8850 (Easy: 0.5156, Hard: 1.2696) | LR: 0.001000
=> Epoch 003 | Train: 1.0293 (Easy: 0.5657, Hard: 1.4923) | Val: 0.8641 (Easy: 0.5231, Hard: 1.2178) | LR: 0.001000
=> Epoch 004 | Train: 1.0046 (Easy: 0.5580, Hard: 1.4519) | Val: 0.8423 (Easy: 0.5105, Hard: 1.1832) | LR: 0.001000
=> Epoch 005 | Train: 0.9745 (Easy: 0.5403, Hard: 1.4076) | Val: 0.8313 (Easy: 0.5060, Hard: 1.1722) | LR: 0.001000
=> Epoch 006 | Train: 0.9815 (Easy: 0.5409, Hard: 1.4209) | Val: 0.8222 (Easy: 0.5064, Hard: 1.1552) | LR: 0.001000
=> Epoch 007 | Train: 0.9584 (Easy: 0.5344, Hard: 1.3816) | Val: 0.8296 (Easy: 0.5287, Hard: 1.1451) | LR: 0.001000
=> Epoch 008 | Train: 0.9559 (Easy: 0.5342, Hard: 1.3822) | Val: 0.8073 (Easy: 0.4847, Hard: 1.1539) | LR: 0.001000
=> Epoch 009 | Train: 0.9509 (Easy: 0.5324, Hard: 1.3694) | Val: 0.8103 (Easy: 0.4946, Hard: 1.1481) | LR: 0.001000
=> Epoch 010 | Train: 0.9432 (Easy: 0.5179, Hard: 1.3704) | Val: 0.7922 (Easy: 0.4792, Hard: 1.1241) | LR: 0.001000
=> Epoch 011 | Train: 0.9401 (Easy: 0.5175, Hard: 1.3586) | Val: 0.8049 (Easy: 0.4877, Hard: 1.1475) | LR: 0.001000
=> Epoch 012 | Train: 0.9450 (Easy: 0.5152, Hard: 1.3712) | Val: 0.7881 (Easy: 0.4765, Hard: 1.1209) | LR: 0.001000
=> Epoch 013 | Train: 0.9280 (Easy: 0.5159, Hard: 1.3415) | Val: 0.7813 (Easy: 0.4653, Hard: 1.1201) | LR: 0.001000
=> Epoch 014 | Train: 0.9321 (Easy: 0.5143, Hard: 1.3565) | Val: 0.7830 (Easy: 0.4659, Hard: 1.1236) | LR: 0.001000
=> Epoch 015 | Train: 0.9162 (Easy: 0.5046, Hard: 1.3274) | Val: 0.7825 (Easy: 0.4617, Hard: 1.1304) | LR: 0.001000
=> Epoch 016 | Train: 0.9196 (Easy: 0.5113, Hard: 1.3286) | Val: 0.7828 (Easy: 0.4669, Hard: 1.1244) | LR: 0.001000
=> Epoch 017 | Train: 0.9298 (Easy: 0.5091, Hard: 1.3502) | Val: 0.7787 (Easy: 0.4616, Hard: 1.1191) | LR: 0.001000
=> Epoch 018 | Train: 0.9113 (Easy: 0.5047, Hard: 1.3203) | Val: 0.7759 (Easy: 0.4611, Hard: 1.1141) | LR: 0.001000
=> Epoch 019 | Train: 0.9145 (Easy: 0.5051, Hard: 1.3190) | Val: 0.7719 (Easy: 0.4550, Hard: 1.1130) | LR: 0.001000
=> Epoch 020 | Train: 0.9051 (Easy: 0.5081, Hard: 1.2998) | Val: 0.7706 (Easy: 0.4589, Hard: 1.1081) | LR: 0.001000
=> Epoch 021 | Train: 0.9026 (Easy: 0.5095, Hard: 1.2965) | Val: 0.7727 (Easy: 0.4601, Hard: 1.1099) | LR: 0.001000
=> Epoch 022 | Train: 0.9004 (Easy: 0.4992, Hard: 1.3007) | Val: 0.7654 (Easy: 0.4539, Hard: 1.0993) | LR: 0.001000
=> Epoch 023 | Train: 0.9051 (Easy: 0.5071, Hard: 1.3019) | Val: 0.7681 (Easy: 0.4554, Hard: 1.1053) | LR: 0.001000
=> Epoch 024 | Train: 0.8976 (Easy: 0.4949, Hard: 1.3000) | Val: 0.7752 (Easy: 0.4680, Hard: 1.1092) | LR: 0.001000
=> Epoch 025 | Train: 0.9050 (Easy: 0.4977, Hard: 1.3075) | Val: 0.7708 (Easy: 0.4683, Hard: 1.0953) | LR: 0.001000
=> Epoch 026 | Train: 0.8985 (Easy: 0.5004, Hard: 1.2973) | Val: 0.7702 (Easy: 0.4549, Hard: 1.1150) | LR: 0.001000
=> Epoch 027 | Train: 0.9006 (Easy: 0.4984, Hard: 1.2989) | Val: 0.7651 (Easy: 0.4564, Hard: 1.0985) | LR: 0.001000
=> Epoch 028 | Train: 0.9055 (Easy: 0.5072, Hard: 1.3014) | Val: 0.7791 (Easy: 0.4722, Hard: 1.1133) | LR: 0.001000
=> Epoch 029 | Train: 0.8945 (Easy: 0.5051, Hard: 1.2820) | Val: 0.7607 (Easy: 0.4532, Hard: 1.0937) | LR: 0.001000
=> Epoch 030 | Train: 0.8868 (Easy: 0.4987, Hard: 1.2729) | Val: 0.7585 (Easy: 0.4549, Hard: 1.0870) | LR: 0.001000
=> Epoch 031 | Train: 0.8888 (Easy: 0.4938, Hard: 1.2778) | Val: 0.7538 (Easy: 0.4499, Hard: 1.0793) | LR: 0.001000
