=> Trial Start: ['dir_sim', 'recency', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_entrance']
=> Epoch 000 | Train: 1.1905 (Easy: 0.8314, Hard: 1.5373) | Val: 0.9093 (Easy: 0.5526, Hard: 1.2582) | LR: 0.001000
=> Epoch 001 | Train: 1.0236 (Easy: 0.5725, Hard: 1.4733) | Val: 0.8707 (Easy: 0.5295, Hard: 1.2096) | LR: 0.001000
=> Epoch 002 | Train: 0.9935 (Easy: 0.5729, Hard: 1.4204) | Val: 0.8535 (Easy: 0.5376, Hard: 1.1689) | LR: 0.001000
=> Epoch 003 | Train: 0.9721 (Easy: 0.5568, Hard: 1.3928) | Val: 0.8467 (Easy: 0.5480, Hard: 1.1444) | LR: 0.001000
=> Epoch 004 | Train: 0.9552 (Easy: 0.5526, Hard: 1.3563) | Val: 0.8312 (Easy: 0.5333, Hard: 1.1334) | LR: 0.001000
=> Epoch 005 | Train: 0.9278 (Easy: 0.5391, Hard: 1.3198) | Val: 0.8343 (Easy: 0.5551, Hard: 1.1184) | LR: 0.001000
=> Epoch 006 | Train: 0.9321 (Easy: 0.5381, Hard: 1.3311) | Val: 0.8497 (Easy: 0.5898, Hard: 1.1126) | LR: 0.001000
=> Epoch 007 | Train: 0.9210 (Easy: 0.5326, Hard: 1.3119) | Val: 0.8348 (Easy: 0.5755, Hard: 1.1003) | LR: 0.001000
=> Epoch 008 | Train: 0.9096 (Easy: 0.5321, Hard: 1.2896) | Val: 0.7908 (Easy: 0.5112, Hard: 1.0845) | LR: 0.001000
=> Epoch 009 | Train: 0.8995 (Easy: 0.5273, Hard: 1.2691) | Val: 0.8151 (Easy: 0.5487, Hard: 1.0961) | LR: 0.001000
=> Epoch 010 | Train: 0.8984 (Easy: 0.5195, Hard: 1.2784) | Val: 0.8009 (Easy: 0.5316, Hard: 1.0867) | LR: 0.001000
=> Epoch 011 | Train: 0.8884 (Easy: 0.5230, Hard: 1.2538) | Val: 0.7968 (Easy: 0.5239, Hard: 1.0877) | LR: 0.001000
=> Epoch 012 | Train: 0.8828 (Easy: 0.5137, Hard: 1.2548) | Val: 0.7737 (Easy: 0.4943, Hard: 1.0743) | LR: 0.001000
=> Epoch 013 | Train: 0.8759 (Easy: 0.5063, Hard: 1.2476) | Val: 0.7569 (Easy: 0.4739, Hard: 1.0632) | LR: 0.001000
=> Epoch 014 | Train: 0.8731 (Easy: 0.5103, Hard: 1.2381) | Val: 0.7483 (Easy: 0.4635, Hard: 1.0572) | LR: 0.001000
=> Epoch 015 | Train: 0.8600 (Easy: 0.4961, Hard: 1.2216) | Val: 0.7507 (Easy: 0.4718, Hard: 1.0548) | LR: 0.001000
=> Epoch 016 | Train: 0.8528 (Easy: 0.5033, Hard: 1.2034) | Val: 0.7425 (Easy: 0.4605, Hard: 1.0503) | LR: 0.001000
=> Epoch 017 | Train: 0.8482 (Easy: 0.4910, Hard: 1.2105) | Val: 0.7415 (Easy: 0.4505, Hard: 1.0507) | LR: 0.001000
=> Epoch 018 | Train: 0.8414 (Easy: 0.4953, Hard: 1.1869) | Val: 0.7380 (Easy: 0.4497, Hard: 1.0471) | LR: 0.001000
=> Epoch 019 | Train: 0.8356 (Easy: 0.4896, Hard: 1.1796) | Val: 0.7386 (Easy: 0.4477, Hard: 1.0432) | LR: 0.001000
=> Epoch 020 | Train: 0.8324 (Easy: 0.4899, Hard: 1.1731) | Val: 0.7362 (Easy: 0.4460, Hard: 1.0430) | LR: 0.001000
=> Epoch 021 | Train: 0.8312 (Easy: 0.4886, Hard: 1.1773) | Val: 0.7448 (Easy: 0.4504, Hard: 1.0483) | LR: 0.001000
=> Epoch 022 | Train: 0.8266 (Easy: 0.4868, Hard: 1.1657) | Val: 0.7408 (Easy: 0.4465, Hard: 1.0429) | LR: 0.001000
=> Epoch 023 | Train: 0.8247 (Easy: 0.4821, Hard: 1.1699) | Val: 0.7394 (Easy: 0.4474, Hard: 1.0430) | LR: 0.001000
=> Epoch 024 | Train: 0.8199 (Easy: 0.4836, Hard: 1.1628) | Val: 0.7286 (Easy: 0.4464, Hard: 1.0247) | LR: 0.001000
=> Epoch 025 | Train: 0.8252 (Easy: 0.4821, Hard: 1.1667) | Val: 0.7296 (Easy: 0.4449, Hard: 1.0238) | LR: 0.001000
=> Epoch 026 | Train: 0.8104 (Easy: 0.4702, Hard: 1.1537) | Val: 0.7365 (Easy: 0.4450, Hard: 1.0384) | LR: 0.001000
=> Epoch 027 | Train: 0.8228 (Easy: 0.4833, Hard: 1.1642) | Val: 0.7289 (Easy: 0.4474, Hard: 1.0176) | LR: 0.001000
=> Epoch 028 | Train: 0.8189 (Easy: 0.4752, Hard: 1.1665) | Val: 0.7272 (Easy: 0.4448, Hard: 1.0215) | LR: 0.001000
=> Epoch 029 | Train: 0.8069 (Easy: 0.4752, Hard: 1.1377) | Val: 0.7370 (Easy: 0.4405, Hard: 1.0373) | LR: 0.001000
=> Epoch 030 | Train: 0.8076 (Easy: 0.4798, Hard: 1.1409) | Val: 0.7307 (Easy: 0.4453, Hard: 1.0234) | LR: 0.001000
=> Epoch 031 | Train: 0.7958 (Easy: 0.4732, Hard: 1.1191) | Val: 0.7254 (Easy: 0.4399, Hard: 1.0149) | LR: 0.001000
=> Epoch 032 | Train: 0.7982 (Easy: 0.4732, Hard: 1.1230) | Val: 0.7267 (Easy: 0.4409, Hard: 1.0181) | LR: 0.001000
=> Epoch 033 | Train: 0.7961 (Easy: 0.4680, Hard: 1.1289) | Val: 0.7146 (Easy: 0.4384, Hard: 1.0035) | LR: 0.001000
=> Epoch 034 | Train: 0.7960 (Easy: 0.4674, Hard: 1.1290) | Val: 0.7185 (Easy: 0.4343, Hard: 1.0114) | LR: 0.001000
=> Epoch 035 | Train: 0.7919 (Easy: 0.4722, Hard: 1.1137) | Val: 0.7156 (Easy: 0.4396, Hard: 0.9996) | LR: 0.001000
