=> Trial Start: ['dir_sim', 'recency', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 000 | Train: 1.2949 (Easy: 0.9007, Hard: 1.6683) | Val: 1.0077 (Easy: 0.6144, Hard: 1.3999) | LR: 0.001000
=> Epoch 001 | Train: 1.0906 (Easy: 0.5973, Hard: 1.5686) | Val: 0.9483 (Easy: 0.5696, Hard: 1.3282) | LR: 0.001000
=> Epoch 002 | Train: 1.0585 (Easy: 0.5890, Hard: 1.5223) | Val: 0.9088 (Easy: 0.5298, Hard: 1.2988) | LR: 0.001000
=> Epoch 003 | Train: 1.0340 (Easy: 0.5631, Hard: 1.5031) | Val: 0.8857 (Easy: 0.5191, Hard: 1.2689) | LR: 0.001000
=> Epoch 004 | Train: 1.0139 (Easy: 0.5591, Hard: 1.4740) | Val: 0.8666 (Easy: 0.4988, Hard: 1.2569) | LR: 0.001000
=> Epoch 005 | Train: 1.0074 (Easy: 0.5539, Hard: 1.4707) | Val: 0.8560 (Easy: 0.4983, Hard: 1.2370) | LR: 0.001000
=> Epoch 006 | Train: 1.0020 (Easy: 0.5509, Hard: 1.4686) | Val: 0.8418 (Easy: 0.4849, Hard: 1.2274) | LR: 0.001000
=> Epoch 007 | Train: 0.9909 (Easy: 0.5477, Hard: 1.4472) | Val: 0.8423 (Easy: 0.4836, Hard: 1.2299) | LR: 0.001000
=> Epoch 008 | Train: 0.9794 (Easy: 0.5294, Hard: 1.4449) | Val: 0.8295 (Easy: 0.4796, Hard: 1.2078) | LR: 0.001000
=> Epoch 009 | Train: 0.9731 (Easy: 0.5369, Hard: 1.4248) | Val: 0.8220 (Easy: 0.4753, Hard: 1.2006) | LR: 0.001000
=> Epoch 010 | Train: 0.9710 (Easy: 0.5279, Hard: 1.4366) | Val: 0.8207 (Easy: 0.4803, Hard: 1.1924) | LR: 0.001000
=> Epoch 011 | Train: 0.9680 (Easy: 0.5311, Hard: 1.4221) | Val: 0.8076 (Easy: 0.4686, Hard: 1.1777) | LR: 0.001000
=> Epoch 012 | Train: 0.9607 (Easy: 0.5246, Hard: 1.4157) | Val: 0.8124 (Easy: 0.4712, Hard: 1.1830) | LR: 0.001000
=> Epoch 013 | Train: 0.9629 (Easy: 0.5256, Hard: 1.4276) | Val: 0.8085 (Easy: 0.4784, Hard: 1.1682) | LR: 0.001000
=> Epoch 014 | Train: 0.9512 (Easy: 0.5190, Hard: 1.4071) | Val: 0.8023 (Easy: 0.4669, Hard: 1.1693) | LR: 0.001000
=> Epoch 015 | Train: 0.9369 (Easy: 0.5057, Hard: 1.3950) | Val: 0.7999 (Easy: 0.4702, Hard: 1.1613) | LR: 0.001000
=> Epoch 016 | Train: 0.9417 (Easy: 0.5147, Hard: 1.3924) | Val: 0.7997 (Easy: 0.4722, Hard: 1.1585) | LR: 0.001000
=> Epoch 017 | Train: 0.9262 (Easy: 0.5054, Hard: 1.3723) | Val: 0.7951 (Easy: 0.4759, Hard: 1.1437) | LR: 0.001000
=> Epoch 018 | Train: 0.9377 (Easy: 0.5050, Hard: 1.3931) | Val: 0.7892 (Easy: 0.4712, Hard: 1.1373) | LR: 0.001000
