=> Trial Start: ['dir_sim', 'recency', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_outside']
=> Epoch 000 | Train: 1.1700 (Easy: 0.8187, Hard: 1.5158) | Val: 0.9122 (Easy: 0.5374, Hard: 1.2786) | LR: 0.001000
=> Epoch 001 | Train: 1.0405 (Easy: 0.5799, Hard: 1.5132) | Val: 0.8784 (Easy: 0.5184, Hard: 1.2349) | LR: 0.001000
=> Epoch 002 | Train: 1.0185 (Easy: 0.5829, Hard: 1.4716) | Val: 0.8559 (Easy: 0.5117, Hard: 1.2015) | LR: 0.001000
=> Epoch 003 | Train: 0.9969 (Easy: 0.5651, Hard: 1.4453) | Val: 0.8410 (Easy: 0.5014, Hard: 1.1870) | LR: 0.001000
=> Epoch 004 | Train: 0.9932 (Easy: 0.5676, Hard: 1.4345) | Val: 0.8339 (Easy: 0.5007, Hard: 1.1750) | LR: 0.001000
=> Epoch 005 | Train: 0.9776 (Easy: 0.5547, Hard: 1.4217) | Val: 0.8369 (Easy: 0.5214, Hard: 1.1599) | LR: 0.001000
=> Epoch 006 | Train: 0.9748 (Easy: 0.5523, Hard: 1.4193) | Val: 0.8310 (Easy: 0.5195, Hard: 1.1534) | LR: 0.001000
=> Epoch 007 | Train: 0.9616 (Easy: 0.5453, Hard: 1.3993) | Val: 0.8292 (Easy: 0.5237, Hard: 1.1481) | LR: 0.001000
=> Epoch 008 | Train: 0.9538 (Easy: 0.5395, Hard: 1.3942) | Val: 0.8106 (Easy: 0.4909, Hard: 1.1513) | LR: 0.001000
=> Epoch 009 | Train: 0.9439 (Easy: 0.5365, Hard: 1.3673) | Val: 0.8302 (Easy: 0.5364, Hard: 1.1417) | LR: 0.001000
=> Epoch 010 | Train: 0.9421 (Easy: 0.5243, Hard: 1.3820) | Val: 0.8175 (Easy: 0.5252, Hard: 1.1334) | LR: 0.001000
=> Epoch 011 | Train: 0.9290 (Easy: 0.5256, Hard: 1.3495) | Val: 0.8123 (Easy: 0.5148, Hard: 1.1371) | LR: 0.001000
=> Epoch 012 | Train: 0.9304 (Easy: 0.5166, Hard: 1.3681) | Val: 0.7870 (Easy: 0.4888, Hard: 1.1144) | LR: 0.001000
=> Epoch 013 | Train: 0.9048 (Easy: 0.5047, Hard: 1.3212) | Val: 0.7604 (Easy: 0.4547, Hard: 1.0922) | LR: 0.001000
=> Epoch 014 | Train: 0.8943 (Easy: 0.5090, Hard: 1.2934) | Val: 0.7591 (Easy: 0.4639, Hard: 1.0802) | LR: 0.001000
=> Epoch 015 | Train: 0.8886 (Easy: 0.4971, Hard: 1.2883) | Val: 0.7536 (Easy: 0.4691, Hard: 1.0687) | LR: 0.001000
=> Epoch 016 | Train: 0.8791 (Easy: 0.5036, Hard: 1.2639) | Val: 0.7568 (Easy: 0.4736, Hard: 1.0719) | LR: 0.001000
=> Epoch 017 | Train: 0.8710 (Easy: 0.4977, Hard: 1.2517) | Val: 0.7378 (Easy: 0.4582, Hard: 1.0459) | LR: 0.001000
=> Epoch 018 | Train: 0.8586 (Easy: 0.4984, Hard: 1.2235) | Val: 0.7385 (Easy: 0.4604, Hard: 1.0443) | LR: 0.001000
=> Epoch 019 | Train: 0.8480 (Easy: 0.4953, Hard: 1.2000) | Val: 0.7352 (Easy: 0.4603, Hard: 1.0386) | LR: 0.001000
=> Epoch 020 | Train: 0.8509 (Easy: 0.5013, Hard: 1.2027) | Val: 0.7427 (Easy: 0.4755, Hard: 1.0387) | LR: 0.001000
=> Epoch 021 | Train: 0.8453 (Easy: 0.4985, Hard: 1.1967) | Val: 0.7293 (Easy: 0.4529, Hard: 1.0315) | LR: 0.001000
=> Epoch 022 | Train: 0.8454 (Easy: 0.4922, Hard: 1.1971) | Val: 0.7315 (Easy: 0.4543, Hard: 1.0353) | LR: 0.001000
=> Epoch 023 | Train: 0.8505 (Easy: 0.5007, Hard: 1.2005) | Val: 0.7258 (Easy: 0.4572, Hard: 1.0183) | LR: 0.001000
=> Epoch 024 | Train: 0.8407 (Easy: 0.4947, Hard: 1.1885) | Val: 0.7320 (Easy: 0.4630, Hard: 1.0261) | LR: 0.001000
=> Epoch 025 | Train: 0.8437 (Easy: 0.4925, Hard: 1.1921) | Val: 0.7310 (Easy: 0.4632, Hard: 1.0229) | LR: 0.001000
=> Epoch 026 | Train: 0.8239 (Easy: 0.4873, Hard: 1.1619) | Val: 0.7269 (Easy: 0.4455, Hard: 1.0293) | LR: 0.001000
=> Epoch 027 | Train: 0.8367 (Easy: 0.4961, Hard: 1.1754) | Val: 0.7287 (Easy: 0.4479, Hard: 1.0278) | LR: 0.001000
=> Epoch 028 | Train: 0.8359 (Easy: 0.4936, Hard: 1.1785) | Val: 0.7288 (Easy: 0.4595, Hard: 1.0193) | LR: 0.001000
=> Epoch 029 | Train: 0.8221 (Easy: 0.4886, Hard: 1.1530) | Val: 0.7263 (Easy: 0.4427, Hard: 1.0281) | LR: 0.001000
=> Epoch 030 | Train: 0.8254 (Easy: 0.4881, Hard: 1.1607) | Val: 0.7282 (Easy: 0.4484, Hard: 1.0265) | LR: 0.001000
=> Epoch 031 | Train: 0.8249 (Easy: 0.4856, Hard: 1.1632) | Val: 0.7234 (Easy: 0.4457, Hard: 1.0224) | LR: 0.001000
=> Epoch 032 | Train: 0.8131 (Easy: 0.4851, Hard: 1.1357) | Val: 0.7224 (Easy: 0.4404, Hard: 1.0260) | LR: 0.001000
=> Epoch 033 | Train: 0.8111 (Easy: 0.4842, Hard: 1.1333) | Val: 0.7243 (Easy: 0.4560, Hard: 1.0145) | LR: 0.001000
=> Epoch 034 | Train: 0.8191 (Easy: 0.4811, Hard: 1.1522) | Val: 0.7238 (Easy: 0.4416, Hard: 1.0240) | LR: 0.001000
=> Epoch 035 | Train: 0.8168 (Easy: 0.4789, Hard: 1.1481) | Val: 0.7205 (Easy: 0.4429, Hard: 1.0178) | LR: 0.001000
=> Epoch 036 | Train: 0.8043 (Easy: 0.4719, Hard: 1.1358) | Val: 0.7246 (Easy: 0.4427, Hard: 1.0251) | LR: 0.001000
=> Epoch 037 | Train: 0.7989 (Easy: 0.4723, Hard: 1.1206) | Val: 0.7178 (Easy: 0.4469, Hard: 1.0103) | LR: 0.001000
=> Epoch 038 | Train: 0.8098 (Easy: 0.4744, Hard: 1.1411) | Val: 0.7229 (Easy: 0.4403, Hard: 1.0220) | LR: 0.001000
=> Epoch 039 | Train: 0.8163 (Easy: 0.4823, Hard: 1.1468) | Val: 0.7243 (Easy: 0.4506, Hard: 1.0138) | LR: 0.001000
=> Epoch 040 | Train: 0.8089 (Easy: 0.4709, Hard: 1.1388) | Val: 0.7173 (Easy: 0.4429, Hard: 1.0072) | LR: 0.001000
=> Epoch 041 | Train: 0.8105 (Easy: 0.4835, Hard: 1.1343) | Val: 0.7192 (Easy: 0.4424, Hard: 1.0118) | LR: 0.001000
=> Epoch 042 | Train: 0.7984 (Easy: 0.4776, Hard: 1.1183) | Val: 0.7178 (Easy: 0.4446, Hard: 1.0087) | LR: 0.001000
=> Epoch 043 | Train: 0.8064 (Easy: 0.4732, Hard: 1.1380) | Val: 0.7179 (Easy: 0.4547, Hard: 0.9983) | LR: 0.001000
=> Epoch 044 | Train: 0.8064 (Easy: 0.4748, Hard: 1.1280) | Val: 0.7198 (Easy: 0.4434, Hard: 1.0140) | LR: 0.001000
=> Epoch 045 | Train: 0.7969 (Easy: 0.4655, Hard: 1.1220) | Val: 0.7205 (Easy: 0.4383, Hard: 1.0161) | LR: 0.001000
=> Epoch 046 | Train: 0.8034 (Easy: 0.4727, Hard: 1.1253) | Val: 0.7217 (Easy: 0.4387, Hard: 1.0161) | LR: 0.001000
=> Epoch 047 | Train: 0.8056 (Easy: 0.4773, Hard: 1.1281) | Val: 0.7175 (Easy: 0.4415, Hard: 1.0099) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 048 | Train: 0.7826 (Easy: 0.4573, Hard: 1.1032) | Val: 0.7171 (Easy: 0.4345, Hard: 1.0113) | LR: 0.000500
=> Epoch 049 | Train: 0.7876 (Easy: 0.4640, Hard: 1.1093) | Val: 0.7182 (Easy: 0.4328, Hard: 1.0136) | LR: 0.000500
=> Epoch 050 | Train: 0.7799 (Easy: 0.4651, Hard: 1.0880) | Val: 0.7184 (Easy: 0.4336, Hard: 1.0119) | LR: 0.000500
=> Epoch 051 | Train: 0.7850 (Easy: 0.4639, Hard: 1.1059) | Val: 0.7182 (Easy: 0.4361, Hard: 1.0079) | LR: 0.000500
=> Epoch 052 | Train: 0.7884 (Easy: 0.4694, Hard: 1.1080) | Val: 0.7175 (Easy: 0.4355, Hard: 1.0073) | LR: 0.000500
=> Epoch 053 | Train: 0.7847 (Easy: 0.4684, Hard: 1.0981) | Val: 0.7141 (Easy: 0.4341, Hard: 1.0027) | LR: 0.000500
=> Epoch 054 | Train: 0.7806 (Easy: 0.4587, Hard: 1.1019) | Val: 0.7154 (Easy: 0.4321, Hard: 1.0080) | LR: 0.000500
=> Epoch 055 | Train: 0.7855 (Easy: 0.4586, Hard: 1.1068) | Val: 0.7127 (Easy: 0.4328, Hard: 1.0003) | LR: 0.000500
=> Epoch 056 | Train: 0.7777 (Easy: 0.4612, Hard: 1.0886) | Val: 0.7134 (Easy: 0.4322, Hard: 1.0053) | LR: 0.000500
=> Epoch 057 | Train: 0.7865 (Easy: 0.4647, Hard: 1.1013) | Val: 0.7123 (Easy: 0.4317, Hard: 1.0000) | LR: 0.000500
=> Epoch 058 | Train: 0.7913 (Easy: 0.4667, Hard: 1.1063) | Val: 0.7172 (Easy: 0.4326, Hard: 1.0084) | LR: 0.000500
=> Epoch 059 | Train: 0.7885 (Easy: 0.4663, Hard: 1.1078) | Val: 0.7118 (Easy: 0.4358, Hard: 0.9948) | LR: 0.000500
