=> Trial Start: ['dir_sim', 'recency', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_stair']
=> Epoch 000 | Train: 1.3567 (Easy: 0.9821, Hard: 1.7102) | Val: 1.0348 (Easy: 0.6487, Hard: 1.4275) | LR: 0.001000
=> Epoch 001 | Train: 1.1083 (Easy: 0.6162, Hard: 1.5933) | Val: 0.9434 (Easy: 0.5848, Hard: 1.3000) | LR: 0.001000
=> Epoch 002 | Train: 1.0515 (Easy: 0.6062, Hard: 1.5024) | Val: 0.9334 (Easy: 0.6202, Hard: 1.2446) | LR: 0.001000
=> Epoch 003 | Train: 1.0290 (Easy: 0.5791, Hard: 1.4930) | Val: 0.8808 (Easy: 0.5610, Hard: 1.2133) | LR: 0.001000
=> Epoch 004 | Train: 1.0115 (Easy: 0.5875, Hard: 1.4504) | Val: 0.8762 (Easy: 0.5572, Hard: 1.2081) | LR: 0.001000
=> Epoch 005 | Train: 0.9918 (Easy: 0.5581, Hard: 1.4452) | Val: 0.8464 (Easy: 0.5139, Hard: 1.2055) | LR: 0.001000
=> Epoch 006 | Train: 1.0078 (Easy: 0.5693, Hard: 1.4706) | Val: 0.8504 (Easy: 0.5155, Hard: 1.2122) | LR: 0.001000
=> Epoch 007 | Train: 0.9849 (Easy: 0.5592, Hard: 1.4317) | Val: 0.8445 (Easy: 0.5235, Hard: 1.1908) | LR: 0.001000
=> Epoch 008 | Train: 0.9820 (Easy: 0.5485, Hard: 1.4368) | Val: 0.8341 (Easy: 0.5043, Hard: 1.1944) | LR: 0.001000
=> Epoch 009 | Train: 0.9676 (Easy: 0.5455, Hard: 1.4101) | Val: 0.8325 (Easy: 0.5247, Hard: 1.1688) | LR: 0.001000
=> Epoch 010 | Train: 0.9679 (Easy: 0.5333, Hard: 1.4247) | Val: 0.8223 (Easy: 0.5120, Hard: 1.1628) | LR: 0.001000
=> Epoch 011 | Train: 0.9518 (Easy: 0.5365, Hard: 1.3880) | Val: 0.8110 (Easy: 0.5020, Hard: 1.1538) | LR: 0.001000
=> Epoch 012 | Train: 0.9502 (Easy: 0.5223, Hard: 1.3906) | Val: 0.8042 (Easy: 0.4925, Hard: 1.1476) | LR: 0.001000
=> Epoch 013 | Train: 0.9325 (Easy: 0.5196, Hard: 1.3626) | Val: 0.7973 (Easy: 0.4741, Hard: 1.1459) | LR: 0.001000
=> Epoch 014 | Train: 0.9231 (Easy: 0.5182, Hard: 1.3433) | Val: 0.7908 (Easy: 0.4802, Hard: 1.1293) | LR: 0.001000
=> Epoch 015 | Train: 0.9137 (Easy: 0.4966, Hard: 1.3398) | Val: 0.7802 (Easy: 0.4703, Hard: 1.1169) | LR: 0.001000
=> Epoch 016 | Train: 0.9101 (Easy: 0.5122, Hard: 1.3151) | Val: 0.7831 (Easy: 0.4841, Hard: 1.1129) | LR: 0.001000
=> Epoch 017 | Train: 0.9148 (Easy: 0.5166, Hard: 1.3241) | Val: 0.7757 (Easy: 0.4738, Hard: 1.1046) | LR: 0.001000
=> Epoch 018 | Train: 0.8892 (Easy: 0.5046, Hard: 1.2871) | Val: 0.7763 (Easy: 0.4751, Hard: 1.1048) | LR: 0.001000
=> Epoch 019 | Train: 0.8982 (Easy: 0.5120, Hard: 1.2863) | Val: 0.7744 (Easy: 0.4792, Hard: 1.0995) | LR: 0.001000
=> Epoch 020 | Train: 0.8837 (Easy: 0.5123, Hard: 1.2585) | Val: 0.7644 (Easy: 0.4618, Hard: 1.0967) | LR: 0.001000
=> Epoch 021 | Train: 0.8790 (Easy: 0.5095, Hard: 1.2583) | Val: 0.7619 (Easy: 0.4651, Hard: 1.0857) | LR: 0.001000
=> Epoch 022 | Train: 0.8734 (Easy: 0.5028, Hard: 1.2542) | Val: 0.7590 (Easy: 0.4670, Hard: 1.0801) | LR: 0.001000
=> Epoch 023 | Train: 0.8739 (Easy: 0.5040, Hard: 1.2522) | Val: 0.7574 (Easy: 0.4679, Hard: 1.0792) | LR: 0.001000
=> Epoch 024 | Train: 0.8711 (Easy: 0.4978, Hard: 1.2497) | Val: 0.7609 (Easy: 0.4742, Hard: 1.0772) | LR: 0.001000
=> Epoch 025 | Train: 0.8768 (Easy: 0.4974, Hard: 1.2599) | Val: 0.7590 (Easy: 0.4787, Hard: 1.0691) | LR: 0.001000
=> Epoch 026 | Train: 0.8672 (Easy: 0.5049, Hard: 1.2421) | Val: 0.7507 (Easy: 0.4647, Hard: 1.0686) | LR: 0.001000
=> Epoch 027 | Train: 0.8614 (Easy: 0.5004, Hard: 1.2295) | Val: 0.7560 (Easy: 0.4657, Hard: 1.0754) | LR: 0.001000
=> Epoch 028 | Train: 0.8794 (Easy: 0.5116, Hard: 1.2517) | Val: 0.7540 (Easy: 0.4638, Hard: 1.0757) | LR: 0.001000
=> Epoch 029 | Train: 0.8540 (Easy: 0.5034, Hard: 1.2112) | Val: 0.7671 (Easy: 0.4641, Hard: 1.0987) | LR: 0.001000
=> Epoch 030 | Train: 0.8505 (Easy: 0.5081, Hard: 1.2029) | Val: 0.7440 (Easy: 0.4599, Hard: 1.0619) | LR: 0.001000
