=> Trial Start: ['dir_sim', 'recency', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'last_node']
=> Epoch 000 | Train: 1.4124 (Easy: 1.0882, Hard: 1.7262) | Val: 1.0261 (Easy: 0.6470, Hard: 1.4105) | LR: 0.001000
=> Epoch 001 | Train: 1.1222 (Easy: 0.6320, Hard: 1.6064) | Val: 0.9542 (Easy: 0.5827, Hard: 1.3339) | LR: 0.001000
=> Epoch 002 | Train: 1.0851 (Easy: 0.6122, Hard: 1.5589) | Val: 0.9216 (Easy: 0.5567, Hard: 1.3038) | LR: 0.001000
=> Epoch 003 | Train: 1.0714 (Easy: 0.5973, Hard: 1.5497) | Val: 0.9177 (Easy: 0.5615, Hard: 1.2929) | LR: 0.001000
=> Epoch 004 | Train: 1.0532 (Easy: 0.5926, Hard: 1.5126) | Val: 0.9187 (Easy: 0.5680, Hard: 1.2916) | LR: 0.001000
=> Epoch 005 | Train: 1.0446 (Easy: 0.5826, Hard: 1.5127) | Val: 0.8988 (Easy: 0.5459, Hard: 1.2755) | LR: 0.001000
=> Epoch 006 | Train: 1.0446 (Easy: 0.5748, Hard: 1.5176) | Val: 0.8846 (Easy: 0.5216, Hard: 1.2763) | LR: 0.001000
=> Epoch 007 | Train: 1.0221 (Easy: 0.5625, Hard: 1.4844) | Val: 0.8513 (Easy: 0.4930, Hard: 1.2403) | LR: 0.001000
=> Epoch 008 | Train: 1.0093 (Easy: 0.5559, Hard: 1.4765) | Val: 0.8480 (Easy: 0.4904, Hard: 1.2398) | LR: 0.001000
=> Epoch 009 | Train: 0.9910 (Easy: 0.5399, Hard: 1.4458) | Val: 0.8320 (Easy: 0.4770, Hard: 1.2220) | LR: 0.001000
=> Epoch 010 | Train: 0.9785 (Easy: 0.5223, Hard: 1.4353) | Val: 0.8208 (Easy: 0.4725, Hard: 1.2003) | LR: 0.001000
=> Epoch 011 | Train: 0.9633 (Easy: 0.5237, Hard: 1.4016) | Val: 0.8087 (Easy: 0.4662, Hard: 1.1820) | LR: 0.001000
=> Epoch 012 | Train: 0.9692 (Easy: 0.5307, Hard: 1.4061) | Val: 0.8108 (Easy: 0.4668, Hard: 1.1872) | LR: 0.001000
=> Epoch 013 | Train: 0.9484 (Easy: 0.5220, Hard: 1.3686) | Val: 0.8009 (Easy: 0.4586, Hard: 1.1726) | LR: 0.001000
=> Epoch 014 | Train: 0.9308 (Easy: 0.5033, Hard: 1.3528) | Val: 0.8030 (Easy: 0.4653, Hard: 1.1720) | LR: 0.001000
=> Epoch 015 | Train: 0.9251 (Easy: 0.4975, Hard: 1.3442) | Val: 0.7973 (Easy: 0.4531, Hard: 1.1664) | LR: 0.001000
=> Epoch 016 | Train: 0.9257 (Easy: 0.5054, Hard: 1.3381) | Val: 0.7925 (Easy: 0.4594, Hard: 1.1556) | LR: 0.001000
=> Epoch 017 | Train: 0.9357 (Easy: 0.5100, Hard: 1.3514) | Val: 0.7965 (Easy: 0.4631, Hard: 1.1555) | LR: 0.001000
=> Epoch 018 | Train: 0.9185 (Easy: 0.5036, Hard: 1.3214) | Val: 0.8033 (Easy: 0.4575, Hard: 1.1693) | LR: 0.001000
=> Epoch 019 | Train: 0.9280 (Easy: 0.5143, Hard: 1.3246) | Val: 0.7962 (Easy: 0.4581, Hard: 1.1567) | LR: 0.001000
=> Epoch 020 | Train: 0.9211 (Easy: 0.5119, Hard: 1.3155) | Val: 0.7918 (Easy: 0.4630, Hard: 1.1463) | LR: 0.001000
=> Epoch 021 | Train: 0.9217 (Easy: 0.5158, Hard: 1.3216) | Val: 0.7858 (Easy: 0.4580, Hard: 1.1390) | LR: 0.001000
=> Epoch 022 | Train: 0.9107 (Easy: 0.5042, Hard: 1.3094) | Val: 0.7976 (Easy: 0.4783, Hard: 1.1442) | LR: 0.001000
=> Epoch 023 | Train: 0.9095 (Easy: 0.5042, Hard: 1.3021) | Val: 0.7834 (Easy: 0.4532, Hard: 1.1402) | LR: 0.001000
=> Epoch 024 | Train: 0.9042 (Easy: 0.5015, Hard: 1.2937) | Val: 0.7869 (Easy: 0.4648, Hard: 1.1330) | LR: 0.001000
=> Epoch 025 | Train: 0.9062 (Easy: 0.5051, Hard: 1.2932) | Val: 0.7868 (Easy: 0.4728, Hard: 1.1272) | LR: 0.001000
=> Epoch 026 | Train: 0.9037 (Easy: 0.5048, Hard: 1.2922) | Val: 0.7838 (Easy: 0.4620, Hard: 1.1293) | LR: 0.001000
=> Epoch 027 | Train: 0.8985 (Easy: 0.5034, Hard: 1.2818) | Val: 0.7767 (Easy: 0.4630, Hard: 1.1133) | LR: 0.001000
=> Epoch 028 | Train: 0.8951 (Easy: 0.5105, Hard: 1.2674) | Val: 0.7809 (Easy: 0.4683, Hard: 1.1147) | LR: 0.001000
=> Epoch 029 | Train: 0.8872 (Easy: 0.5084, Hard: 1.2536) | Val: 0.7808 (Easy: 0.4626, Hard: 1.1253) | LR: 0.001000
=> Epoch 030 | Train: 0.8901 (Easy: 0.5028, Hard: 1.2653) | Val: 0.7742 (Easy: 0.4669, Hard: 1.1080) | LR: 0.001000
=> Epoch 031 | Train: 0.8817 (Easy: 0.5062, Hard: 1.2451) | Val: 0.7766 (Easy: 0.4611, Hard: 1.1138) | LR: 0.001000
=> Epoch 032 | Train: 0.8743 (Easy: 0.4975, Hard: 1.2355) | Val: 0.7701 (Easy: 0.4656, Hard: 1.0992) | LR: 0.001000
=> Epoch 033 | Train: 0.8807 (Easy: 0.5114, Hard: 1.2350) | Val: 0.7700 (Easy: 0.4628, Hard: 1.1086) | LR: 0.001000
=> Epoch 034 | Train: 0.8903 (Easy: 0.5000, Hard: 1.2679) | Val: 0.7741 (Easy: 0.4739, Hard: 1.1003) | LR: 0.001000
=> Epoch 035 | Train: 0.8784 (Easy: 0.5030, Hard: 1.2388) | Val: 0.7726 (Easy: 0.4630, Hard: 1.1099) | LR: 0.001000
=> Epoch 036 | Train: 0.8727 (Easy: 0.4944, Hard: 1.2358) | Val: 0.7763 (Easy: 0.4684, Hard: 1.1105) | LR: 0.001000
=> Epoch 037 | Train: 0.8724 (Easy: 0.5039, Hard: 1.2357) | Val: 0.7759 (Easy: 0.4706, Hard: 1.1083) | LR: 0.001000
=> Epoch 038 | Train: 0.8824 (Easy: 0.5136, Hard: 1.2408) | Val: 0.7703 (Easy: 0.4629, Hard: 1.1035) | LR: 0.001000
=> Epoch 039 | Train: 0.8829 (Easy: 0.5057, Hard: 1.2474) | Val: 0.7689 (Easy: 0.4625, Hard: 1.1033) | LR: 0.001000
=> Epoch 040 | Train: 0.8667 (Easy: 0.4981, Hard: 1.2192) | Val: 0.7729 (Easy: 0.4738, Hard: 1.0994) | LR: 0.001000
=> Epoch 041 | Train: 0.8774 (Easy: 0.5002, Hard: 1.2400) | Val: 0.7664 (Easy: 0.4664, Hard: 1.0935) | LR: 0.001000
=> Epoch 042 | Train: 0.8700 (Easy: 0.5092, Hard: 1.2227) | Val: 0.7680 (Easy: 0.4689, Hard: 1.0958) | LR: 0.001000
=> Epoch 043 | Train: 0.8746 (Easy: 0.5059, Hard: 1.2263) | Val: 0.7670 (Easy: 0.4685, Hard: 1.0936) | LR: 0.001000
=> Epoch 044 | Train: 0.8681 (Easy: 0.5040, Hard: 1.2163) | Val: 0.7665 (Easy: 0.4647, Hard: 1.0944) | LR: 0.001000
=> Epoch 045 | Train: 0.8682 (Easy: 0.4954, Hard: 1.2298) | Val: 0.7641 (Easy: 0.4734, Hard: 1.0785) | LR: 0.001000
=> Epoch 046 | Train: 0.8571 (Easy: 0.4985, Hard: 1.2003) | Val: 0.7646 (Easy: 0.4693, Hard: 1.0881) | LR: 0.001000
=> Epoch 047 | Train: 0.8739 (Easy: 0.5009, Hard: 1.2239) | Val: 0.7600 (Easy: 0.4737, Hard: 1.0691) | LR: 0.001000
=> Epoch 048 | Train: 0.8631 (Easy: 0.5018, Hard: 1.2128) | Val: 0.7555 (Easy: 0.4672, Hard: 1.0707) | LR: 0.001000
=> Epoch 049 | Train: 0.8555 (Easy: 0.4933, Hard: 1.2012) | Val: 0.7615 (Easy: 0.4624, Hard: 1.0893) | LR: 0.001000
=> Epoch 050 | Train: 0.8545 (Easy: 0.5029, Hard: 1.1911) | Val: 0.7667 (Easy: 0.4764, Hard: 1.0875) | LR: 0.001000
=> Epoch 051 | Train: 0.8604 (Easy: 0.5006, Hard: 1.2065) | Val: 0.7613 (Easy: 0.4718, Hard: 1.0780) | LR: 0.001000
=> Epoch 052 | Train: 0.8518 (Easy: 0.5055, Hard: 1.1853) | Val: 0.7569 (Easy: 0.4669, Hard: 1.0729) | LR: 0.001000
=> Epoch 053 | Train: 0.8488 (Easy: 0.4910, Hard: 1.1953) | Val: 0.7552 (Easy: 0.4568, Hard: 1.0751) | LR: 0.001000
=> Epoch 054 | Train: 0.8447 (Easy: 0.4972, Hard: 1.1858) | Val: 0.7574 (Easy: 0.4693, Hard: 1.0744) | LR: 0.001000
=> Epoch 055 | Train: 0.8540 (Easy: 0.5006, Hard: 1.1957) | Val: 0.7583 (Easy: 0.4736, Hard: 1.0687) | LR: 0.001000
=> Epoch 056 | Train: 0.8611 (Easy: 0.5132, Hard: 1.1960) | Val: 0.7501 (Easy: 0.4730, Hard: 1.0556) | LR: 0.001000
=> Epoch 057 | Train: 0.8528 (Easy: 0.4991, Hard: 1.1914) | Val: 0.7550 (Easy: 0.4716, Hard: 1.0666) | LR: 0.001000
=> Epoch 058 | Train: 0.8569 (Easy: 0.5106, Hard: 1.1827) | Val: 0.7500 (Easy: 0.4667, Hard: 1.0590) | LR: 0.001000
=> Epoch 059 | Train: 0.8557 (Easy: 0.5003, Hard: 1.2000) | Val: 0.7509 (Easy: 0.4673, Hard: 1.0594) | LR: 0.001000
=> Epoch 060 | Train: 0.8498 (Easy: 0.5043, Hard: 1.1767) | Val: 0.7511 (Easy: 0.4745, Hard: 1.0526) | LR: 0.001000
=> Epoch 061 | Train: 0.8362 (Easy: 0.4944, Hard: 1.1625) | Val: 0.7434 (Easy: 0.4656, Hard: 1.0454) | LR: 0.001000
=> Epoch 062 | Train: 0.8422 (Easy: 0.5063, Hard: 1.1737) | Val: 0.7470 (Easy: 0.4691, Hard: 1.0550) | LR: 0.001000
=> Epoch 063 | Train: 0.8422 (Easy: 0.5061, Hard: 1.1667) | Val: 0.7451 (Easy: 0.4778, Hard: 1.0338) | LR: 0.001000
=> Epoch 064 | Train: 0.8412 (Easy: 0.5137, Hard: 1.1606) | Val: 0.7419 (Easy: 0.4739, Hard: 1.0308) | LR: 0.001000
=> Epoch 065 | Train: 0.8429 (Easy: 0.4941, Hard: 1.1817) | Val: 0.7448 (Easy: 0.4775, Hard: 1.0304) | LR: 0.001000
=> Epoch 066 | Train: 0.8458 (Easy: 0.4979, Hard: 1.1811) | Val: 0.7529 (Easy: 0.4629, Hard: 1.0700) | LR: 0.001000
=> Epoch 067 | Train: 0.8395 (Easy: 0.5037, Hard: 1.1646) | Val: 0.7422 (Easy: 0.4639, Hard: 1.0420) | LR: 0.001000
=> Epoch 068 | Train: 0.8361 (Easy: 0.4918, Hard: 1.1644) | Val: 0.7413 (Easy: 0.4674, Hard: 1.0379) | LR: 0.001000
