=> Trial Start: ['dir_sim', 'recency', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'room_area']
=> Epoch 000 | Train: 1.2635 (Easy: 0.8603, Hard: 1.6481) | Val: 0.9675 (Easy: 0.5806, Hard: 1.3540) | LR: 0.001000
=> Epoch 001 | Train: 1.0471 (Easy: 0.5767, Hard: 1.5110) | Val: 0.9168 (Easy: 0.5868, Hard: 1.2283) | LR: 0.001000
=> Epoch 002 | Train: 1.0257 (Easy: 0.5835, Hard: 1.4688) | Val: 0.8925 (Easy: 0.5470, Hard: 1.2279) | LR: 0.001000
=> Epoch 003 | Train: 1.0043 (Easy: 0.5557, Hard: 1.4526) | Val: 0.8853 (Easy: 0.5464, Hard: 1.2177) | LR: 0.001000
=> Epoch 004 | Train: 0.9942 (Easy: 0.5502, Hard: 1.4360) | Val: 0.8710 (Easy: 0.5378, Hard: 1.1998) | LR: 0.001000
=> Epoch 005 | Train: 0.9745 (Easy: 0.5338, Hard: 1.4141) | Val: 0.8672 (Easy: 0.5421, Hard: 1.1911) | LR: 0.001000
=> Epoch 006 | Train: 0.9841 (Easy: 0.5418, Hard: 1.4312) | Val: 0.8622 (Easy: 0.5333, Hard: 1.1981) | LR: 0.001000
=> Epoch 007 | Train: 0.9537 (Easy: 0.5201, Hard: 1.3861) | Val: 0.8707 (Easy: 0.5577, Hard: 1.1911) | LR: 0.001000
=> Epoch 008 | Train: 0.9442 (Easy: 0.5103, Hard: 1.3814) | Val: 0.8420 (Easy: 0.5231, Hard: 1.1721) | LR: 0.001000
=> Epoch 009 | Train: 0.9356 (Easy: 0.5137, Hard: 1.3540) | Val: 0.8225 (Easy: 0.5021, Hard: 1.1522) | LR: 0.001000
=> Epoch 010 | Train: 0.9261 (Easy: 0.5029, Hard: 1.3496) | Val: 0.8169 (Easy: 0.4986, Hard: 1.1475) | LR: 0.001000
=> Epoch 011 | Train: 0.9063 (Easy: 0.4901, Hard: 1.3172) | Val: 0.8200 (Easy: 0.5076, Hard: 1.1456) | LR: 0.001000
=> Epoch 012 | Train: 0.9110 (Easy: 0.4911, Hard: 1.3258) | Val: 0.8000 (Easy: 0.4840, Hard: 1.1318) | LR: 0.001000
=> Epoch 013 | Train: 0.8954 (Easy: 0.4837, Hard: 1.3050) | Val: 0.7834 (Easy: 0.4657, Hard: 1.1167) | LR: 0.001000
=> Epoch 014 | Train: 0.8938 (Easy: 0.4890, Hard: 1.2944) | Val: 0.7726 (Easy: 0.4557, Hard: 1.1046) | LR: 0.001000
=> Epoch 015 | Train: 0.8849 (Easy: 0.4803, Hard: 1.2866) | Val: 0.7747 (Easy: 0.4614, Hard: 1.1045) | LR: 0.001000
=> Epoch 016 | Train: 0.8813 (Easy: 0.4921, Hard: 1.2640) | Val: 0.7702 (Easy: 0.4579, Hard: 1.1000) | LR: 0.001000
=> Epoch 017 | Train: 0.8790 (Easy: 0.4792, Hard: 1.2749) | Val: 0.7638 (Easy: 0.4559, Hard: 1.0877) | LR: 0.001000
=> Epoch 018 | Train: 0.8680 (Easy: 0.4774, Hard: 1.2545) | Val: 0.7609 (Easy: 0.4524, Hard: 1.0829) | LR: 0.001000
=> Epoch 019 | Train: 0.8702 (Easy: 0.4698, Hard: 1.2575) | Val: 0.7559 (Easy: 0.4502, Hard: 1.0745) | LR: 0.001000
=> Epoch 020 | Train: 0.8471 (Easy: 0.4702, Hard: 1.2184) | Val: 0.7602 (Easy: 0.4600, Hard: 1.0751) | LR: 0.001000
=> Epoch 021 | Train: 0.8626 (Easy: 0.4866, Hard: 1.2304) | Val: 0.7511 (Easy: 0.4498, Hard: 1.0640) | LR: 0.001000
=> Epoch 022 | Train: 0.8568 (Easy: 0.4768, Hard: 1.2276) | Val: 0.7469 (Easy: 0.4471, Hard: 1.0558) | LR: 0.001000
=> Epoch 023 | Train: 0.8539 (Easy: 0.4744, Hard: 1.2291) | Val: 0.7421 (Easy: 0.4446, Hard: 1.0524) | LR: 0.001000
=> Epoch 024 | Train: 0.8486 (Easy: 0.4616, Hard: 1.2280) | Val: 0.7511 (Easy: 0.4613, Hard: 1.0521) | LR: 0.001000
=> Epoch 025 | Train: 0.8444 (Easy: 0.4662, Hard: 1.2069) | Val: 0.7425 (Easy: 0.4429, Hard: 1.0531) | LR: 0.001000
=> Epoch 026 | Train: 0.8435 (Easy: 0.4729, Hard: 1.2065) | Val: 0.7391 (Easy: 0.4406, Hard: 1.0503) | LR: 0.001000
=> Epoch 027 | Train: 0.8359 (Easy: 0.4602, Hard: 1.2077) | Val: 0.7366 (Easy: 0.4447, Hard: 1.0376) | LR: 0.001000
=> Epoch 028 | Train: 0.8339 (Easy: 0.4754, Hard: 1.1801) | Val: 0.7388 (Easy: 0.4465, Hard: 1.0416) | LR: 0.001000
=> Epoch 029 | Train: 0.8404 (Easy: 0.4729, Hard: 1.1940) | Val: 0.7387 (Easy: 0.4434, Hard: 1.0463) | LR: 0.001000
=> Epoch 030 | Train: 0.8292 (Easy: 0.4721, Hard: 1.1762) | Val: 0.7344 (Easy: 0.4423, Hard: 1.0361) | LR: 0.001000
=> Epoch 031 | Train: 0.8303 (Easy: 0.4621, Hard: 1.1869) | Val: 0.7330 (Easy: 0.4422, Hard: 1.0340) | LR: 0.001000
=> Epoch 032 | Train: 0.8240 (Easy: 0.4589, Hard: 1.1783) | Val: 0.7307 (Easy: 0.4389, Hard: 1.0318) | LR: 0.001000
=> Epoch 033 | Train: 0.8086 (Easy: 0.4536, Hard: 1.1490) | Val: 0.7443 (Easy: 0.4564, Hard: 1.0404) | LR: 0.001000
=> Epoch 034 | Train: 0.8261 (Easy: 0.4649, Hard: 1.1787) | Val: 0.7393 (Easy: 0.4425, Hard: 1.0471) | LR: 0.001000
=> Epoch 035 | Train: 0.8281 (Easy: 0.4594, Hard: 1.1914) | Val: 0.7301 (Easy: 0.4418, Hard: 1.0305) | LR: 0.001000
=> Epoch 036 | Train: 0.8187 (Easy: 0.4590, Hard: 1.1681) | Val: 0.7309 (Easy: 0.4428, Hard: 1.0297) | LR: 0.001000
=> Epoch 037 | Train: 0.8163 (Easy: 0.4588, Hard: 1.1619) | Val: 0.7237 (Easy: 0.4344, Hard: 1.0250) | LR: 0.001000
=> Epoch 038 | Train: 0.8209 (Easy: 0.4580, Hard: 1.1728) | Val: 0.7234 (Easy: 0.4384, Hard: 1.0191) | LR: 0.001000
=> Epoch 039 | Train: 0.8177 (Easy: 0.4582, Hard: 1.1640) | Val: 0.7261 (Easy: 0.4390, Hard: 1.0275) | LR: 0.001000
=> Epoch 040 | Train: 0.8125 (Easy: 0.4543, Hard: 1.1567) | Val: 0.7230 (Easy: 0.4378, Hard: 1.0184) | LR: 0.001000
=> Epoch 041 | Train: 0.8099 (Easy: 0.4524, Hard: 1.1572) | Val: 0.7212 (Easy: 0.4398, Hard: 1.0148) | LR: 0.001000
=> Epoch 042 | Train: 0.8069 (Easy: 0.4609, Hard: 1.1459) | Val: 0.7179 (Easy: 0.4362, Hard: 1.0118) | LR: 0.001000
=> Epoch 043 | Train: 0.8127 (Easy: 0.4516, Hard: 1.1710) | Val: 0.7174 (Easy: 0.4408, Hard: 1.0044) | LR: 0.001000
=> Epoch 044 | Train: 0.7946 (Easy: 0.4533, Hard: 1.1224) | Val: 0.7188 (Easy: 0.4426, Hard: 1.0065) | LR: 0.001000
=> Epoch 045 | Train: 0.8003 (Easy: 0.4545, Hard: 1.1395) | Val: 0.7146 (Easy: 0.4331, Hard: 1.0104) | LR: 0.001000
=> Epoch 046 | Train: 0.7997 (Easy: 0.4505, Hard: 1.1372) | Val: 0.7096 (Easy: 0.4358, Hard: 0.9952) | LR: 0.001000
=> Epoch 047 | Train: 0.7956 (Easy: 0.4510, Hard: 1.1291) | Val: 0.7243 (Easy: 0.4538, Hard: 1.0058) | LR: 0.001000
=> Epoch 048 | Train: 0.7924 (Easy: 0.4557, Hard: 1.1237) | Val: 0.7124 (Easy: 0.4373, Hard: 1.0007) | LR: 0.001000
=> Epoch 049 | Train: 0.7902 (Easy: 0.4549, Hard: 1.1171) | Val: 0.7127 (Easy: 0.4433, Hard: 0.9925) | LR: 0.001000
=> Epoch 050 | Train: 0.7964 (Easy: 0.4533, Hard: 1.1325) | Val: 0.7323 (Easy: 0.4543, Hard: 1.0238) | LR: 0.001000
=> Epoch 051 | Train: 0.7984 (Easy: 0.4546, Hard: 1.1332) | Val: 0.7101 (Easy: 0.4457, Hard: 0.9842) | LR: 0.001000
=> Epoch 052 | Train: 0.7904 (Easy: 0.4543, Hard: 1.1207) | Val: 0.7092 (Easy: 0.4430, Hard: 0.9902) | LR: 0.001000
=> Epoch 053 | Train: 0.7925 (Easy: 0.4512, Hard: 1.1207) | Val: 0.7117 (Easy: 0.4525, Hard: 0.9824) | LR: 0.001000
=> Epoch 054 | Train: 0.7912 (Easy: 0.4568, Hard: 1.1196) | Val: 0.7107 (Easy: 0.4422, Hard: 0.9953) | LR: 0.001000
=> Epoch 055 | Train: 0.7900 (Easy: 0.4477, Hard: 1.1232) | Val: 0.7148 (Easy: 0.4505, Hard: 0.9925) | LR: 0.001000
=> Epoch 056 | Train: 0.7811 (Easy: 0.4521, Hard: 1.0984) | Val: 0.7026 (Easy: 0.4396, Hard: 0.9807) | LR: 0.001000
=> Epoch 057 | Train: 0.7905 (Easy: 0.4531, Hard: 1.1164) | Val: 0.7056 (Easy: 0.4408, Hard: 0.9861) | LR: 0.001000
