=> Trial Start: ['dir_sim', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'room_area']
=> Epoch 000 | Train: 1.2686 (Easy: 0.8278, Hard: 1.7084) | Val: 1.0169 (Easy: 0.6789, Hard: 1.3311) | LR: 0.001000
=> Epoch 001 | Train: 1.0945 (Easy: 0.6304, Hard: 1.5466) | Val: 0.9930 (Easy: 0.6666, Hard: 1.2884) | LR: 0.001000
=> Epoch 002 | Train: 1.0698 (Easy: 0.6147, Hard: 1.5093) | Val: 1.0058 (Easy: 0.7082, Hard: 1.2707) | LR: 0.001000
=> Epoch 003 | Train: 1.0492 (Easy: 0.5908, Hard: 1.4903) | Val: 0.9775 (Easy: 0.6749, Hard: 1.2545) | LR: 0.001000
=> Epoch 004 | Train: 1.0303 (Easy: 0.5784, Hard: 1.4646) | Val: 0.9467 (Easy: 0.6358, Hard: 1.2441) | LR: 0.001000
=> Epoch 005 | Train: 1.0119 (Easy: 0.5660, Hard: 1.4481) | Val: 0.9283 (Easy: 0.6062, Hard: 1.2463) | LR: 0.001000
=> Epoch 006 | Train: 1.0061 (Easy: 0.5616, Hard: 1.4520) | Val: 0.9041 (Easy: 0.5657, Hard: 1.2476) | LR: 0.001000
=> Epoch 007 | Train: 0.9795 (Easy: 0.5450, Hard: 1.4097) | Val: 0.9067 (Easy: 0.5671, Hard: 1.2494) | LR: 0.001000
=> Epoch 008 | Train: 0.9795 (Easy: 0.5370, Hard: 1.4253) | Val: 0.8759 (Easy: 0.5230, Hard: 1.2356) | LR: 0.001000
=> Epoch 009 | Train: 0.9720 (Easy: 0.5409, Hard: 1.4034) | Val: 0.8744 (Easy: 0.5190, Hard: 1.2356) | LR: 0.001000
=> Epoch 010 | Train: 0.9666 (Easy: 0.5268, Hard: 1.4109) | Val: 0.8783 (Easy: 0.5278, Hard: 1.2344) | LR: 0.001000
=> Epoch 011 | Train: 0.9558 (Easy: 0.5222, Hard: 1.3811) | Val: 0.8640 (Easy: 0.5077, Hard: 1.2273) | LR: 0.001000
=> Epoch 012 | Train: 0.9621 (Easy: 0.5217, Hard: 1.4014) | Val: 0.8743 (Easy: 0.5291, Hard: 1.2241) | LR: 0.001000
=> Epoch 013 | Train: 0.9600 (Easy: 0.5285, Hard: 1.3902) | Val: 0.8597 (Easy: 0.5065, Hard: 1.2211) | LR: 0.001000
=> Epoch 014 | Train: 0.9466 (Easy: 0.5188, Hard: 1.3707) | Val: 0.8595 (Easy: 0.5057, Hard: 1.2217) | LR: 0.001000
=> Epoch 015 | Train: 0.9395 (Easy: 0.5070, Hard: 1.3650) | Val: 0.8648 (Easy: 0.5169, Hard: 1.2216) | LR: 0.001000
=> Epoch 016 | Train: 0.9377 (Easy: 0.5154, Hard: 1.3580) | Val: 0.8548 (Easy: 0.5041, Hard: 1.2148) | LR: 0.001000
=> Epoch 017 | Train: 0.9399 (Easy: 0.5103, Hard: 1.3693) | Val: 0.8447 (Easy: 0.4941, Hard: 1.2055) | LR: 0.001000
=> Epoch 018 | Train: 0.9260 (Easy: 0.5063, Hard: 1.3437) | Val: 0.8495 (Easy: 0.4984, Hard: 1.2121) | LR: 0.001000
=> Epoch 019 | Train: 0.9391 (Easy: 0.5108, Hard: 1.3658) | Val: 0.8428 (Easy: 0.4959, Hard: 1.1994) | LR: 0.001000
=> Epoch 020 | Train: 0.9198 (Easy: 0.5030, Hard: 1.3342) | Val: 0.8637 (Easy: 0.5193, Hard: 1.2173) | LR: 0.001000
=> Epoch 021 | Train: 0.9269 (Easy: 0.5090, Hard: 1.3521) | Val: 0.8390 (Easy: 0.4925, Hard: 1.1926) | LR: 0.001000
=> Epoch 022 | Train: 0.9308 (Easy: 0.5126, Hard: 1.3485) | Val: 0.8463 (Easy: 0.5019, Hard: 1.1984) | LR: 0.001000
=> Epoch 023 | Train: 0.9143 (Easy: 0.5062, Hard: 1.3215) | Val: 0.8346 (Easy: 0.4918, Hard: 1.1854) | LR: 0.001000
=> Epoch 024 | Train: 0.9276 (Easy: 0.5128, Hard: 1.3478) | Val: 0.8446 (Easy: 0.5004, Hard: 1.1982) | LR: 0.001000
=> Epoch 025 | Train: 0.9203 (Easy: 0.5012, Hard: 1.3415) | Val: 0.8321 (Easy: 0.4910, Hard: 1.1819) | LR: 0.001000
=> Epoch 026 | Train: 0.9205 (Easy: 0.5106, Hard: 1.3275) | Val: 0.8407 (Easy: 0.5051, Hard: 1.1865) | LR: 0.001000
=> Epoch 027 | Train: 0.9196 (Easy: 0.5088, Hard: 1.3273) | Val: 0.8379 (Easy: 0.5052, Hard: 1.1810) | LR: 0.001000
=> Epoch 028 | Train: 0.9041 (Easy: 0.5041, Hard: 1.3132) | Val: 0.8337 (Easy: 0.4930, Hard: 1.1878) | LR: 0.001000
=> Epoch 029 | Train: 0.9098 (Easy: 0.4976, Hard: 1.3250) | Val: 0.8299 (Easy: 0.4963, Hard: 1.1751) | LR: 0.001000
=> Epoch 030 | Train: 0.9062 (Easy: 0.5053, Hard: 1.3080) | Val: 0.8261 (Easy: 0.5011, Hard: 1.1627) | LR: 0.001000
=> Epoch 031 | Train: 0.9036 (Easy: 0.5070, Hard: 1.3006) | Val: 0.8321 (Easy: 0.5106, Hard: 1.1664) | LR: 0.001000
=> Epoch 032 | Train: 0.8978 (Easy: 0.5012, Hard: 1.2931) | Val: 0.8236 (Easy: 0.5055, Hard: 1.1552) | LR: 0.001000
=> Epoch 033 | Train: 0.8799 (Easy: 0.4923, Hard: 1.2730) | Val: 0.8213 (Easy: 0.4991, Hard: 1.1573) | LR: 0.001000
=> Epoch 034 | Train: 0.8929 (Easy: 0.5049, Hard: 1.2853) | Val: 0.8096 (Easy: 0.4973, Hard: 1.1320) | LR: 0.001000
=> Epoch 035 | Train: 0.8934 (Easy: 0.5088, Hard: 1.2809) | Val: 0.8121 (Easy: 0.5048, Hard: 1.1323) | LR: 0.001000
=> Epoch 036 | Train: 0.8836 (Easy: 0.5018, Hard: 1.2674) | Val: 0.8023 (Easy: 0.4979, Hard: 1.1205) | LR: 0.001000
=> Epoch 037 | Train: 0.8849 (Easy: 0.4994, Hard: 1.2710) | Val: 0.8220 (Easy: 0.5144, Hard: 1.1452) | LR: 0.001000
=> Epoch 038 | Train: 0.8932 (Easy: 0.5001, Hard: 1.2892) | Val: 0.8096 (Easy: 0.5070, Hard: 1.1240) | LR: 0.001000
=> Epoch 039 | Train: 0.8773 (Easy: 0.4954, Hard: 1.2635) | Val: 0.7988 (Easy: 0.4972, Hard: 1.1114) | LR: 0.001000
=> Epoch 040 | Train: 0.8791 (Easy: 0.4950, Hard: 1.2672) | Val: 0.7941 (Easy: 0.4982, Hard: 1.1046) | LR: 0.001000
=> Epoch 041 | Train: 0.8679 (Easy: 0.4994, Hard: 1.2428) | Val: 0.7997 (Easy: 0.5052, Hard: 1.1095) | LR: 0.001000
=> Epoch 042 | Train: 0.8718 (Easy: 0.4939, Hard: 1.2546) | Val: 0.7995 (Easy: 0.5027, Hard: 1.1068) | LR: 0.001000
=> Epoch 043 | Train: 0.8724 (Easy: 0.4933, Hard: 1.2531) | Val: 0.7889 (Easy: 0.4967, Hard: 1.0919) | LR: 0.001000
=> Epoch 044 | Train: 0.8684 (Easy: 0.4958, Hard: 1.2352) | Val: 0.7943 (Easy: 0.4962, Hard: 1.1073) | LR: 0.001000
=> Epoch 045 | Train: 0.8659 (Easy: 0.5046, Hard: 1.2246) | Val: 0.7966 (Easy: 0.5039, Hard: 1.1066) | LR: 0.001000
=> Epoch 046 | Train: 0.8642 (Easy: 0.4990, Hard: 1.2315) | Val: 0.8223 (Easy: 0.5277, Hard: 1.1342) | LR: 0.001000
=> Epoch 047 | Train: 0.8635 (Easy: 0.4867, Hard: 1.2419) | Val: 0.7884 (Easy: 0.5011, Hard: 1.0905) | LR: 0.001000
=> Epoch 048 | Train: 0.8589 (Easy: 0.4886, Hard: 1.2317) | Val: 0.7960 (Easy: 0.5069, Hard: 1.0942) | LR: 0.001000
=> Epoch 049 | Train: 0.8661 (Easy: 0.4849, Hard: 1.2482) | Val: 0.7826 (Easy: 0.4884, Hard: 1.0864) | LR: 0.001000
=> Epoch 050 | Train: 0.8640 (Easy: 0.4911, Hard: 1.2379) | Val: 0.7898 (Easy: 0.4986, Hard: 1.0923) | LR: 0.001000
=> Epoch 051 | Train: 0.8526 (Easy: 0.4932, Hard: 1.2047) | Val: 0.8074 (Easy: 0.5148, Hard: 1.1042) | LR: 0.001000
=> Epoch 052 | Train: 0.8592 (Easy: 0.4933, Hard: 1.2280) | Val: 0.8141 (Easy: 0.5232, Hard: 1.1144) | LR: 0.001000
=> Epoch 053 | Train: 0.8464 (Easy: 0.4856, Hard: 1.2051) | Val: 0.7915 (Easy: 0.5087, Hard: 1.0828) | LR: 0.001000
=> Epoch 054 | Train: 0.8450 (Easy: 0.4891, Hard: 1.1958) | Val: 0.7937 (Easy: 0.5031, Hard: 1.0899) | LR: 0.001000
=> Epoch 055 | Train: 0.8571 (Easy: 0.4919, Hard: 1.2160) | Val: 0.7822 (Easy: 0.4931, Hard: 1.0763) | LR: 0.001000
=> Epoch 056 | Train: 0.8357 (Easy: 0.4802, Hard: 1.1841) | Val: 0.8002 (Easy: 0.5139, Hard: 1.0923) | LR: 0.001000
=> Epoch 057 | Train: 0.8559 (Easy: 0.4873, Hard: 1.2170) | Val: 0.7854 (Easy: 0.5003, Hard: 1.0824) | LR: 0.001000
=> Epoch 058 | Train: 0.8372 (Easy: 0.4884, Hard: 1.1760) | Val: 0.7752 (Easy: 0.4891, Hard: 1.0678) | LR: 0.001000
=> Epoch 059 | Train: 0.8433 (Easy: 0.4797, Hard: 1.2149) | Val: 0.8019 (Easy: 0.5315, Hard: 1.0781) | LR: 0.001000
=> Epoch 060 | Train: 0.8587 (Easy: 0.4969, Hard: 1.2101) | Val: 0.7823 (Easy: 0.4989, Hard: 1.0711) | LR: 0.001000
=> Epoch 061 | Train: 0.8388 (Easy: 0.4833, Hard: 1.1835) | Val: 0.7790 (Easy: 0.4997, Hard: 1.0624) | LR: 0.001000
=> Epoch 062 | Train: 0.8416 (Easy: 0.4891, Hard: 1.1874) | Val: 0.7880 (Easy: 0.5025, Hard: 1.0834) | LR: 0.001000
=> Epoch 063 | Train: 0.8394 (Easy: 0.4859, Hard: 1.1877) | Val: 0.7818 (Easy: 0.4997, Hard: 1.0753) | LR: 0.001000
=> Epoch 064 | Train: 0.8440 (Easy: 0.4802, Hard: 1.2056) | Val: 0.7832 (Easy: 0.5068, Hard: 1.0743) | LR: 0.001000
=> Epoch 065 | Train: 0.8425 (Easy: 0.4898, Hard: 1.1939) | Val: 0.7732 (Easy: 0.4872, Hard: 1.0677) | LR: 0.001000
=> Epoch 066 | Train: 0.8345 (Easy: 0.4735, Hard: 1.1909) | Val: 0.7764 (Easy: 0.4883, Hard: 1.0664) | LR: 0.001000
=> Epoch 067 | Train: 0.8504 (Easy: 0.4745, Hard: 1.2195) | Val: 0.7667 (Easy: 0.4850, Hard: 1.0536) | LR: 0.001000
=> Epoch 068 | Train: 0.8509 (Easy: 0.4798, Hard: 1.2178) | Val: 0.7719 (Easy: 0.4872, Hard: 1.0626) | LR: 0.001000
=> Epoch 069 | Train: 0.8298 (Easy: 0.4784, Hard: 1.1755) | Val: 0.7803 (Easy: 0.4970, Hard: 1.0719) | LR: 0.001000
=> Epoch 070 | Train: 0.8234 (Easy: 0.4808, Hard: 1.1653) | Val: 0.7678 (Easy: 0.4868, Hard: 1.0530) | LR: 0.001000
=> Epoch 071 | Train: 0.8370 (Easy: 0.4802, Hard: 1.1918) | Val: 0.7773 (Easy: 0.5012, Hard: 1.0601) | LR: 0.001000
=> Epoch 072 | Train: 0.8357 (Easy: 0.4791, Hard: 1.1927) | Val: 0.7893 (Easy: 0.5080, Hard: 1.0736) | LR: 0.001000
=> Epoch 073 | Train: 0.8386 (Easy: 0.4768, Hard: 1.2000) | Val: 0.7966 (Easy: 0.5171, Hard: 1.0852) | LR: 0.001000
=> Epoch 074 | Train: 0.8449 (Easy: 0.4826, Hard: 1.2050) | Val: 0.7834 (Easy: 0.5108, Hard: 1.0621) | LR: 0.001000
=> Epoch 075 | Train: 0.8314 (Easy: 0.4771, Hard: 1.1813) | Val: 0.7745 (Easy: 0.4983, Hard: 1.0560) | LR: 0.001000
=> Epoch 076 | Train: 0.8346 (Easy: 0.4882, Hard: 1.1826) | Val: 0.7700 (Easy: 0.4860, Hard: 1.0610) | LR: 0.001000
=> Epoch 077 | Train: 0.8316 (Easy: 0.4749, Hard: 1.1771) | Val: 0.7839 (Easy: 0.5010, Hard: 1.0704) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 078 | Train: 0.8261 (Easy: 0.4788, Hard: 1.1684) | Val: 0.7639 (Easy: 0.4798, Hard: 1.0515) | LR: 0.000500
=> Epoch 079 | Train: 0.8207 (Easy: 0.4761, Hard: 1.1561) | Val: 0.7660 (Easy: 0.4824, Hard: 1.0514) | LR: 0.000500
=> Epoch 080 | Train: 0.8163 (Easy: 0.4718, Hard: 1.1545) | Val: 0.7585 (Easy: 0.4795, Hard: 1.0430) | LR: 0.000500
=> Epoch 081 | Train: 0.8124 (Easy: 0.4692, Hard: 1.1449) | Val: 0.7686 (Easy: 0.4888, Hard: 1.0511) | LR: 0.000500
=> Epoch 082 | Train: 0.8151 (Easy: 0.4693, Hard: 1.1538) | Val: 0.7706 (Easy: 0.4927, Hard: 1.0578) | LR: 0.000500
=> Epoch 083 | Train: 0.8326 (Easy: 0.4769, Hard: 1.1811) | Val: 0.7600 (Easy: 0.4787, Hard: 1.0453) | LR: 0.000500
=> Epoch 084 | Train: 0.8267 (Easy: 0.4725, Hard: 1.1706) | Val: 0.7623 (Easy: 0.4856, Hard: 1.0445) | LR: 0.000500
=> Epoch 085 | Train: 0.8158 (Easy: 0.4677, Hard: 1.1559) | Val: 0.7571 (Easy: 0.4802, Hard: 1.0414) | LR: 0.000500
=> Epoch 086 | Train: 0.8030 (Easy: 0.4656, Hard: 1.1316) | Val: 0.7554 (Easy: 0.4775, Hard: 1.0372) | LR: 0.000500
=> Epoch 087 | Train: 0.8256 (Easy: 0.4809, Hard: 1.1652) | Val: 0.7575 (Easy: 0.4782, Hard: 1.0427) | LR: 0.000500
=> Epoch 088 | Train: 0.8227 (Easy: 0.4805, Hard: 1.1549) | Val: 0.7566 (Easy: 0.4801, Hard: 1.0378) | LR: 0.000500
=> Epoch 089 | Train: 0.8121 (Easy: 0.4723, Hard: 1.1485) | Val: 0.7603 (Easy: 0.4834, Hard: 1.0456) | LR: 0.000500
