=> Trial Start: ['has_dead']

=> Split: 0 | Features: ['has_dead']
=> Epoch 000 | Train: 1.8399 (Easy: 1.7159, Hard: 1.9503) | Val: 1.8190 (Easy: 1.6797, Hard: 1.9326) | LR: 0.001000
=> Epoch 001 | Train: 1.7708 (Easy: 1.5899, Hard: 1.9350) | Val: 1.7721 (Easy: 1.5974, Hard: 1.9372) | LR: 0.001000
=> Epoch 002 | Train: 1.7547 (Easy: 1.5470, Hard: 1.9540) | Val: 1.7487 (Easy: 1.5634, Hard: 1.9343) | LR: 0.001000
=> Epoch 003 | Train: 1.7500 (Easy: 1.5406, Hard: 1.9493) | Val: 1.7474 (Easy: 1.5589, Hard: 1.9382) | LR: 0.001000
=> Epoch 004 | Train: 1.7452 (Easy: 1.5381, Hard: 1.9449) | Val: 1.7365 (Easy: 1.5444, Hard: 1.9339) | LR: 0.001000
=> Epoch 005 | Train: 1.7366 (Easy: 1.5220, Hard: 1.9461) | Val: 1.7288 (Easy: 1.5346, Hard: 1.9304) | LR: 0.001000
=> Epoch 006 | Train: 1.7294 (Easy: 1.5209, Hard: 1.9355) | Val: 1.7201 (Easy: 1.5216, Hard: 1.9299) | LR: 0.001000
=> Epoch 007 | Train: 1.7242 (Easy: 1.5090, Hard: 1.9344) | Val: 1.7242 (Easy: 1.5151, Hard: 1.9461) | LR: 0.001000
=> Epoch 008 | Train: 1.7185 (Easy: 1.5077, Hard: 1.9287) | Val: 1.7135 (Easy: 1.5089, Hard: 1.9329) | LR: 0.001000
=> Epoch 009 | Train: 1.7142 (Easy: 1.5033, Hard: 1.9238) | Val: 1.7107 (Easy: 1.4997, Hard: 1.9394) | LR: 0.001000
=> Epoch 010 | Train: 1.7207 (Easy: 1.5159, Hard: 1.9217) | Val: 1.7143 (Easy: 1.5094, Hard: 1.9326) | LR: 0.001000
=> Epoch 011 | Train: 1.7239 (Easy: 1.5065, Hard: 1.9396) | Val: 1.7048 (Easy: 1.4980, Hard: 1.9292) | LR: 0.001000
=> Epoch 012 | Train: 1.7149 (Easy: 1.4990, Hard: 1.9283) | Val: 1.7029 (Easy: 1.4960, Hard: 1.9291) | LR: 0.001000
=> Epoch 013 | Train: 1.7105 (Easy: 1.4981, Hard: 1.9200) | Val: 1.7025 (Easy: 1.4924, Hard: 1.9357) | LR: 0.001000
=> Epoch 014 | Train: 1.7072 (Easy: 1.4937, Hard: 1.9179) | Val: 1.7048 (Easy: 1.4907, Hard: 1.9421) | LR: 0.001000
=> Epoch 015 | Train: 1.7042 (Easy: 1.4823, Hard: 1.9198) | Val: 1.7051 (Easy: 1.4899, Hard: 1.9462) | LR: 0.001000
=> Epoch 016 | Train: 1.7024 (Easy: 1.4863, Hard: 1.9204) | Val: 1.6974 (Easy: 1.4862, Hard: 1.9348) | LR: 0.001000
=> Epoch 017 | Train: 1.6909 (Easy: 1.4860, Hard: 1.8935) | Val: 1.6962 (Easy: 1.4814, Hard: 1.9395) | LR: 0.001000
=> Epoch 018 | Train: 1.6914 (Easy: 1.4753, Hard: 1.9062) | Val: 1.7056 (Easy: 1.4852, Hard: 1.9537) | LR: 0.001000
=> Epoch 019 | Train: 1.6988 (Easy: 1.4821, Hard: 1.9145) | Val: 1.7130 (Easy: 1.4855, Hard: 1.9704) | LR: 0.001000
=> Epoch 020 | Train: 1.6885 (Easy: 1.4760, Hard: 1.9039) | Val: 1.6984 (Easy: 1.4746, Hard: 1.9548) | LR: 0.001000
=> Epoch 021 | Train: 1.6851 (Easy: 1.4672, Hard: 1.9008) | Val: 1.6985 (Easy: 1.4801, Hard: 1.9471) | LR: 0.001000
=> Epoch 022 | Train: 1.6780 (Easy: 1.4628, Hard: 1.8881) | Val: 1.7084 (Easy: 1.4830, Hard: 1.9659) | LR: 0.001000
=> Epoch 023 | Train: 1.6871 (Easy: 1.4707, Hard: 1.9044) | Val: 1.7091 (Easy: 1.4808, Hard: 1.9706) | LR: 0.001000
=> Epoch 024 | Train: 1.6844 (Easy: 1.4769, Hard: 1.8905) | Val: 1.6999 (Easy: 1.4809, Hard: 1.9505) | LR: 0.001000
=> Epoch 025 | Train: 1.6816 (Easy: 1.4643, Hard: 1.8950) | Val: 1.7006 (Easy: 1.4748, Hard: 1.9594) | LR: 0.001000
=> Epoch 026 | Train: 1.6755 (Easy: 1.4549, Hard: 1.8923) | Val: 1.6979 (Easy: 1.4730, Hard: 1.9574) | LR: 0.001000
=> Epoch 027 | Train: 1.6782 (Easy: 1.4686, Hard: 1.8842) | Val: 1.6879 (Easy: 1.4657, Hard: 1.9437) | LR: 0.001000
=> Epoch 028 | Train: 1.6772 (Easy: 1.4620, Hard: 1.8908) | Val: 1.6888 (Easy: 1.4670, Hard: 1.9439) | LR: 0.001000
=> Epoch 029 | Train: 1.6773 (Easy: 1.4609, Hard: 1.8917) | Val: 1.6869 (Easy: 1.4637, Hard: 1.9448) | LR: 0.001000
=> Epoch 030 | Train: 1.6793 (Easy: 1.4608, Hard: 1.8926) | Val: 1.6860 (Easy: 1.4671, Hard: 1.9396) | LR: 0.001000
=> Epoch 031 | Train: 1.6852 (Easy: 1.4647, Hard: 1.9037) | Val: 1.6864 (Easy: 1.4625, Hard: 1.9444) | LR: 0.001000
=> Epoch 032 | Train: 1.6634 (Easy: 1.4523, Hard: 1.8751) | Val: 1.6782 (Easy: 1.4553, Hard: 1.9360) | LR: 0.001000
=> Epoch 033 | Train: 1.6677 (Easy: 1.4523, Hard: 1.8812) | Val: 1.6766 (Easy: 1.4587, Hard: 1.9291) | LR: 0.001000
=> Epoch 034 | Train: 1.6631 (Easy: 1.4480, Hard: 1.8712) | Val: 1.6691 (Easy: 1.4534, Hard: 1.9186) | LR: 0.001000
=> Epoch 035 | Train: 1.6629 (Easy: 1.4468, Hard: 1.8768) | Val: 1.6814 (Easy: 1.4577, Hard: 1.9402) | LR: 0.001000
=> Epoch 036 | Train: 1.6698 (Easy: 1.4555, Hard: 1.8772) | Val: 1.6821 (Easy: 1.4548, Hard: 1.9438) | LR: 0.001000
=> Epoch 037 | Train: 1.6602 (Easy: 1.4401, Hard: 1.8806) | Val: 1.6748 (Easy: 1.4572, Hard: 1.9293) | LR: 0.001000
=> Epoch 038 | Train: 1.6614 (Easy: 1.4408, Hard: 1.8784) | Val: 1.6718 (Easy: 1.4513, Hard: 1.9271) | LR: 0.001000
=> Epoch 039 | Train: 1.6592 (Easy: 1.4439, Hard: 1.8709) | Val: 1.6719 (Easy: 1.4575, Hard: 1.9197) | LR: 0.001000
=> Epoch 040 | Train: 1.6556 (Easy: 1.4402, Hard: 1.8677) | Val: 1.6641 (Easy: 1.4472, Hard: 1.9161) | LR: 0.001000
=> Epoch 041 | Train: 1.6676 (Easy: 1.4466, Hard: 1.8849) | Val: 1.6785 (Easy: 1.4567, Hard: 1.9371) | LR: 0.001000
