=> Trial Start: ['has_target']

=> Split: 0 | Features: ['has_target']
=> Epoch 000 | Train: 1.7629 (Easy: 1.5797, Hard: 1.9421) | Val: 1.5832 (Easy: 1.3720, Hard: 1.7615) | LR: 0.001000
=> Epoch 001 | Train: 1.6375 (Easy: 1.4099, Hard: 1.8689) | Val: 1.5325 (Easy: 1.3341, Hard: 1.7011) | LR: 0.001000
=> Epoch 002 | Train: 1.6021 (Easy: 1.3804, Hard: 1.8259) | Val: 1.4953 (Easy: 1.2752, Hard: 1.6975) | LR: 0.001000
=> Epoch 003 | Train: 1.5738 (Easy: 1.3530, Hard: 1.7899) | Val: 1.4817 (Easy: 1.2575, Hard: 1.6929) | LR: 0.001000
=> Epoch 004 | Train: 1.5568 (Easy: 1.3315, Hard: 1.7747) | Val: 1.4822 (Easy: 1.2584, Hard: 1.6984) | LR: 0.001000
=> Epoch 005 | Train: 1.5411 (Easy: 1.3222, Hard: 1.7552) | Val: 1.4941 (Easy: 1.2837, Hard: 1.6977) | LR: 0.001000
=> Epoch 006 | Train: 1.5290 (Easy: 1.3087, Hard: 1.7421) | Val: 1.4605 (Easy: 1.2342, Hard: 1.6898) | LR: 0.001000
=> Epoch 007 | Train: 1.5000 (Easy: 1.2831, Hard: 1.7153) | Val: 1.5321 (Easy: 1.3338, Hard: 1.7174) | LR: 0.001000
=> Epoch 008 | Train: 1.5137 (Easy: 1.2989, Hard: 1.7293) | Val: 1.5722 (Easy: 1.3972, Hard: 1.7214) | LR: 0.001000
=> Epoch 009 | Train: 1.5341 (Easy: 1.2918, Hard: 1.7716) | Val: 1.4456 (Easy: 1.2267, Hard: 1.6606) | LR: 0.001000
=> Epoch 010 | Train: 1.4558 (Easy: 1.2112, Hard: 1.6957) | Val: 1.3950 (Easy: 1.1877, Hard: 1.6059) | LR: 0.001000
=> Epoch 011 | Train: 1.4302 (Easy: 1.2036, Hard: 1.6476) | Val: 1.4250 (Easy: 1.2222, Hard: 1.6334) | LR: 0.001000
=> Epoch 012 | Train: 1.4225 (Easy: 1.2013, Hard: 1.6409) | Val: 1.4261 (Easy: 1.2300, Hard: 1.6253) | LR: 0.001000
=> Epoch 013 | Train: 1.4196 (Easy: 1.1847, Hard: 1.6532) | Val: 1.4750 (Easy: 1.2930, Hard: 1.6437) | LR: 0.001000
=> Epoch 014 | Train: 1.4333 (Easy: 1.2081, Hard: 1.6564) | Val: 1.4017 (Easy: 1.2226, Hard: 1.5858) | LR: 0.001000
=> Epoch 015 | Train: 1.3950 (Easy: 1.1484, Hard: 1.6357) | Val: 1.3464 (Easy: 1.1677, Hard: 1.5313) | LR: 0.001000
=> Epoch 016 | Train: 1.3885 (Easy: 1.1536, Hard: 1.6131) | Val: 1.3428 (Easy: 1.1704, Hard: 1.5207) | LR: 0.001000
=> Epoch 017 | Train: 1.3827 (Easy: 1.1658, Hard: 1.5921) | Val: 1.3242 (Easy: 1.1384, Hard: 1.5188) | LR: 0.001000
=> Epoch 018 | Train: 1.3709 (Easy: 1.1430, Hard: 1.5871) | Val: 1.3192 (Easy: 1.1451, Hard: 1.4992) | LR: 0.001000
=> Epoch 019 | Train: 1.3615 (Easy: 1.1370, Hard: 1.5852) | Val: 1.3134 (Easy: 1.1350, Hard: 1.4982) | LR: 0.001000
=> Epoch 020 | Train: 1.3730 (Easy: 1.1533, Hard: 1.5872) | Val: 1.3095 (Easy: 1.1319, Hard: 1.4908) | LR: 0.001000
=> Epoch 021 | Train: 1.3766 (Easy: 1.1594, Hard: 1.5897) | Val: 1.3067 (Easy: 1.1207, Hard: 1.4960) | LR: 0.001000
=> Epoch 022 | Train: 1.3573 (Easy: 1.1271, Hard: 1.5842) | Val: 1.3042 (Easy: 1.1252, Hard: 1.4835) | LR: 0.001000
=> Epoch 023 | Train: 1.3587 (Easy: 1.1406, Hard: 1.5716) | Val: 1.3003 (Easy: 1.1235, Hard: 1.4765) | LR: 0.001000
=> Epoch 024 | Train: 1.3534 (Easy: 1.1328, Hard: 1.5666) | Val: 1.3003 (Easy: 1.1301, Hard: 1.4692) | LR: 0.001000
=> Epoch 025 | Train: 1.3483 (Easy: 1.1291, Hard: 1.5591) | Val: 1.2926 (Easy: 1.1206, Hard: 1.4633) | LR: 0.001000
=> Epoch 026 | Train: 1.3385 (Easy: 1.1241, Hard: 1.5405) | Val: 1.2945 (Easy: 1.1288, Hard: 1.4574) | LR: 0.001000
=> Epoch 027 | Train: 1.3308 (Easy: 1.1154, Hard: 1.5374) | Val: 1.2873 (Easy: 1.1200, Hard: 1.4521) | LR: 0.001000
=> Epoch 028 | Train: 1.3294 (Easy: 1.1197, Hard: 1.5255) | Val: 1.2916 (Easy: 1.1303, Hard: 1.4482) | LR: 0.001000
=> Epoch 029 | Train: 1.3194 (Easy: 1.1038, Hard: 1.5233) | Val: 1.2924 (Easy: 1.1359, Hard: 1.4435) | LR: 0.001000
=> Epoch 030 | Train: 1.3099 (Easy: 1.1004, Hard: 1.5113) | Val: 1.2861 (Easy: 1.1210, Hard: 1.4447) | LR: 0.001000
=> Epoch 031 | Train: 1.3188 (Easy: 1.0975, Hard: 1.5270) | Val: 1.2834 (Easy: 1.1245, Hard: 1.4344) | LR: 0.001000
=> Epoch 032 | Train: 1.3128 (Easy: 1.0909, Hard: 1.5258) | Val: 1.2761 (Easy: 1.1102, Hard: 1.4355) | LR: 0.001000
