=> Trial Start: ['is_classroom']

=> Split: 0 | Features: ['is_classroom']
=> Epoch 000 | Train: 1.8349 (Easy: 1.7560, Hard: 1.9028) | Val: 1.6926 (Easy: 1.6138, Hard: 1.7302) | LR: 0.001000
=> Epoch 001 | Train: 1.7104 (Easy: 1.5911, Hard: 1.8140) | Val: 1.6449 (Easy: 1.4944, Hard: 1.7390) | LR: 0.001000
=> Epoch 002 | Train: 1.6801 (Easy: 1.5272, Hard: 1.8140) | Val: 1.6443 (Easy: 1.4877, Hard: 1.7441) | LR: 0.001000
=> Epoch 003 | Train: 1.6623 (Easy: 1.4984, Hard: 1.8047) | Val: 1.6539 (Easy: 1.4841, Hard: 1.7673) | LR: 0.001000
=> Epoch 004 | Train: 1.6712 (Easy: 1.5057, Hard: 1.8146) | Val: 1.6382 (Easy: 1.4826, Hard: 1.7386) | LR: 0.001000
=> Epoch 005 | Train: 1.6606 (Easy: 1.4914, Hard: 1.8098) | Val: 1.6433 (Easy: 1.4742, Hard: 1.7554) | LR: 0.001000
=> Epoch 006 | Train: 1.6733 (Easy: 1.5051, Hard: 1.8199) | Val: 1.6319 (Easy: 1.4737, Hard: 1.7346) | LR: 0.001000
=> Epoch 007 | Train: 1.6578 (Easy: 1.4801, Hard: 1.8133) | Val: 1.6155 (Easy: 1.4461, Hard: 1.7264) | LR: 0.001000
=> Epoch 008 | Train: 1.6333 (Easy: 1.4501, Hard: 1.7972) | Val: 1.5419 (Easy: 1.3251, Hard: 1.6892) | LR: 0.001000
=> Epoch 009 | Train: 1.5631 (Easy: 1.3171, Hard: 1.7898) | Val: 1.4753 (Easy: 1.2320, Hard: 1.6112) | LR: 0.001000
=> Epoch 010 | Train: 1.4875 (Easy: 1.2004, Hard: 1.7569) | Val: 1.4561 (Easy: 1.1957, Hard: 1.5882) | LR: 0.001000
=> Epoch 011 | Train: 1.4402 (Easy: 1.1382, Hard: 1.7307) | Val: 1.4471 (Easy: 1.1862, Hard: 1.5728) | LR: 0.001000
=> Epoch 012 | Train: 1.4118 (Easy: 1.1053, Hard: 1.7081) | Val: 1.3902 (Easy: 1.1231, Hard: 1.5432) | LR: 0.001000
=> Epoch 013 | Train: 1.3870 (Easy: 1.0714, Hard: 1.6899) | Val: 1.3363 (Easy: 1.0596, Hard: 1.5212) | LR: 0.001000
=> Epoch 014 | Train: 1.3421 (Easy: 1.0277, Hard: 1.6459) | Val: 1.2662 (Easy: 0.9779, Hard: 1.4790) | LR: 0.001000
=> Epoch 015 | Train: 1.2889 (Easy: 0.9625, Hard: 1.6104) | Val: 1.1859 (Easy: 0.8819, Hard: 1.4397) | LR: 0.001000
=> Epoch 016 | Train: 1.2511 (Easy: 0.9052, Hard: 1.5788) | Val: 1.1200 (Easy: 0.8077, Hard: 1.3952) | LR: 0.001000
=> Epoch 017 | Train: 1.2382 (Easy: 0.8766, Hard: 1.5821) | Val: 1.1378 (Easy: 0.7915, Hard: 1.4485) | LR: 0.001000
