=> Trial Start: ['is_common']

=> Split: 0 | Features: ['is_common']
=> Epoch 000 | Train: 1.6557 (Easy: 1.4525, Hard: 1.8400) | Val: 1.2108 (Easy: 0.8187, Hard: 1.6599) | LR: 0.001000
=> Epoch 001 | Train: 1.3443 (Easy: 0.8476, Hard: 1.8366) | Val: 1.2111 (Easy: 0.8181, Hard: 1.6611) | LR: 0.001000
=> Epoch 002 | Train: 1.3352 (Easy: 0.8435, Hard: 1.8261) | Val: 1.2131 (Easy: 0.8172, Hard: 1.6664) | LR: 0.001000
=> Epoch 003 | Train: 1.3224 (Easy: 0.8423, Hard: 1.7983) | Val: 1.1915 (Easy: 0.8020, Hard: 1.6361) | LR: 0.001000
=> Epoch 004 | Train: 1.3132 (Easy: 0.8360, Hard: 1.7862) | Val: 1.2126 (Easy: 0.8264, Hard: 1.6531) | LR: 0.001000
=> Epoch 005 | Train: 1.3172 (Easy: 0.8388, Hard: 1.7927) | Val: 1.1688 (Easy: 0.7989, Hard: 1.5860) | LR: 0.001000
=> Epoch 006 | Train: 1.3158 (Easy: 0.8333, Hard: 1.8004) | Val: 1.1805 (Easy: 0.8099, Hard: 1.5988) | LR: 0.001000
=> Epoch 007 | Train: 1.3088 (Easy: 0.8305, Hard: 1.7834) | Val: 1.1977 (Easy: 0.8137, Hard: 1.6330) | LR: 0.001000
=> Epoch 008 | Train: 1.2965 (Easy: 0.8238, Hard: 1.7738) | Val: 1.1285 (Easy: 0.7658, Hard: 1.5259) | LR: 0.001000
=> Epoch 009 | Train: 1.2758 (Easy: 0.8081, Hard: 1.7481) | Val: 1.1322 (Easy: 0.7791, Hard: 1.5136) | LR: 0.001000
=> Epoch 010 | Train: 1.2582 (Easy: 0.8016, Hard: 1.7050) | Val: 1.1059 (Easy: 0.7509, Hard: 1.4722) | LR: 0.001000
=> Epoch 011 | Train: 1.2215 (Easy: 0.7695, Hard: 1.6663) | Val: 1.0901 (Easy: 0.7212, Hard: 1.4632) | LR: 0.001000
=> Epoch 012 | Train: 1.2152 (Easy: 0.7645, Hard: 1.6565) | Val: 1.0847 (Easy: 0.7254, Hard: 1.4462) | LR: 0.001000
=> Epoch 013 | Train: 1.1963 (Easy: 0.7513, Hard: 1.6355) | Val: 1.0765 (Easy: 0.6934, Hard: 1.4655) | LR: 0.001000
=> Epoch 014 | Train: 1.1896 (Easy: 0.7405, Hard: 1.6351) | Val: 1.0614 (Easy: 0.6974, Hard: 1.4259) | LR: 0.001000
=> Epoch 015 | Train: 1.1726 (Easy: 0.7322, Hard: 1.6034) | Val: 1.0590 (Easy: 0.7125, Hard: 1.4041) | LR: 0.001000
=> Epoch 016 | Train: 1.1670 (Easy: 0.7317, Hard: 1.5931) | Val: 1.0497 (Easy: 0.6884, Hard: 1.4105) | LR: 0.001000
=> Epoch 017 | Train: 1.1448 (Easy: 0.7192, Hard: 1.5638) | Val: 1.0491 (Easy: 0.6792, Hard: 1.4202) | LR: 0.001000
=> Epoch 018 | Train: 1.1472 (Easy: 0.7236, Hard: 1.5645) | Val: 1.0509 (Easy: 0.6807, Hard: 1.4228) | LR: 0.001000
=> Epoch 019 | Train: 1.1493 (Easy: 0.7247, Hard: 1.5675) | Val: 1.0536 (Easy: 0.6794, Hard: 1.4321) | LR: 0.001000
=> Epoch 020 | Train: 1.1458 (Easy: 0.7235, Hard: 1.5614) | Val: 1.0204 (Easy: 0.6835, Hard: 1.3491) | LR: 0.001000
=> Epoch 021 | Train: 1.1390 (Easy: 0.7178, Hard: 1.5564) | Val: 1.0144 (Easy: 0.6830, Hard: 1.3359) | LR: 0.001000
=> Epoch 022 | Train: 1.1246 (Easy: 0.7126, Hard: 1.5315) | Val: 1.0086 (Easy: 0.6816, Hard: 1.3234) | LR: 0.001000
=> Epoch 023 | Train: 1.1343 (Easy: 0.7270, Hard: 1.5353) | Val: 1.0173 (Easy: 0.6756, Hard: 1.3498) | LR: 0.001000
=> Epoch 024 | Train: 1.1130 (Easy: 0.7071, Hard: 1.5144) | Val: 1.0127 (Easy: 0.6738, Hard: 1.3436) | LR: 0.001000
=> Epoch 025 | Train: 1.1210 (Easy: 0.7153, Hard: 1.5176) | Val: 1.0115 (Easy: 0.6735, Hard: 1.3404) | LR: 0.001000
=> Epoch 026 | Train: 1.1299 (Easy: 0.7119, Hard: 1.5368) | Val: 1.0036 (Easy: 0.6783, Hard: 1.3123) | LR: 0.001000
=> Epoch 027 | Train: 1.1142 (Easy: 0.7111, Hard: 1.5127) | Val: 1.0079 (Easy: 0.6772, Hard: 1.3254) | LR: 0.001000
=> Epoch 028 | Train: 1.1147 (Easy: 0.7087, Hard: 1.5192) | Val: 1.0052 (Easy: 0.6775, Hard: 1.3150) | LR: 0.001000
=> Epoch 029 | Train: 1.1107 (Easy: 0.7039, Hard: 1.5114) | Val: 1.0051 (Easy: 0.6759, Hard: 1.3174) | LR: 0.001000
=> Epoch 030 | Train: 1.0982 (Easy: 0.6962, Hard: 1.4883) | Val: 1.0055 (Easy: 0.6747, Hard: 1.3193) | LR: 0.001000
=> Epoch 031 | Train: 1.0916 (Easy: 0.6979, Hard: 1.4789) | Val: 1.0082 (Easy: 0.6747, Hard: 1.3256) | LR: 0.001000
=> Epoch 032 | Train: 1.1066 (Easy: 0.7077, Hard: 1.5059) | Val: 1.0081 (Easy: 0.6732, Hard: 1.3281) | LR: 0.001000
=> Epoch 033 | Train: 1.1232 (Easy: 0.7154, Hard: 1.5307) | Val: 1.0077 (Easy: 0.6741, Hard: 1.3267) | LR: 0.001000
=> Epoch 034 | Train: 1.1072 (Easy: 0.7034, Hard: 1.4995) | Val: 1.0088 (Easy: 0.6765, Hard: 1.3219) | LR: 0.001000
=> Epoch 035 | Train: 1.0961 (Easy: 0.6939, Hard: 1.4818) | Val: 1.0050 (Easy: 0.6763, Hard: 1.3151) | LR: 0.001000
=> Epoch 036 | Train: 1.0905 (Easy: 0.6991, Hard: 1.4739) | Val: 1.0070 (Easy: 0.6753, Hard: 1.3196) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 037 | Train: 1.1004 (Easy: 0.6978, Hard: 1.4939) | Val: 1.0072 (Easy: 0.6747, Hard: 1.3217) | LR: 0.000500
=> Epoch 038 | Train: 1.0808 (Easy: 0.6956, Hard: 1.4550) | Val: 1.0069 (Easy: 0.6758, Hard: 1.3190) | LR: 0.000500
=> Epoch 039 | Train: 1.0828 (Easy: 0.6890, Hard: 1.4689) | Val: 1.0082 (Easy: 0.6742, Hard: 1.3237) | LR: 0.000500
=> Epoch 040 | Train: 1.0911 (Easy: 0.6905, Hard: 1.4849) | Val: 1.0086 (Easy: 0.6747, Hard: 1.3231) | LR: 0.000500
=> Epoch 041 | Train: 1.0830 (Easy: 0.6877, Hard: 1.4694) | Val: 1.0079 (Easy: 0.6752, Hard: 1.3210) | LR: 0.000500
=> Early stopping triggered
