=> Trial Start: ['is_entrance']

=> Split: 0 | Features: ['is_entrance']
=> Epoch 000 | Train: 1.3189 (Easy: 1.0045, Hard: 1.6266) | Val: 1.0754 (Easy: 0.7272, Hard: 1.4191) | LR: 0.001000
=> Epoch 001 | Train: 1.1604 (Easy: 0.7475, Hard: 1.5640) | Val: 1.0693 (Easy: 0.7082, Hard: 1.4252) | LR: 0.001000
=> Epoch 002 | Train: 1.1629 (Easy: 0.7439, Hard: 1.5715) | Val: 1.0701 (Easy: 0.7041, Hard: 1.4306) | LR: 0.001000
=> Epoch 003 | Train: 1.1578 (Easy: 0.7350, Hard: 1.5698) | Val: 1.0689 (Easy: 0.7062, Hard: 1.4279) | LR: 0.001000
=> Epoch 004 | Train: 1.1564 (Easy: 0.7386, Hard: 1.5589) | Val: 1.0690 (Easy: 0.7034, Hard: 1.4316) | LR: 0.001000
=> Epoch 005 | Train: 1.1499 (Easy: 0.7282, Hard: 1.5614) | Val: 1.0691 (Easy: 0.7013, Hard: 1.4338) | LR: 0.001000
=> Epoch 006 | Train: 1.1542 (Easy: 0.7319, Hard: 1.5678) | Val: 1.0673 (Easy: 0.7055, Hard: 1.4253) | LR: 0.001000
=> Epoch 007 | Train: 1.1515 (Easy: 0.7303, Hard: 1.5605) | Val: 1.0687 (Easy: 0.6985, Hard: 1.4367) | LR: 0.001000
=> Epoch 008 | Train: 1.1516 (Easy: 0.7320, Hard: 1.5625) | Val: 1.0657 (Easy: 0.7048, Hard: 1.4237) | LR: 0.001000
=> Epoch 009 | Train: 1.1459 (Easy: 0.7342, Hard: 1.5491) | Val: 1.0633 (Easy: 0.6993, Hard: 1.4228) | LR: 0.001000
=> Epoch 010 | Train: 1.1472 (Easy: 0.7357, Hard: 1.5463) | Val: 1.0675 (Easy: 0.6958, Hard: 1.4376) | LR: 0.001000
=> Epoch 011 | Train: 1.1353 (Easy: 0.7244, Hard: 1.5359) | Val: 1.0467 (Easy: 0.6936, Hard: 1.3931) | LR: 0.001000
=> Epoch 012 | Train: 1.1206 (Easy: 0.7246, Hard: 1.5089) | Val: 1.0110 (Easy: 0.6921, Hard: 1.3134) | LR: 0.001000
=> Epoch 013 | Train: 1.1206 (Easy: 0.7241, Hard: 1.5057) | Val: 1.0359 (Easy: 0.6858, Hard: 1.3754) | LR: 0.001000
=> Epoch 014 | Train: 1.1050 (Easy: 0.7121, Hard: 1.4846) | Val: 1.0029 (Easy: 0.6835, Hard: 1.3017) | LR: 0.001000
=> Epoch 015 | Train: 1.1027 (Easy: 0.7098, Hard: 1.4809) | Val: 1.0091 (Easy: 0.6805, Hard: 1.3232) | LR: 0.001000
=> Epoch 016 | Train: 1.0951 (Easy: 0.7053, Hard: 1.4749) | Val: 1.0017 (Easy: 0.6785, Hard: 1.3015) | LR: 0.001000
=> Epoch 017 | Train: 1.0881 (Easy: 0.7017, Hard: 1.4646) | Val: 1.0050 (Easy: 0.6778, Hard: 1.3134) | LR: 0.001000
=> Epoch 018 | Train: 1.0842 (Easy: 0.6924, Hard: 1.4648) | Val: 1.0019 (Easy: 0.6779, Hard: 1.3019) | LR: 0.001000
=> Epoch 019 | Train: 1.0849 (Easy: 0.6968, Hard: 1.4638) | Val: 1.0032 (Easy: 0.6780, Hard: 1.3081) | LR: 0.001000
=> Epoch 020 | Train: 1.0757 (Easy: 0.6939, Hard: 1.4434) | Val: 1.0018 (Easy: 0.6773, Hard: 1.3031) | LR: 0.001000
=> Epoch 021 | Train: 1.0836 (Easy: 0.6922, Hard: 1.4685) | Val: 1.0014 (Easy: 0.6769, Hard: 1.3031) | LR: 0.001000
=> Epoch 022 | Train: 1.0876 (Easy: 0.6929, Hard: 1.4702) | Val: 1.0049 (Easy: 0.6779, Hard: 1.3093) | LR: 0.001000
=> Epoch 023 | Train: 1.0766 (Easy: 0.6914, Hard: 1.4495) | Val: 1.0036 (Easy: 0.6775, Hard: 1.3105) | LR: 0.001000
=> Epoch 024 | Train: 1.0720 (Easy: 0.6818, Hard: 1.4479) | Val: 1.0016 (Easy: 0.6772, Hard: 1.3007) | LR: 0.001000
=> Epoch 025 | Train: 1.0798 (Easy: 0.6876, Hard: 1.4583) | Val: 1.0024 (Easy: 0.6766, Hard: 1.3050) | LR: 0.001000
=> Epoch 026 | Train: 1.0779 (Easy: 0.6884, Hard: 1.4594) | Val: 1.0039 (Easy: 0.6778, Hard: 1.3111) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 027 | Train: 1.0679 (Easy: 0.6828, Hard: 1.4372) | Val: 1.0013 (Easy: 0.6779, Hard: 1.3043) | LR: 0.000500
=> Epoch 028 | Train: 1.0732 (Easy: 0.6849, Hard: 1.4504) | Val: 1.0028 (Easy: 0.6770, Hard: 1.3085) | LR: 0.000500
=> Epoch 029 | Train: 1.0702 (Easy: 0.6815, Hard: 1.4436) | Val: 0.9985 (Easy: 0.6780, Hard: 1.2952) | LR: 0.000500
=> Epoch 030 | Train: 1.0711 (Easy: 0.6858, Hard: 1.4489) | Val: 0.9993 (Easy: 0.6779, Hard: 1.2991) | LR: 0.000500
=> Epoch 031 | Train: 1.0780 (Easy: 0.6912, Hard: 1.4559) | Val: 1.0018 (Easy: 0.6773, Hard: 1.3063) | LR: 0.000500
=> Epoch 032 | Train: 1.0729 (Easy: 0.6876, Hard: 1.4469) | Val: 1.0068 (Easy: 0.6770, Hard: 1.3200) | LR: 0.000500
=> Epoch 033 | Train: 1.0741 (Easy: 0.6864, Hard: 1.4509) | Val: 1.0057 (Easy: 0.6773, Hard: 1.3172) | LR: 0.000500
=> Epoch 034 | Train: 1.0718 (Easy: 0.6880, Hard: 1.4422) | Val: 1.0040 (Easy: 0.6780, Hard: 1.3121) | LR: 0.000500
=> Epoch 035 | Train: 1.0626 (Easy: 0.6816, Hard: 1.4347) | Val: 1.0050 (Easy: 0.6775, Hard: 1.3149) | LR: 0.000500
=> Epoch 036 | Train: 1.0712 (Easy: 0.6833, Hard: 1.4491) | Val: 1.0025 (Easy: 0.6793, Hard: 1.3071) | LR: 0.000500
=> Epoch 037 | Train: 1.0631 (Easy: 0.6792, Hard: 1.4354) | Val: 1.0014 (Easy: 0.6783, Hard: 1.3051) | LR: 0.000500
=> Epoch 038 | Train: 1.0688 (Easy: 0.6810, Hard: 1.4432) | Val: 1.0030 (Easy: 0.6776, Hard: 1.3096) | LR: 0.000500
=> Epoch 039 | Train: 1.0707 (Easy: 0.6824, Hard: 1.4458) | Val: 1.0040 (Easy: 0.6786, Hard: 1.3122) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 040 | Train: 1.0676 (Easy: 0.6805, Hard: 1.4419) | Val: 1.0028 (Easy: 0.6782, Hard: 1.3093) | LR: 0.000250
=> Epoch 041 | Train: 1.0651 (Easy: 0.6782, Hard: 1.4402) | Val: 1.0032 (Easy: 0.6783, Hard: 1.3112) | LR: 0.000250
=> Epoch 042 | Train: 1.0628 (Easy: 0.6829, Hard: 1.4276) | Val: 1.0028 (Easy: 0.6780, Hard: 1.3096) | LR: 0.000250
=> Epoch 043 | Train: 1.0658 (Easy: 0.6805, Hard: 1.4377) | Val: 1.0023 (Easy: 0.6786, Hard: 1.3075) | LR: 0.000250
=> Epoch 044 | Train: 1.0662 (Easy: 0.6835, Hard: 1.4370) | Val: 1.0042 (Easy: 0.6787, Hard: 1.3121) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.5176 | Easy: 0.5962 | Hard: 0.3939

=> Split: 1 | Features: ['is_entrance']
=> Epoch 000 | Train: 1.3570 (Easy: 1.0428, Hard: 1.6658) | Val: 1.0286 (Easy: 0.6943, Hard: 1.4548) | LR: 0.001000
=> Epoch 001 | Train: 1.1576 (Easy: 0.7281, Hard: 1.5716) | Val: 1.0318 (Easy: 0.6674, Hard: 1.4982) | LR: 0.001000
