=> Trial Start: ['is_hallway']

=> Split: 0 | Features: ['is_hallway']
=> Epoch 000 | Train: 1.5333 (Easy: 1.1056, Hard: 1.9587) | Val: 1.4414 (Easy: 1.0712, Hard: 1.8004) | LR: 0.001000
=> Epoch 001 | Train: 1.4838 (Easy: 0.9789, Hard: 1.9885) | Val: 1.4291 (Easy: 1.0360, Hard: 1.8109) | LR: 0.001000
=> Epoch 002 | Train: 1.4704 (Easy: 0.9720, Hard: 1.9698) | Val: 1.4084 (Easy: 0.9683, Hard: 1.8374) | LR: 0.001000
=> Epoch 003 | Train: 1.4414 (Easy: 0.9398, Hard: 1.9478) | Val: 1.3894 (Easy: 0.9110, Hard: 1.8543) | LR: 0.001000
=> Epoch 004 | Train: 1.4324 (Easy: 0.9291, Hard: 1.9462) | Val: 1.3901 (Easy: 0.9274, Hard: 1.8381) | LR: 0.001000
=> Epoch 005 | Train: 1.4126 (Easy: 0.9153, Hard: 1.9212) | Val: 1.3766 (Easy: 0.8704, Hard: 1.8684) | LR: 0.001000
=> Epoch 006 | Train: 1.3816 (Easy: 0.8866, Hard: 1.8937) | Val: 1.3563 (Easy: 0.7897, Hard: 1.9119) | LR: 0.001000
=> Epoch 007 | Train: 1.3382 (Easy: 0.8497, Hard: 1.8459) | Val: 1.3117 (Easy: 0.7737, Hard: 1.8339) | LR: 0.001000
=> Epoch 008 | Train: 1.3083 (Easy: 0.8284, Hard: 1.8069) | Val: 1.2847 (Easy: 0.7528, Hard: 1.7985) | LR: 0.001000
=> Epoch 009 | Train: 1.2875 (Easy: 0.8171, Hard: 1.7709) | Val: 1.2259 (Easy: 0.7494, Hard: 1.6825) | LR: 0.001000
=> Epoch 010 | Train: 1.2442 (Easy: 0.7998, Hard: 1.7006) | Val: 1.1675 (Easy: 0.7346, Hard: 1.5822) | LR: 0.001000
=> Epoch 011 | Train: 1.2003 (Easy: 0.7807, Hard: 1.6207) | Val: 1.1484 (Easy: 0.7245, Hard: 1.5583) | LR: 0.001000
=> Epoch 012 | Train: 1.1898 (Easy: 0.7826, Hard: 1.5974) | Val: 1.1214 (Easy: 0.7137, Hard: 1.5133) | LR: 0.001000
=> Epoch 013 | Train: 1.1549 (Easy: 0.7653, Hard: 1.5415) | Val: 1.0579 (Easy: 0.7025, Hard: 1.3926) | LR: 0.001000
=> Epoch 014 | Train: 1.1265 (Easy: 0.7479, Hard: 1.5000) | Val: 1.0414 (Easy: 0.6944, Hard: 1.3681) | LR: 0.001000
=> Epoch 015 | Train: 1.1193 (Easy: 0.7290, Hard: 1.5023) | Val: 1.0436 (Easy: 0.6872, Hard: 1.3787) | LR: 0.001000
=> Epoch 016 | Train: 1.1143 (Easy: 0.7252, Hard: 1.4924) | Val: 1.0163 (Easy: 0.6874, Hard: 1.3222) | LR: 0.001000
=> Epoch 017 | Train: 1.1105 (Easy: 0.7294, Hard: 1.4812) | Val: 1.0144 (Easy: 0.6836, Hard: 1.3192) | LR: 0.001000
=> Epoch 018 | Train: 1.1008 (Easy: 0.7119, Hard: 1.4790) | Val: 1.0144 (Easy: 0.6809, Hard: 1.3209) | LR: 0.001000
=> Epoch 019 | Train: 1.0948 (Easy: 0.7162, Hard: 1.4638) | Val: 1.0081 (Easy: 0.6808, Hard: 1.3100) | LR: 0.001000
=> Epoch 020 | Train: 1.0725 (Easy: 0.6959, Hard: 1.4382) | Val: 1.0179 (Easy: 0.6793, Hard: 1.3297) | LR: 0.001000
=> Epoch 021 | Train: 1.0903 (Easy: 0.7061, Hard: 1.4632) | Val: 1.0152 (Easy: 0.6781, Hard: 1.3242) | LR: 0.001000
=> Epoch 022 | Train: 1.0893 (Easy: 0.6952, Hard: 1.4765) | Val: 1.0232 (Easy: 0.6773, Hard: 1.3406) | LR: 0.001000
=> Epoch 023 | Train: 1.0970 (Easy: 0.7080, Hard: 1.4749) | Val: 1.0065 (Easy: 0.6758, Hard: 1.3098) | LR: 0.001000
=> Epoch 024 | Train: 1.0937 (Easy: 0.7019, Hard: 1.4807) | Val: 1.0178 (Easy: 0.6757, Hard: 1.3313) | LR: 0.001000
=> Epoch 025 | Train: 1.0715 (Easy: 0.6936, Hard: 1.4311) | Val: 1.0176 (Easy: 0.6775, Hard: 1.3303) | LR: 0.001000
=> Epoch 026 | Train: 1.0852 (Easy: 0.6875, Hard: 1.4735) | Val: 1.0145 (Easy: 0.6747, Hard: 1.3260) | LR: 0.001000
=> Epoch 027 | Train: 1.0759 (Easy: 0.6902, Hard: 1.4488) | Val: 1.0252 (Easy: 0.6744, Hard: 1.3480) | LR: 0.001000
=> Epoch 028 | Train: 1.0836 (Easy: 0.6894, Hard: 1.4638) | Val: 1.0040 (Easy: 0.6745, Hard: 1.3039) | LR: 0.001000
=> Epoch 029 | Train: 1.0744 (Easy: 0.6895, Hard: 1.4430) | Val: 1.0110 (Easy: 0.6750, Hard: 1.3180) | LR: 0.001000
=> Epoch 030 | Train: 1.0836 (Easy: 0.6986, Hard: 1.4586) | Val: 1.0049 (Easy: 0.6730, Hard: 1.3069) | LR: 0.001000
=> Epoch 031 | Train: 1.0650 (Easy: 0.6884, Hard: 1.4231) | Val: 1.0068 (Easy: 0.6708, Hard: 1.3146) | LR: 0.001000
=> Epoch 032 | Train: 1.0720 (Easy: 0.6869, Hard: 1.4492) | Val: 1.0012 (Easy: 0.6710, Hard: 1.3030) | LR: 0.001000
=> Epoch 033 | Train: 1.0722 (Easy: 0.6886, Hard: 1.4398) | Val: 1.0060 (Easy: 0.6742, Hard: 1.3087) | LR: 0.001000
=> Epoch 034 | Train: 1.0691 (Easy: 0.6807, Hard: 1.4394) | Val: 1.0083 (Easy: 0.6734, Hard: 1.3146) | LR: 0.001000
=> Epoch 035 | Train: 1.0730 (Easy: 0.6883, Hard: 1.4438) | Val: 1.0064 (Easy: 0.6703, Hard: 1.3128) | LR: 0.001000
=> Epoch 036 | Train: 1.0677 (Easy: 0.6814, Hard: 1.4420) | Val: 1.0076 (Easy: 0.6705, Hard: 1.3153) | LR: 0.001000
=> Epoch 037 | Train: 1.0716 (Easy: 0.6827, Hard: 1.4456) | Val: 1.0061 (Easy: 0.6690, Hard: 1.3152) | LR: 0.001000
=> Epoch 038 | Train: 1.0647 (Easy: 0.6795, Hard: 1.4300) | Val: 1.0179 (Easy: 0.6709, Hard: 1.3360) | LR: 0.001000
=> Epoch 039 | Train: 1.0617 (Easy: 0.6784, Hard: 1.4353) | Val: 1.0006 (Easy: 0.6709, Hard: 1.3010) | LR: 0.001000
=> Epoch 040 | Train: 1.0656 (Easy: 0.6741, Hard: 1.4452) | Val: 1.0052 (Easy: 0.6699, Hard: 1.3112) | LR: 0.001000
=> Epoch 041 | Train: 1.0743 (Easy: 0.6798, Hard: 1.4515) | Val: 1.0024 (Easy: 0.6692, Hard: 1.3066) | LR: 0.001000
=> Epoch 042 | Train: 1.0664 (Easy: 0.6789, Hard: 1.4378) | Val: 1.0066 (Easy: 0.6704, Hard: 1.3138) | LR: 0.001000
=> Epoch 043 | Train: 1.0603 (Easy: 0.6840, Hard: 1.4213) | Val: 1.0037 (Easy: 0.6704, Hard: 1.3085) | LR: 0.001000
=> Epoch 044 | Train: 1.0633 (Easy: 0.6782, Hard: 1.4342) | Val: 1.0093 (Easy: 0.6688, Hard: 1.3202) | LR: 0.001000
=> Epoch 045 | Train: 1.0608 (Easy: 0.6755, Hard: 1.4359) | Val: 1.0124 (Easy: 0.6690, Hard: 1.3272) | LR: 0.001000
=> Epoch 046 | Train: 1.0624 (Easy: 0.6742, Hard: 1.4411) | Val: 1.0032 (Easy: 0.6709, Hard: 1.3076) | LR: 0.001000
=> Epoch 047 | Train: 1.0569 (Easy: 0.6766, Hard: 1.4275) | Val: 1.0017 (Easy: 0.6710, Hard: 1.3037) | LR: 0.001000
=> Epoch 048 | Train: 1.0697 (Easy: 0.6841, Hard: 1.4449) | Val: 1.0043 (Easy: 0.6709, Hard: 1.3073) | LR: 0.001000
=> Epoch 049 | Train: 1.0714 (Easy: 0.6771, Hard: 1.4547) | Val: 1.0026 (Easy: 0.6696, Hard: 1.3075) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 050 | Train: 1.0679 (Easy: 0.6745, Hard: 1.4486) | Val: 0.9988 (Easy: 0.6710, Hard: 1.2989) | LR: 0.000500
=> Epoch 051 | Train: 1.0503 (Easy: 0.6729, Hard: 1.4106) | Val: 1.0025 (Easy: 0.6690, Hard: 1.3120) | LR: 0.000500
=> Epoch 052 | Train: 1.0591 (Easy: 0.6637, Hard: 1.4426) | Val: 1.0011 (Easy: 0.6695, Hard: 1.3068) | LR: 0.000500
=> Epoch 053 | Train: 1.0562 (Easy: 0.6679, Hard: 1.4312) | Val: 0.9998 (Easy: 0.6699, Hard: 1.3034) | LR: 0.000500
=> Epoch 054 | Train: 1.0559 (Easy: 0.6690, Hard: 1.4246) | Val: 1.0006 (Easy: 0.6696, Hard: 1.3044) | LR: 0.000500
=> Epoch 055 | Train: 1.0653 (Easy: 0.6704, Hard: 1.4427) | Val: 1.0006 (Easy: 0.6701, Hard: 1.3064) | LR: 0.000500
=> Epoch 056 | Train: 1.0555 (Easy: 0.6678, Hard: 1.4244) | Val: 0.9988 (Easy: 0.6714, Hard: 1.2987) | LR: 0.000500
=> Epoch 057 | Train: 1.0541 (Easy: 0.6721, Hard: 1.4166) | Val: 0.9996 (Easy: 0.6709, Hard: 1.3025) | LR: 0.000500
=> Epoch 058 | Train: 1.0505 (Easy: 0.6673, Hard: 1.4195) | Val: 0.9974 (Easy: 0.6712, Hard: 1.2972) | LR: 0.000500
=> Epoch 059 | Train: 1.0574 (Easy: 0.6704, Hard: 1.4307) | Val: 0.9966 (Easy: 0.6721, Hard: 1.2939) | LR: 0.000500
=> Epoch 060 | Train: 1.0593 (Easy: 0.6727, Hard: 1.4309) | Val: 0.9993 (Easy: 0.6708, Hard: 1.3028) | LR: 0.000500
=> Epoch 061 | Train: 1.0615 (Easy: 0.6700, Hard: 1.4390) | Val: 1.0009 (Easy: 0.6707, Hard: 1.3041) | LR: 0.000500
=> Epoch 062 | Train: 1.0579 (Easy: 0.6693, Hard: 1.4302) | Val: 0.9976 (Easy: 0.6714, Hard: 1.2983) | LR: 0.000500
=> Epoch 063 | Train: 1.0529 (Easy: 0.6726, Hard: 1.4155) | Val: 0.9992 (Easy: 0.6712, Hard: 1.2995) | LR: 0.000500
=> Epoch 064 | Train: 1.0622 (Easy: 0.6724, Hard: 1.4403) | Val: 0.9982 (Easy: 0.6709, Hard: 1.3013) | LR: 0.000500
=> Epoch 065 | Train: 1.0582 (Easy: 0.6749, Hard: 1.4305) | Val: 0.9985 (Easy: 0.6712, Hard: 1.3017) | LR: 0.000500
=> Epoch 066 | Train: 1.0562 (Easy: 0.6706, Hard: 1.4261) | Val: 1.0008 (Easy: 0.6708, Hard: 1.3059) | LR: 0.000500
=> Epoch 067 | Train: 1.0591 (Easy: 0.6704, Hard: 1.4338) | Val: 1.0019 (Easy: 0.6704, Hard: 1.3073) | LR: 0.000500
=> Epoch 068 | Train: 1.0564 (Easy: 0.6638, Hard: 1.4316) | Val: 0.9987 (Easy: 0.6709, Hard: 1.3001) | LR: 0.000500
=> Epoch 069 | Train: 1.0591 (Easy: 0.6754, Hard: 1.4290) | Val: 1.0014 (Easy: 0.6709, Hard: 1.3037) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 070 | Train: 1.0604 (Easy: 0.6661, Hard: 1.4406) | Val: 0.9978 (Easy: 0.6715, Hard: 1.2992) | LR: 0.000250
=> Epoch 071 | Train: 1.0563 (Easy: 0.6720, Hard: 1.4231) | Val: 0.9983 (Easy: 0.6712, Hard: 1.3008) | LR: 0.000250
=> Epoch 072 | Train: 1.0498 (Easy: 0.6687, Hard: 1.4162) | Val: 0.9982 (Easy: 0.6714, Hard: 1.3004) | LR: 0.000250
=> Epoch 073 | Train: 1.0582 (Easy: 0.6684, Hard: 1.4333) | Val: 0.9968 (Easy: 0.6724, Hard: 1.2964) | LR: 0.000250
=> Epoch 074 | Train: 1.0571 (Easy: 0.6704, Hard: 1.4297) | Val: 0.9976 (Easy: 0.6723, Hard: 1.2984) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.5206 | Easy: 0.6202 | Hard: 0.3636

=> Split: 1 | Features: ['is_hallway']
=> Epoch 000 | Train: 1.5531 (Easy: 1.1305, Hard: 1.9687) | Val: 1.3787 (Easy: 1.0183, Hard: 1.8543) | LR: 0.001000
=> Epoch 001 | Train: 1.4871 (Easy: 0.9718, Hard: 1.9996) | Val: 1.3589 (Easy: 0.9692, Hard: 1.8774) | LR: 0.001000
=> Epoch 002 | Train: 1.4709 (Easy: 0.9504, Hard: 1.9944) | Val: 1.3331 (Easy: 0.8999, Hard: 1.9140) | LR: 0.001000
=> Epoch 003 | Train: 1.4377 (Easy: 0.9272, Hard: 1.9498) | Val: 1.3114 (Easy: 0.8398, Hard: 1.9466) | LR: 0.001000
=> Epoch 004 | Train: 1.4163 (Easy: 0.9030, Hard: 1.9393) | Val: 1.2987 (Easy: 0.7899, Hard: 1.9874) | LR: 0.001000
=> Epoch 005 | Train: 1.3599 (Easy: 0.8607, Hard: 1.8735) | Val: 1.2438 (Easy: 0.7335, Hard: 1.9379) | LR: 0.001000
=> Epoch 006 | Train: 1.3032 (Easy: 0.8059, Hard: 1.8281) | Val: 1.2320 (Easy: 0.7079, Hard: 1.9411) | LR: 0.001000
=> Epoch 007 | Train: 1.2830 (Easy: 0.7909, Hard: 1.7903) | Val: 1.2042 (Easy: 0.6988, Hard: 1.8867) | LR: 0.001000
=> Epoch 008 | Train: 1.2653 (Easy: 0.7791, Hard: 1.7716) | Val: 1.1793 (Easy: 0.6896, Hard: 1.8403) | LR: 0.001000
=> Epoch 009 | Train: 1.2385 (Easy: 0.7764, Hard: 1.7164) | Val: 1.1316 (Easy: 0.6752, Hard: 1.7462) | LR: 0.001000
=> Epoch 010 | Train: 1.2031 (Easy: 0.7654, Hard: 1.6520) | Val: 1.0812 (Easy: 0.6701, Hard: 1.6328) | LR: 0.001000
=> Epoch 011 | Train: 1.1658 (Easy: 0.7543, Hard: 1.5757) | Val: 1.0308 (Easy: 0.6604, Hard: 1.5230) | LR: 0.001000
=> Epoch 012 | Train: 1.1501 (Easy: 0.7417, Hard: 1.5507) | Val: 1.0216 (Easy: 0.6478, Hard: 1.5193) | LR: 0.001000
=> Epoch 013 | Train: 1.1341 (Easy: 0.7297, Hard: 1.5289) | Val: 0.9674 (Easy: 0.6445, Hard: 1.3866) | LR: 0.001000
=> Epoch 014 | Train: 1.1060 (Easy: 0.7118, Hard: 1.4864) | Val: 0.9603 (Easy: 0.6383, Hard: 1.3778) | LR: 0.001000
=> Epoch 015 | Train: 1.1047 (Easy: 0.7111, Hard: 1.4823) | Val: 0.9571 (Easy: 0.6332, Hard: 1.3761) | LR: 0.001000
=> Epoch 016 | Train: 1.0967 (Easy: 0.7039, Hard: 1.4755) | Val: 0.9579 (Easy: 0.6305, Hard: 1.3817) | LR: 0.001000
=> Epoch 017 | Train: 1.0908 (Easy: 0.6948, Hard: 1.4752) | Val: 0.9494 (Easy: 0.6289, Hard: 1.3602) | LR: 0.001000
=> Epoch 018 | Train: 1.0685 (Easy: 0.6866, Hard: 1.4367) | Val: 0.9442 (Easy: 0.6273, Hard: 1.3489) | LR: 0.001000
=> Epoch 019 | Train: 1.0789 (Easy: 0.6768, Hard: 1.4635) | Val: 0.9586 (Easy: 0.6262, Hard: 1.3885) | LR: 0.001000
=> Epoch 020 | Train: 1.0793 (Easy: 0.6783, Hard: 1.4668) | Val: 0.9606 (Easy: 0.6251, Hard: 1.3956) | LR: 0.001000
=> Epoch 021 | Train: 1.0740 (Easy: 0.6827, Hard: 1.4475) | Val: 0.9590 (Easy: 0.6232, Hard: 1.3954) | LR: 0.001000
=> Epoch 022 | Train: 1.0820 (Easy: 0.6776, Hard: 1.4775) | Val: 0.9467 (Easy: 0.6252, Hard: 1.3594) | LR: 0.001000
=> Epoch 023 | Train: 1.0797 (Easy: 0.6749, Hard: 1.4680) | Val: 0.9490 (Easy: 0.6248, Hard: 1.3648) | LR: 0.001000
=> Epoch 024 | Train: 1.0700 (Easy: 0.6637, Hard: 1.4608) | Val: 0.9399 (Easy: 0.6234, Hard: 1.3443) | LR: 0.001000
=> Epoch 025 | Train: 1.0665 (Easy: 0.6662, Hard: 1.4515) | Val: 0.9467 (Easy: 0.6214, Hard: 1.3644) | LR: 0.001000
=> Epoch 026 | Train: 1.0640 (Easy: 0.6670, Hard: 1.4480) | Val: 0.9420 (Easy: 0.6235, Hard: 1.3486) | LR: 0.001000
=> Epoch 027 | Train: 1.0670 (Easy: 0.6665, Hard: 1.4502) | Val: 0.9462 (Easy: 0.6226, Hard: 1.3611) | LR: 0.001000
=> Epoch 028 | Train: 1.0541 (Easy: 0.6623, Hard: 1.4317) | Val: 0.9476 (Easy: 0.6205, Hard: 1.3669) | LR: 0.001000
=> Epoch 029 | Train: 1.0697 (Easy: 0.6670, Hard: 1.4548) | Val: 0.9574 (Easy: 0.6202, Hard: 1.3941) | LR: 0.001000
=> Epoch 030 | Train: 1.0847 (Easy: 0.6797, Hard: 1.4745) | Val: 0.9456 (Easy: 0.6217, Hard: 1.3615) | LR: 0.001000
=> Epoch 031 | Train: 1.0698 (Easy: 0.6667, Hard: 1.4583) | Val: 0.9377 (Easy: 0.6211, Hard: 1.3411) | LR: 0.001000
=> Epoch 032 | Train: 1.0602 (Easy: 0.6669, Hard: 1.4379) | Val: 0.9521 (Easy: 0.6195, Hard: 1.3802) | LR: 0.001000
=> Epoch 033 | Train: 1.0685 (Easy: 0.6671, Hard: 1.4477) | Val: 0.9353 (Easy: 0.6194, Hard: 1.3361) | LR: 0.001000
=> Epoch 034 | Train: 1.0614 (Easy: 0.6615, Hard: 1.4434) | Val: 0.9407 (Easy: 0.6176, Hard: 1.3515) | LR: 0.001000
=> Epoch 035 | Train: 1.0590 (Easy: 0.6611, Hard: 1.4420) | Val: 0.9534 (Easy: 0.6203, Hard: 1.3817) | LR: 0.001000
=> Epoch 036 | Train: 1.0657 (Easy: 0.6648, Hard: 1.4484) | Val: 0.9380 (Easy: 0.6199, Hard: 1.3419) | LR: 0.001000
=> Epoch 037 | Train: 1.0575 (Easy: 0.6610, Hard: 1.4369) | Val: 0.9643 (Easy: 0.6197, Hard: 1.4117) | LR: 0.001000
=> Epoch 038 | Train: 1.0661 (Easy: 0.6592, Hard: 1.4556) | Val: 0.9418 (Easy: 0.6196, Hard: 1.3533) | LR: 0.001000
=> Epoch 039 | Train: 1.0596 (Easy: 0.6592, Hard: 1.4466) | Val: 0.9534 (Easy: 0.6191, Hard: 1.3835) | LR: 0.001000
=> Epoch 040 | Train: 1.0551 (Easy: 0.6559, Hard: 1.4339) | Val: 0.9422 (Easy: 0.6170, Hard: 1.3561) | LR: 0.001000
=> Epoch 041 | Train: 1.0582 (Easy: 0.6591, Hard: 1.4389) | Val: 0.9463 (Easy: 0.6170, Hard: 1.3680) | LR: 0.001000
=> Epoch 042 | Train: 1.0570 (Easy: 0.6575, Hard: 1.4395) | Val: 0.9503 (Easy: 0.6176, Hard: 1.3770) | LR: 0.001000
