=> Trial Start: ['is_outside']

=> Split: 0 | Features: ['is_outside']
=> Epoch 000 | Train: 1.2419 (Easy: 0.9500, Hard: 1.5369) | Val: 1.0115 (Easy: 0.7022, Hard: 1.2945) | LR: 0.001000
=> Epoch 001 | Train: 1.1156 (Easy: 0.7202, Hard: 1.5195) | Val: 1.0107 (Easy: 0.6937, Hard: 1.3018) | LR: 0.001000
=> Epoch 002 | Train: 1.1105 (Easy: 0.7141, Hard: 1.5126) | Val: 1.0115 (Easy: 0.6926, Hard: 1.3064) | LR: 0.001000
=> Epoch 003 | Train: 1.1055 (Easy: 0.7045, Hard: 1.5120) | Val: 1.0120 (Easy: 0.6915, Hard: 1.3100) | LR: 0.001000
=> Epoch 004 | Train: 1.1094 (Easy: 0.7052, Hard: 1.5169) | Val: 1.0124 (Easy: 0.6907, Hard: 1.3115) | LR: 0.001000
=> Epoch 005 | Train: 1.1058 (Easy: 0.7024, Hard: 1.5148) | Val: 1.0116 (Easy: 0.6888, Hard: 1.3125) | LR: 0.001000
=> Epoch 006 | Train: 1.1096 (Easy: 0.7010, Hard: 1.5243) | Val: 1.0123 (Easy: 0.6913, Hard: 1.3106) | LR: 0.001000
=> Epoch 007 | Train: 1.1078 (Easy: 0.7009, Hard: 1.5210) | Val: 1.0109 (Easy: 0.6909, Hard: 1.3087) | LR: 0.001000
=> Epoch 008 | Train: 1.1045 (Easy: 0.7025, Hard: 1.5098) | Val: 1.0109 (Easy: 0.6900, Hard: 1.3104) | LR: 0.001000
=> Epoch 009 | Train: 1.1036 (Easy: 0.7007, Hard: 1.5113) | Val: 1.0109 (Easy: 0.6899, Hard: 1.3115) | LR: 0.001000
=> Epoch 010 | Train: 1.1038 (Easy: 0.7014, Hard: 1.5097) | Val: 1.0107 (Easy: 0.6892, Hard: 1.3135) | LR: 0.001000
=> Epoch 011 | Train: 1.1077 (Easy: 0.7015, Hard: 1.5199) | Val: 1.0117 (Easy: 0.6899, Hard: 1.3126) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 012 | Train: 1.1032 (Easy: 0.7002, Hard: 1.5122) | Val: 1.0112 (Easy: 0.6922, Hard: 1.3099) | LR: 0.000500
