=> Trial Start: ['is_stair']

=> Split: 0 | Features: ['is_stair']
=> Epoch 000 | Train: 1.6946 (Easy: 1.5464, Hard: 1.8438) | Val: 1.2421 (Easy: 0.8929, Hard: 1.5686) | LR: 0.001000
=> Epoch 001 | Train: 1.3146 (Easy: 0.9092, Hard: 1.7170) | Val: 1.2364 (Easy: 0.8218, Hard: 1.6293) | LR: 0.001000
=> Epoch 002 | Train: 1.2879 (Easy: 0.8742, Hard: 1.6952) | Val: 1.2308 (Easy: 0.8124, Hard: 1.6299) | LR: 0.001000
=> Epoch 003 | Train: 1.2741 (Easy: 0.8622, Hard: 1.6813) | Val: 1.2258 (Easy: 0.8119, Hard: 1.6222) | LR: 0.001000
=> Epoch 004 | Train: 1.2639 (Easy: 0.8488, Hard: 1.6726) | Val: 1.2097 (Easy: 0.8129, Hard: 1.5899) | LR: 0.001000
=> Epoch 005 | Train: 1.2372 (Easy: 0.8348, Hard: 1.6336) | Val: 1.1832 (Easy: 0.8051, Hard: 1.5440) | LR: 0.001000
=> Epoch 006 | Train: 1.2212 (Easy: 0.8215, Hard: 1.6138) | Val: 1.1467 (Easy: 0.7810, Hard: 1.4960) | LR: 0.001000
=> Epoch 007 | Train: 1.1884 (Easy: 0.8052, Hard: 1.5670) | Val: 1.1100 (Easy: 0.7705, Hard: 1.4335) | LR: 0.001000
=> Epoch 008 | Train: 1.1765 (Easy: 0.7911, Hard: 1.5540) | Val: 1.0810 (Easy: 0.7558, Hard: 1.3885) | LR: 0.001000
=> Epoch 009 | Train: 1.1584 (Easy: 0.7789, Hard: 1.5292) | Val: 1.0904 (Easy: 0.7567, Hard: 1.4078) | LR: 0.001000
=> Epoch 010 | Train: 1.1624 (Easy: 0.7799, Hard: 1.5380) | Val: 1.0772 (Easy: 0.7460, Hard: 1.3910) | LR: 0.001000
=> Epoch 011 | Train: 1.1560 (Easy: 0.7694, Hard: 1.5273) | Val: 1.0683 (Easy: 0.7432, Hard: 1.3757) | LR: 0.001000
=> Epoch 012 | Train: 1.1599 (Easy: 0.7734, Hard: 1.5321) | Val: 1.0705 (Easy: 0.7476, Hard: 1.3767) | LR: 0.001000
