=> Trial Start: ['last_node']

=> Split: 0 | Features: ['last_node']
=> Epoch 000 | Train: 1.3505 (Easy: 1.0229, Hard: 1.6708) | Val: 1.0588 (Easy: 0.6946, Hard: 1.4276) | LR: 0.001000
=> Epoch 001 | Train: 1.1837 (Easy: 0.7636, Hard: 1.5947) | Val: 1.0523 (Easy: 0.6847, Hard: 1.4253) | LR: 0.001000
=> Epoch 002 | Train: 1.1848 (Easy: 0.7606, Hard: 1.6018) | Val: 1.0505 (Easy: 0.6825, Hard: 1.4238) | LR: 0.001000
=> Epoch 003 | Train: 1.1809 (Easy: 0.7549, Hard: 1.5986) | Val: 1.0490 (Easy: 0.6811, Hard: 1.4219) | LR: 0.001000
=> Epoch 004 | Train: 1.1754 (Easy: 0.7541, Hard: 1.5863) | Val: 1.0478 (Easy: 0.6802, Hard: 1.4197) | LR: 0.001000
=> Epoch 005 | Train: 1.1752 (Easy: 0.7533, Hard: 1.5863) | Val: 1.0476 (Easy: 0.6796, Hard: 1.4200) | LR: 0.001000
=> Epoch 006 | Train: 1.1762 (Easy: 0.7479, Hard: 1.5950) | Val: 1.0479 (Easy: 0.6798, Hard: 1.4202) | LR: 0.001000
=> Epoch 007 | Train: 1.1723 (Easy: 0.7495, Hard: 1.5866) | Val: 1.0494 (Easy: 0.6791, Hard: 1.4247) | LR: 0.001000
=> Epoch 008 | Train: 1.1735 (Easy: 0.7462, Hard: 1.5904) | Val: 1.0464 (Easy: 0.6791, Hard: 1.4172) | LR: 0.001000
=> Epoch 009 | Train: 1.1665 (Easy: 0.7512, Hard: 1.5721) | Val: 1.0463 (Easy: 0.6790, Hard: 1.4178) | LR: 0.001000
=> Epoch 010 | Train: 1.1706 (Easy: 0.7523, Hard: 1.5833) | Val: 1.0456 (Easy: 0.6797, Hard: 1.4158) | LR: 0.001000
=> Epoch 011 | Train: 1.1725 (Easy: 0.7564, Hard: 1.5787) | Val: 1.0443 (Easy: 0.6796, Hard: 1.4134) | LR: 0.001000
=> Epoch 012 | Train: 1.1691 (Easy: 0.7488, Hard: 1.5793) | Val: 1.0434 (Easy: 0.6798, Hard: 1.4113) | LR: 0.001000
=> Epoch 013 | Train: 1.1691 (Easy: 0.7506, Hard: 1.5774) | Val: 1.0435 (Easy: 0.6794, Hard: 1.4119) | LR: 0.001000
=> Epoch 014 | Train: 1.1635 (Easy: 0.7442, Hard: 1.5731) | Val: 1.0449 (Easy: 0.6803, Hard: 1.4150) | LR: 0.001000
=> Epoch 015 | Train: 1.1609 (Easy: 0.7441, Hard: 1.5651) | Val: 1.0435 (Easy: 0.6798, Hard: 1.4117) | LR: 0.001000
=> Epoch 016 | Train: 1.1642 (Easy: 0.7444, Hard: 1.5739) | Val: 1.0415 (Easy: 0.6803, Hard: 1.4060) | LR: 0.001000
=> Epoch 017 | Train: 1.1580 (Easy: 0.7461, Hard: 1.5593) | Val: 1.0413 (Easy: 0.6806, Hard: 1.4044) | LR: 0.001000
=> Epoch 018 | Train: 1.1660 (Easy: 0.7462, Hard: 1.5719) | Val: 1.0403 (Easy: 0.6811, Hard: 1.4015) | LR: 0.001000
=> Epoch 019 | Train: 1.1557 (Easy: 0.7481, Hard: 1.5541) | Val: 1.0395 (Easy: 0.6814, Hard: 1.3997) | LR: 0.001000
