=> Trial Start: ['recency']

=> Split: 0 | Features: ['recency']
=> Epoch 000 | Train: 1.4903 (Easy: 1.2293, Hard: 1.7440) | Val: 1.0626 (Easy: 0.7042, Hard: 1.4347) | LR: 0.001000
=> Epoch 001 | Train: 1.2120 (Easy: 0.7514, Hard: 1.6716) | Val: 0.9985 (Easy: 0.5998, Hard: 1.4172) | LR: 0.001000
=> Epoch 002 | Train: 1.1760 (Easy: 0.6943, Hard: 1.6660) | Val: 0.9695 (Easy: 0.5673, Hard: 1.3955) | LR: 0.001000
=> Epoch 003 | Train: 1.1667 (Easy: 0.6793, Hard: 1.6616) | Val: 0.9598 (Easy: 0.5497, Hard: 1.3985) | LR: 0.001000
=> Epoch 004 | Train: 1.1519 (Easy: 0.6633, Hard: 1.6427) | Val: 0.9570 (Easy: 0.5522, Hard: 1.3868) | LR: 0.001000
=> Epoch 005 | Train: 1.1357 (Easy: 0.6505, Hard: 1.6194) | Val: 0.9358 (Easy: 0.5215, Hard: 1.3770) | LR: 0.001000
=> Epoch 006 | Train: 1.1175 (Easy: 0.6360, Hard: 1.5952) | Val: 0.9229 (Easy: 0.5090, Hard: 1.3607) | LR: 0.001000
=> Epoch 007 | Train: 1.1080 (Easy: 0.6150, Hard: 1.5999) | Val: 0.9123 (Easy: 0.4928, Hard: 1.3517) | LR: 0.001000
=> Epoch 008 | Train: 1.0922 (Easy: 0.5997, Hard: 1.5812) | Val: 0.8977 (Easy: 0.4729, Hard: 1.3445) | LR: 0.001000
=> Epoch 009 | Train: 1.0869 (Easy: 0.5943, Hard: 1.5724) | Val: 0.9012 (Easy: 0.4836, Hard: 1.3415) | LR: 0.001000
=> Epoch 010 | Train: 1.0864 (Easy: 0.5937, Hard: 1.5768) | Val: 0.8989 (Easy: 0.4798, Hard: 1.3379) | LR: 0.001000
=> Epoch 011 | Train: 1.0719 (Easy: 0.5850, Hard: 1.5530) | Val: 0.8994 (Easy: 0.4773, Hard: 1.3451) | LR: 0.001000
=> Epoch 012 | Train: 1.0600 (Easy: 0.5676, Hard: 1.5510) | Val: 0.8957 (Easy: 0.4814, Hard: 1.3289) | LR: 0.001000
=> Epoch 013 | Train: 1.0769 (Easy: 0.5923, Hard: 1.5601) | Val: 0.8902 (Easy: 0.4706, Hard: 1.3314) | LR: 0.001000
=> Epoch 014 | Train: 1.0506 (Easy: 0.5677, Hard: 1.5321) | Val: 0.8939 (Easy: 0.4714, Hard: 1.3426) | LR: 0.001000
=> Epoch 015 | Train: 1.0517 (Easy: 0.5602, Hard: 1.5391) | Val: 0.8856 (Easy: 0.4637, Hard: 1.3296) | LR: 0.001000
=> Epoch 016 | Train: 1.0529 (Easy: 0.5514, Hard: 1.5485) | Val: 0.8826 (Easy: 0.4606, Hard: 1.3295) | LR: 0.001000
=> Epoch 017 | Train: 1.0546 (Easy: 0.5731, Hard: 1.5345) | Val: 0.8801 (Easy: 0.4661, Hard: 1.3177) | LR: 0.001000
=> Epoch 018 | Train: 1.0495 (Easy: 0.5571, Hard: 1.5365) | Val: 0.8828 (Easy: 0.4603, Hard: 1.3292) | LR: 0.001000
=> Epoch 019 | Train: 1.0461 (Easy: 0.5530, Hard: 1.5319) | Val: 0.8777 (Easy: 0.4648, Hard: 1.3132) | LR: 0.001000
=> Epoch 020 | Train: 1.0357 (Easy: 0.5520, Hard: 1.5100) | Val: 0.8774 (Easy: 0.4600, Hard: 1.3208) | LR: 0.001000
=> Epoch 021 | Train: 1.0513 (Easy: 0.5502, Hard: 1.5468) | Val: 0.8748 (Easy: 0.4545, Hard: 1.3195) | LR: 0.001000
=> Epoch 022 | Train: 1.0404 (Easy: 0.5532, Hard: 1.5239) | Val: 0.8754 (Easy: 0.4497, Hard: 1.3286) | LR: 0.001000
=> Epoch 023 | Train: 1.0334 (Easy: 0.5467, Hard: 1.5122) | Val: 0.8734 (Easy: 0.4518, Hard: 1.3206) | LR: 0.001000
=> Epoch 024 | Train: 1.0267 (Easy: 0.5356, Hard: 1.5082) | Val: 0.8758 (Easy: 0.4506, Hard: 1.3257) | LR: 0.001000
=> Epoch 025 | Train: 1.0361 (Easy: 0.5548, Hard: 1.5108) | Val: 0.8690 (Easy: 0.4596, Hard: 1.3045) | LR: 0.001000
=> Epoch 026 | Train: 1.0197 (Easy: 0.5446, Hard: 1.4868) | Val: 0.8733 (Easy: 0.4460, Hard: 1.3363) | LR: 0.001000
=> Epoch 027 | Train: 1.0202 (Easy: 0.5422, Hard: 1.4867) | Val: 0.9026 (Easy: 0.4923, Hard: 1.3447) | LR: 0.001000
=> Epoch 028 | Train: 1.0366 (Easy: 0.5820, Hard: 1.4914) | Val: 0.8672 (Easy: 0.4550, Hard: 1.3053) | LR: 0.001000
=> Epoch 029 | Train: 1.0032 (Easy: 0.5269, Hard: 1.4662) | Val: 0.8668 (Easy: 0.4536, Hard: 1.3087) | LR: 0.001000
=> Epoch 030 | Train: 1.0088 (Easy: 0.5342, Hard: 1.4733) | Val: 0.8597 (Easy: 0.4485, Hard: 1.3024) | LR: 0.001000
=> Epoch 031 | Train: 1.0059 (Easy: 0.5364, Hard: 1.4624) | Val: 0.8655 (Easy: 0.4524, Hard: 1.3088) | LR: 0.001000
=> Epoch 032 | Train: 0.9981 (Easy: 0.5394, Hard: 1.4544) | Val: 0.8608 (Easy: 0.4531, Hard: 1.3027) | LR: 0.001000
=> Epoch 033 | Train: 0.9971 (Easy: 0.5288, Hard: 1.4565) | Val: 0.8596 (Easy: 0.4479, Hard: 1.3019) | LR: 0.001000
=> Epoch 034 | Train: 0.9989 (Easy: 0.5335, Hard: 1.4543) | Val: 0.8608 (Easy: 0.4539, Hard: 1.3040) | LR: 0.001000
=> Epoch 035 | Train: 0.9925 (Easy: 0.5344, Hard: 1.4448) | Val: 0.8654 (Easy: 0.4488, Hard: 1.3166) | LR: 0.001000
=> Epoch 036 | Train: 0.9941 (Easy: 0.5317, Hard: 1.4513) | Val: 0.8605 (Easy: 0.4496, Hard: 1.3015) | LR: 0.001000
=> Epoch 037 | Train: 0.9862 (Easy: 0.5321, Hard: 1.4332) | Val: 0.8631 (Easy: 0.4506, Hard: 1.3066) | LR: 0.001000
=> Epoch 038 | Train: 0.9908 (Easy: 0.5249, Hard: 1.4466) | Val: 0.8500 (Easy: 0.4510, Hard: 1.2843) | LR: 0.001000
=> Epoch 039 | Train: 0.9882 (Easy: 0.5251, Hard: 1.4453) | Val: 0.8525 (Easy: 0.4495, Hard: 1.2872) | LR: 0.001000
=> Epoch 040 | Train: 0.9754 (Easy: 0.5163, Hard: 1.4235) | Val: 0.8489 (Easy: 0.4438, Hard: 1.2884) | LR: 0.001000
=> Epoch 041 | Train: 0.9908 (Easy: 0.5260, Hard: 1.4439) | Val: 0.8574 (Easy: 0.4508, Hard: 1.2923) | LR: 0.001000
=> Epoch 042 | Train: 0.9810 (Easy: 0.5173, Hard: 1.4391) | Val: 0.8454 (Easy: 0.4452, Hard: 1.2783) | LR: 0.001000
=> Epoch 043 | Train: 0.9724 (Easy: 0.5239, Hard: 1.4146) | Val: 0.8444 (Easy: 0.4478, Hard: 1.2752) | LR: 0.001000
=> Epoch 044 | Train: 0.9801 (Easy: 0.5261, Hard: 1.4285) | Val: 0.8472 (Easy: 0.4466, Hard: 1.2822) | LR: 0.001000
=> Epoch 045 | Train: 0.9845 (Easy: 0.5257, Hard: 1.4394) | Val: 0.8457 (Easy: 0.4427, Hard: 1.2792) | LR: 0.001000
=> Epoch 046 | Train: 0.9743 (Easy: 0.5185, Hard: 1.4221) | Val: 0.8435 (Easy: 0.4436, Hard: 1.2759) | LR: 0.001000
=> Epoch 047 | Train: 0.9804 (Easy: 0.5204, Hard: 1.4335) | Val: 0.8572 (Easy: 0.4518, Hard: 1.2970) | LR: 0.001000
=> Epoch 048 | Train: 0.9828 (Easy: 0.5240, Hard: 1.4399) | Val: 0.8693 (Easy: 0.4557, Hard: 1.3124) | LR: 0.001000
=> Epoch 049 | Train: 0.9669 (Easy: 0.5122, Hard: 1.4143) | Val: 0.8439 (Easy: 0.4425, Hard: 1.2805) | LR: 0.001000
